dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314
31,zro2_120_formal,32,32,zro2_120_formal:m032,single,formal,,32,-3900.0,6800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,3,1.0,0.0,48.3655,0.8646
32,zro2_120_formal,33,33,zro2_120_formal:m033,single,formal,,33,-3900.0,7400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,11,1.0,0.0001171875,57.5403,0.8677
33,zro2_120_formal,34,34,zro2_120_formal:m034,single,formal,,34,-3900.0,8000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,3,1.0,0.0,55.1854,0.5843
34,zro2_120_formal,35,35,zro2_120_formal:m035,single,formal,,35,-3900.0,8600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,11,1.0,0.0026953125,8.4134,3.0992
35,zro2_120_formal,36,36,zro2_120_formal:m036,single,formal,,36,-3900.0,9200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,5,5,1.0,0.004375,54.874,0.7648
36,zro2_120_formal,37,37,zro2_120_formal:m037,single,formal,,37,-3900.0,9800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,3,11,1.0,0.0,34.3416,1.8248
37,zro2_120_formal,38,38,zro2_120_formal:m038,single,formal,,38,-3900.0,10400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,9,1.0,0.0271484375,53.7011,12.5604
38,zro2_120_formal,39,39,zro2_120_formal:m039,single,formal,,39,-3900.0,11000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,1,3,1.0,0.0,5.3225,1.0998
39,zro2_120_formal,40,40,zro2_120_formal:m040,single,formal,,40,-3900.0,11600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,5,5,1.0,0.0048046875,57.6547,2.0128
40,zro2_120_formal,41,41,zro2_120_formal:m041,single,formal,,41,-3900.0,12200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,5,3,1.0,0.0,56.2835,0.9623
41,zro2_120_formal,42,42,zro2_120_formal:m042,single,formal,,42,-3900.0,12800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,3,9,1.0,0.0,39.7223,0.7597
42,zro2_120_formal,43,43,zro2_120_formal:m043,single,formal,,43,-3900.0,13400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,5,11,1.0,0.001484375,48.9606,2.3629
43,zro2_120_formal,44,44,zro2_120_formal:m044,single,formal,,44,-3900.0,14000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,3,5,1.0,0.006484375,52.191,4.8022
