replicate,k,max_principal_angle_deg,note
169,4,46.0174612341498,
169,5,48.46336150568316,
169,6,65.30685648544817,
170,1,37.878783374983904,
170,2,81.89437811446781,
170,3,59.737212232394576,
170,4,49.68253063531962,
170,5,89.42742503369284,
170,6,63.02142499245426,
171,1,22.74528602498239,
171,2,13.81892255213915,
171,3,38.822109928060016,
171,4,11.603972814929241,
171,5,72.80598834518999,
171,6,77.75125874716882,
172,1,53.2239096633384,
172,2,79.33079902346665,
172,3,73.29769343109018,
172,4,72.96862796336931,
172,5,77.044672824828,
172,6,64.54031912580841,
173,1,59.485352840371405,
173,2,15.85786977721999,
173,3,21.08423929308713,
173,4,35.086801804410236,
173,5,76.79102409070931,
173,6,74.6386508767937,
174,1,43.79965540580617,
174,2,89.70488694723257,
174,3,82.18994531907701,
174,4,86.20982211213278,
174,5,83.23143556233453,
174,6,69.99144198576097,
175,1,50.55351963080141,
175,2,57.057787787755736,
175,3,49.773648213399206,
175,4,52.60646567605892,
175,5,71.99990220649198,
175,6,63.310414779202645,
176,1,21.27748675608844,
176,2,49.792090379069805,
176,3,45.06122283526125,
176,4,88.02708460042163,
176,5,49.90036876237295,
176,6,51.81859868746028,
177,1,25.939984730093773,
177,2,12.584863230845892,
177,3,78.6923898425411,
177,4,56.45841020749125,
177,5,64.06262225485916,
177,6,59.57847401852406,
178,1,54.86797830698114,
178,2,9.027432027907372,
178,3,37.9700436128548,
178,4,18.014802571162242,
178,5,50.44625581218434,
178,6,58.393632426441144,
