dataset_index,W_hat_um,hatch_spacing_um,eta_h,bridge_coverage,in_box,p_8_16,A2_8_16,angular_entropy_8_16,ilr_z2
0,6.109799610608479,2.0,3.0548998053042395,in_box_pred,True,0.0342382099309782,0.036720770646403,0.9336741740150308,-0.1063306799927708
1,6.242043188415606,4.0,1.5605107971039014,in_box_pred,True,0.2730637583192485,0.1961232572137329,0.9344989266450388,-0.0692891450335584
2,6.054486661732176,6.0,1.009081110288696,in_box_pred,True,0.2105184725521856,0.2995539380411224,0.9205390814978176,0.5182216181845284
3,6.028843118755235,8.0,0.7536053898444044,in_box_pred,True,0.6397237770389178,0.6848565322463434,0.4779772055305059,-0.8615461618228943
4,6.267686731392546,8.0,0.7834608414240682,in_box_pred,True,0.5602002984476983,0.7663973995223651,0.4797589507759083,-0.7349798880860732
5,5.947886626901991,10.0,0.5947886626901991,in_box_pred,True,0.9126072594872168,0.9554864475023206,0.2977525663111084,-1.940805301438366
6,6.293330274369487,10.0,0.6293330274369487,in_box_pred,True,0.8934367400816127,0.9570384606388984,0.3059312830097316,-1.94356293461084
7,6.216399645438664,10.0,0.6216399645438664,in_box_pred,True,0.8153931899623513,0.9327131526105767,0.3347323640142271,-1.6695954016433885
8,6.15121362161992,2.0,3.07560681080996,out_of_box,False,0.3850085057838425,0.2122197834193548,0.9505772661012044,-0.1112001611651448
9,5.8314135171293655,4.0,1.4578533792823414,out_of_box,False,0.4129231154169914,0.4145163931252033,0.866742743252832,-0.7833634154851993
10,6.15121362161992,6.0,1.0252022702699868,out_of_box,False,0.1205786909402542,0.4833962749584012,0.8710710101023688,-0.4791575463955627
11,6.048639449712156,8.0,0.7560799312140195,in_box_pred,True,0.1400912351783912,0.814635835404978,0.4137629142447426,-1.0402091290257125
12,6.206526570496223,8.0,0.7758158213120279,in_box_pred,True,0.1921998610687837,0.5767620748559564,0.8460415028747486,-0.4873426315596991
13,5.861082923028727,10.0,0.5861082923028726,in_box_pred,True,0.8570775630331313,0.9553992553647612,0.3072768389189138,-1.614473056844414
14,5.474325626693868,8.0,0.6842907033367335,out_of_box,False,0.2206408878469205,0.1174318430190041,0.8807898326788057,-0.7364016366033703
15,5.742838645230541,8.0,0.7178548306538176,out_of_box,False,0.134153004305,0.3098334398959712,0.8899661466723884,-0.3389628473394496
16,5.249961741875916,2.0,2.624980870937958,out_of_box,False,0.3060296083522157,0.6126238653005717,0.822723822343662,-0.7097346951888869
17,5.066431078114908,4.0,1.266607769528727,out_of_box,False,0.2920219623007821,0.1832275618522172,0.8920781841784104,-0.724579808766412
18,5.040787535137968,4.0,1.260196883784492,out_of_box,False,0.3391284047098752,0.1760543368890682,0.914039619119674,-0.716092802014121
19,5.569761846366471,4.0,1.3924404615916175,out_of_box,False,0.0207454213763022,0.2274017509359163,0.891137705691211,-0.5077967197971742
20,5.356561776706101,6.0,0.8927602961176836,out_of_box,False,0.2979821507094992,0.4099374185918524,0.8939461590236412,-0.9906309075698504
21,5.253987604798337,6.0,0.8756646007997229,out_of_box,False,0.1912262383874776,0.373194618850939,0.8586780666095858,-1.3097834428333022
22,4.698659800332249,8.0,0.5873324750415311,out_of_box,False,0.0453775706377478,0.1987831093144119,0.9037557858154316,-0.3981082553476051
23,4.70268566325467,10.0,0.470268566325467,out_of_box,False,0.0235223849619013,0.3935202088388078,0.8812181089583156,-0.6126869008028044
24,5.964451215347588,2.0,2.982225607673794,in_box_pred,True,0.2569624712389576,0.1397929970599265,0.9474204100320134,-0.5464013923450972
25,5.699964059733336,10.0,0.5699964059733336,in_box_pred,True,0.4732961296022142,0.6984861392748491,0.5816707058259681,-0.5036461443379504
26,6.009891089281449,2.0,3.0049455446407247,in_box_pred,True,0.1868192616154143,0.3277592868738584,0.9225450729133732,-0.6587406275693465
27,5.664447441813953,4.0,1.4161118604534884,in_box_pred,True,0.4235140119089293,0.4289387730949569,0.7550180697432503,-0.8482571589845281
28,6.009891089281449,4.0,1.5024727723203624,in_box_pred,True,0.2504962607918012,0.3652046962555679,0.8950148339178446,-0.6824863239163869
29,5.79669101962108,6.0,0.9661151699368468,in_box_pred,True,0.4925534341695751,0.6757951785952275,0.6262326218701938,-0.5972960389338273
30,5.771047476644139,8.0,0.7213809345805173,in_box_pred,True,0.4418353332682509,0.8450779829639314,0.4270172017517478,-0.2541646557020384
31,5.542177301093346,4.0,1.3855443252733366,out_of_box,False,0.3837159067193767,0.6693348850193571,0.6370850221099261,-0.5635128269541649
32,5.759403233676138,4.0,1.4398508084190345,out_of_box,False,0.1832862785025986,0.1659664491631545,0.9111624434698078,-0.4825939650621932
33,5.648777335923532,6.0,0.9414628893205886,out_of_box,False,0.2458957492437889,0.4896822762180565,0.67606108777259,-0.6896055104596677
34,5.333003094355398,8.0,0.6666253867944247,out_of_box,False,0.2046430406565497,0.220501840489784,0.9150234131798276,-0.6933615459710779
35,5.836333862606961,8.0,0.7295417328258701,out_of_box,False,0.2264338260701748,0.7921170240517623,0.6019932637175301,-1.0783592347505078
36,5.546203164015768,10.0,0.5546203164015768,out_of_box,False,0.2770474306422587,0.7663044136600492,0.5643106638256186,-0.9537708285938596
37,5.082995666560505,2.0,2.5414978332802525,out_of_box,False,0.053256174742615,0.3403376777563502,0.8833305332666668,-0.5734623435626787
38,5.053326260661143,6.0,0.8422210434435238,out_of_box,False,0.1888205081565355,0.0787764532597981,0.939580309961386,-0.3138663330272987
39,5.454082857004942,6.0,0.9090138095008236,out_of_box,False,0.2223648280362763,0.3810750157115334,0.8785112407454292,-0.7634617416141279
40,5.479726399981883,8.0,0.6849657999977353,out_of_box,False,0.136860177545896,0.5800957967821603,0.7334160088483925,-1.09790589185653
41,5.18959570139069,10.0,0.518959570139069,out_of_box,False,0.3846247531629164,0.9018776320703372,0.4304818644961302,-1.3418725347276172
42,5.377152228074119,10.0,0.5377152228074119,out_of_box,False,0.0871310423821246,0.583344535910139,0.7033514574241619,-0.545844995889834
43,4.476380776140535,6.0,0.7460634626900892,out_of_box,False,0.0802925056197574,0.2781051908557878,0.883508005081446,-0.4770787996558237
44,4.4507372331635935,6.0,0.741789538860599,out_of_box,False,0.0559995302142387,0.4969059601599218,0.8696355001505561,-0.5127189343514595
45,4.506050182039896,8.0,0.563256272754987,out_of_box,False,0.2041460225475712,0.3052190068929357,0.8767025281458419,-0.951083449308378
46,4.425093690186653,10.0,0.4425093690186653,out_of_box,False,0.1492213675244526,0.6473069095335849,0.7581581917096019,-0.9484079357164766
47,4.612650216870081,10.0,0.4612650216870081,out_of_box,False,0.2784064647983577,0.513788694775703,0.7167726768323542,-0.9045281687227568
48,5.742172191155873,6.0,0.9570286985259788,in_box_pred,True,0.2767720104089806,0.1439422060414616,0.920817709025902,0.3640795136307608
49,5.742172191155873,6.0,0.9570286985259788,in_box_pred,True,0.2454664380648269,0.1529213376419045,0.8931434690263835,0.4084297996084903
50,5.848772225986059,10.0,0.5848772225986059,in_box_pred,True,0.8998240927744701,0.968531796740373,0.2884001251722402,-1.7718920514165597
