dataset_index,arm,bridge_coverage,W_hat_um,lambda_star_4_32_um,lambda_star_valid,r_W,abs_r_W_minus_1
0,primary_in_box,in_box_pred,6.109799610608479,15.036163152530207,True,2.4609912126124125,1.4609912126124125
1,primary_in_box,in_box_pred,6.242043188415606,11.668512421861449,True,1.8693418276112928,0.8693418276112928
2,primary_in_box,in_box_pred,6.054486661732176,8.978347929581629,True,1.4829247186768004,0.4829247186768004
3,primary_in_box,in_box_pred,6.028843118755235,8.585566378279855,True,1.4240819024749316,0.4240819024749316
4,primary_in_box,in_box_pred,6.267686731392546,8.748435560785481,True,1.3957997480901165,0.39579974809011653
5,primary_in_box,in_box_pred,5.947886626901991,9.476722768932731,True,1.5932924353450169,0.5932924353450169
6,primary_in_box,in_box_pred,6.293330274369487,10.03098145708803,True,1.5939067266087523,0.5939067266087523
7,primary_in_box,in_box_pred,6.216399645438664,10.131741650392286,True,1.629840780559618,0.629840780559618
8,extrapolated_out_of_box,out_of_box,6.15121362161992,11.012258268304697,True,1.79025781670132,0.7902578167013199
9,extrapolated_out_of_box,out_of_box,5.8314135171293655,13.207177455648896,True,2.2648329460522296,1.2648329460522296
10,extrapolated_out_of_box,out_of_box,6.15121362161992,15.896771719511722,True,2.5843309462767956,1.5843309462767956
11,primary_in_box,in_box_pred,6.048639449712156,10.595772488586425,True,1.7517612971774434,0.7517612971774434
12,primary_in_box,in_box_pred,6.206526570496223,16.49892017171428,True,2.658317818237449,1.6583178182374492
13,primary_in_box,in_box_pred,5.861082923028727,9.57889903024946,True,1.634322386501835,0.634322386501835
14,extrapolated_out_of_box,out_of_box,5.474325626693868,14.939724935837402,True,2.729053029470593,1.729053029470593
15,extrapolated_out_of_box,out_of_box,5.742838645230541,12.552325668460275,True,2.185735390438847,1.1857353904388468
16,extrapolated_out_of_box,out_of_box,5.249961741875916,14.958876546228812,True,2.8493305821470054,1.8493305821470054
17,extrapolated_out_of_box,out_of_box,5.066431078114908,14.27831212050656,True,2.818218959334815,1.818218959334815
18,extrapolated_out_of_box,out_of_box,5.040787535137968,13.45723392681136,True,2.6696689422048876,1.6696689422048876
19,extrapolated_out_of_box,out_of_box,5.569761846366471,,False,,
20,extrapolated_out_of_box,out_of_box,5.356561776706101,15.18258120387595,True,2.8343892662453603,1.8343892662453603
21,extrapolated_out_of_box,out_of_box,5.253987604798337,19.300862343934504,True,3.6735644991448977,2.6735644991448977
22,extrapolated_out_of_box,out_of_box,4.698659800332249,21.03300978873768,True,4.476384901765054,3.476384901765054
23,extrapolated_out_of_box,out_of_box,4.70268566325467,22.50844413661983,True,4.786295693223522,3.786295693223522
24,primary_in_box,in_box_pred,5.964451215347588,12.772355638285044,True,2.141413380231783,1.141413380231783
25,primary_in_box,in_box_pred,5.699964059733336,9.448952183282888,True,1.657721361794857,0.657721361794857
26,primary_in_box,in_box_pred,6.009891089281449,16.85114805181296,True,2.803902400472236,1.8039024004722362
27,primary_in_box,in_box_pred,5.664447441813953,10.15857296040633,True,1.7933916882020184,0.7933916882020184
28,primary_in_box,in_box_pred,6.009891089281449,16.448715843082976,True,2.7369407529562415,1.7369407529562415
29,primary_in_box,in_box_pred,5.79669101962108,11.469957883713992,True,1.9787078257042867,0.9787078257042867
30,primary_in_box,in_box_pred,5.771047476644139,9.442777413200083,True,1.6362328418568226,0.6362328418568226
31,extrapolated_out_of_box,out_of_box,5.542177301093346,11.357109850221216,True,2.0492144572821074,1.0492144572821074
32,extrapolated_out_of_box,out_of_box,5.759403233676138,17.89052466881779,True,3.106315696773769,2.106315696773769
33,extrapolated_out_of_box,out_of_box,5.648777335923532,12.992753153458636,True,2.3001000713607382,1.3001000713607382
34,extrapolated_out_of_box,out_of_box,5.333003094355398,15.83083337896166,True,2.968465065343289,1.9684650653432891
35,extrapolated_out_of_box,out_of_box,5.836333862606961,15.562527088394411,True,2.666490206823599,1.6664902068235992
36,extrapolated_out_of_box,out_of_box,5.546203164015768,15.172112391585868,True,2.735585398317863,1.735585398317863
37,extrapolated_out_of_box,out_of_box,5.082995666560505,17.651628041717416,True,3.4726820952931656,2.4726820952931656
38,extrapolated_out_of_box,out_of_box,5.053326260661143,15.685102046397756,True,3.103916358716491,2.103916358716491
39,extrapolated_out_of_box,out_of_box,5.454082857004942,17.325254561648958,True,3.176566072771941,2.176566072771941
40,extrapolated_out_of_box,out_of_box,5.479726399981883,18.277103175923607,True,3.335404332592962,2.335404332592962
41,extrapolated_out_of_box,out_of_box,5.18959570139069,14.258795157019971,True,2.7475734098513587,1.7475734098513587
42,extrapolated_out_of_box,out_of_box,5.377152228074119,20.75731624373364,True,3.8602805654933228,2.8602805654933228
43,extrapolated_out_of_box,out_of_box,4.476380776140535,19.33160555605301,True,4.318579344074571,3.3185793440745712
44,extrapolated_out_of_box,out_of_box,4.4507372331635935,17.105879117779093,True,3.8433810449016774,2.8433810449016774
45,extrapolated_out_of_box,out_of_box,4.506050182039896,14.702049300153467,True,3.262735368272758,2.262735368272758
46,extrapolated_out_of_box,out_of_box,4.425093690186653,17.728286549118657,True,4.006307615233988,3.006307615233988
47,extrapolated_out_of_box,out_of_box,4.612650216870081,13.903387385739377,True,3.0141863640320716,2.0141863640320716
48,primary_in_box,in_box_pred,5.742172191155873,9.708231566821963,True,1.6906897326720083,0.6906897326720083
49,primary_in_box,in_box_pred,5.742172191155873,9.89823266090284,True,1.7237784467954749,0.7237784467954749
50,primary_in_box,in_box_pred,5.848772225986059,9.324161269491098,True,1.5942083071834987,0.5942083071834987
51,primary_in_box,in_box_pred,5.732299116213432,,False,,
52,primary_in_box,in_box_pred,5.68101203025955,13.657657525470372,True,2.4040888230342983,1.4040888230342983
53,primary_in_box,in_box_pred,5.838899151043617,13.839279657921876,True,2.370186451233416,1.3701864512334159
54,primary_in_box,exact_match,5.945499185873802,11.975549042291355,True,2.0142209540192417,1.0142209540192417
55,extrapolated_out_of_box,out_of_box,5.426498311731818,11.761191983380671,True,2.1673630595173248,1.1673630595173248
56,extrapolated_out_of_box,out_of_box,5.48181126060812,12.38847798629755,True,2.2599242106929536,1.2599242106929536
57,extrapolated_out_of_box,out_of_box,5.48181126060812,21.254572210004635,True,3.8772900414755935,2.8772900414755935
58,extrapolated_out_of_box,out_of_box,5.6653419243691285,17.27007056304232,True,3.048372153630507,2.048372153630507
59,extrapolated_out_of_box,out_of_box,5.3198982769016325,10.772169964172535,True,2.0248826957733423,1.0248826957733423
60,extrapolated_out_of_box,out_of_box,4.967316677198975,14.305243299707998,True,2.8798734265065207,1.8798734265065207
61,extrapolated_out_of_box,out_of_box,5.312760324666471,15.556425511596798,True,2.9281248467713272,1.9281248467713272
62,extrapolated_out_of_box,out_of_box,5.257447375790169,16.970144108325027,True,3.227829571147062,2.227829571147062
63,extrapolated_out_of_box,out_of_box,5.044247306129798,12.69811840776946,True,2.5173465211229105,1.5173465211229105
64,extrapolated_out_of_box,out_of_box,4.967316677198975,12.850496649377304,True,2.5870097447911418,1.5870097447911418
65,extrapolated_out_of_box,out_of_box,4.173145260095576,,False,,
66,extrapolated_out_of_box,out_of_box,4.386345329755946,18.913255555658143,True,4.311848277734774,3.311848277734774
67,extrapolated_out_of_box,out_of_box,4.522614770485493,16.385646000680737,True,3.6230470274879885,2.6230470274879885
68,extrapolated_out_of_box,out_of_box,4.147501717118635,13.457926207365,True,3.244827157471205,2.244827157471205
69,extrapolated_out_of_box,out_of_box,4.441658278632249,19.11448554734033,True,4.3034570307435684,3.3034570307435684
70,extrapolated_out_of_box,out_of_box,4.305388837902703,18.21786800642005,True,4.231410609429315,3.2314106094293154
71,extrapolated_out_of_box,out_of_box,4.625188942393257,15.353228470100618,True,3.3194813576969775,2.3194813576969775
72,primary_in_box,exact_match,6.0232239352157215,14.56665793369415,True,2.41841546825578,1.41841546825578
73,primary_in_box,in_box_pred,5.9462933062849,12.40952841173918,True,2.086935132954676,1.0869351329546761
74,primary_in_box,in_box_pred,5.596823795894983,10.395135974354488,True,1.857327718978548,0.857327718978548
75,extrapolated_out_of_box,out_of_box,5.835667408532293,12.522139038506287,True,2.145793816179062,1.145793816179062
76,primary_in_box,in_box_pred,5.616620126851903,12.662404172006315,True,2.2544526576525925,1.2544526576525925
77,primary_in_box,in_box_pred,5.510020092021718,9.144133649393266,True,1.6595463349822617,0.6595463349822617
78,primary_in_box,in_box_pred,5.616620126851903,10.267739738899024,True,1.8280993741789793,0.8280993741789793
79,extrapolated_out_of_box,out_of_box,5.57530647798454,14.624191870224823,True,2.6230292321995243,1.6230292321995243
80,extrapolated_out_of_box,out_of_box,5.549662935007599,12.236876209360364,True,2.2049764738268034,1.2049764738268034
81,extrapolated_out_of_box,out_of_box,5.310819322370288,13.26151842983807,True,2.4970758041000876,1.4970758041000876
82,extrapolated_out_of_box,out_of_box,5.468706443154355,17.406108620495132,True,3.182856641040559,2.182856641040559
83,extrapolated_out_of_box,out_of_box,5.604975883883902,19.77319075202608,True,3.527792297711811,2.527792297711811
84,extrapolated_out_of_box,out_of_box,5.152932201586221,10.6712073803481,True,2.0709000163175433,1.0709000163175433
85,extrapolated_out_of_box,out_of_box,5.229862830517044,11.569945815624887,True,2.212284755942832,1.2122847559428318
86,extrapolated_out_of_box,out_of_box,5.549662935007599,13.440702013523854,True,2.4218951981280012,1.4218951981280012
87,extrapolated_out_of_box,out_of_box,4.770681195984203,10.131240484170466,True,2.1236465125145227,1.1236465125145227
88,extrapolated_out_of_box,out_of_box,4.983881265644572,12.588753428399883,True,2.5258935270344494,1.5258935270344494
89,extrapolated_out_of_box,out_of_box,4.215353391518114,14.33252101483079,True,3.4000757904829153,2.4000757904829153
90,extrapolated_out_of_box,out_of_box,4.245022797417476,12.424812267631545,True,2.9269129662131306,1.9269129662131306
91,extrapolated_out_of_box,out_of_box,4.057466270734047,11.253448911234944,True,2.773516317906212,1.773516317906212
92,extrapolated_out_of_box,out_of_box,4.189709848541173,11.174444864870056,True,2.667116642638372,1.667116642638372
93,extrapolated_out_of_box,out_of_box,4.428553461178484,14.8859280720606,True,3.3613522344380375,2.3613522344380375
94,extrapolated_out_of_box,out_of_box,4.377266375224602,15.630671120284587,True,3.5708750120290684,2.5708750120290684
95,extrapolated_out_of_box,out_of_box,4.4838664100547865,13.613865800001932,True,3.036188984014711,2.036188984014711
96,extrapolated_out_of_box,out_of_box,5.889600083491803,11.916759754127009,True,2.02335635445418,1.02335635445418
97,extrapolated_out_of_box,out_of_box,5.676400013831434,12.345768782139656,True,2.1749293129549123,1.1749293129549123
98,extrapolated_out_of_box,out_of_box,5.544156436024307,12.825042678776034,True,2.3132541130049393,1.3132541130049393
99,extrapolated_out_of_box,out_of_box,5.518512893047367,10.118011491502406,True,1.833467038601981,0.8334670386019809
100,extrapolated_out_of_box,out_of_box,5.838312997537922,10.889486163286271,True,1.865176835822006,0.865176835822006
101,extrapolated_out_of_box,out_of_box,5.706069419730796,8.511669002229823,True,1.4916868997067672,0.49168689970676716
102,extrapolated_out_of_box,out_of_box,5.893625946414224,9.481548599701249,True,1.608780178095621,0.608780178095621
103,extrapolated_out_of_box,out_of_box,5.777152836641599,13.609312030239314,True,2.3557126520735676,1.3557126520735676
104,extrapolated_out_of_box,out_of_box,5.935039957425666,13.368551279930765,True,2.252478732380666,1.2524787323806659
