dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,p_8_16,log10_tau,W_hat_um,in_box,W_hat_lookup_um,bridge_coverage,eta_h,band_energy_fraction_4_32,lambda_star_valid,lambda_star_4_32_um,lambda_peak_valid,lambda_peak_4_32_um,peak_energy_share_in_window,lambda_star_centroid_um,r_W,r_h,r_h_peak,d_int,d_int_peak,abs_lambda_star_minus_What_um,abs_lambda_star_minus_h_um,abs_lambda_star_minus_2h_um
10,zro2_120_formal,11,11,zro2_120_formal:m011,single,formal,,11,-3300.0,10400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,4,3,1.0,0.0066015625,46.2398,2.2115,0.2143737188396115,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,2222222.222222222,1185.177777777778,500:10:6:3,F11,FQ:500:10:6:3|N4,54,0.0881687025231637,0.1205786909402542,2.6989700043360187,6.15121362161992,False,,out_of_box,1.0252022702699868,0.3436646735167078,True,15.896771719511722,False,,0.11854981183026372,35.94039323174139,2.5843309462767956,2.649461953251954,,0.3505380467480461,,9.745558097891802,9.896771719511722,3.8967717195117224
11,zro2_120_formal,12,12,zro2_120_formal:m012,single,formal,,12,-3300.0,9800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,11,1.0,0.0,17.7364,0.7303,0.2242805796720924,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,1.1,454545.4545454545,242.4227272727273,500:10:8:11,F12,FQ:500:10:8:11|N4,78,0.0363382800183226,0.1400912351783912,2.6989700043360187,6.048639449712156,True,,in_box_pred,0.7560799312140195,0.22017620723694176,True,10.595772488586423,True,7.536507573664894,0.525435339145076,52.77731735616093,1.7517612971774432,1.3244715610733029,0.9420634467081117,0.3244715610733029,0.05793655329188829,4.547133038874267,2.595772488586423,5.404227511413577
12,zro2_120_formal,13,13,zro2_120_formal:m013,single,formal,,13,-3300.0,9200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,7,1.0,0.000546875,30.7015,1.189,0.2345113577783851,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,892857.1428571428,476.1875,500:10:8:7,F13,FQ:500:10:8:7|N5,117,0.0169157404821408,0.1921998610687837,2.6989700043360187,6.206526570496223,True,,in_box_pred,0.7758158213120279,0.690221545888733,True,16.49892017171428,False,,0.17411682138893672,22.63124913614686,2.658317818237449,2.062365021464285,,0.0623650214642848,,10.292393601218055,8.498920171714278,0.4989201717142784
13,zro2_120_formal,14,14,zro2_120_formal:m014,single,formal,,14,-3300.0,8600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,9,1.0,0.0,7.0837,1.3309,0.3166453639961955,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,222222.22222222225,118.51777777777778,500:10:10:9,F14,FQ:500:10:10:9|N2,142,0.0073419636179192,0.8570775630331313,2.6989700043360187,5.861082923028727,True,,in_box_pred,0.5861082923028726,0.9628675173029407,True,9.57889903024946,True,9.450672659117906,0.7907413179040018,9.799541686620271,1.634322386501835,0.9578899030249459,0.9450672659117906,0.04211009697505408,0.05493273408820942,3.7178161072207327,0.42110096975054034,10.42110096975054
14,zro2_120_formal,15,15,zro2_120_formal:m015,single,formal,,15,-3300.0,8000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,7,1.0,0.0,6.0985,1.6924,0.2421730049755652,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.14,892857.1428571428,95.2375,500:50:8:7,F15,FQ:500:50:8:7|N1,26,0.3524597714449039,0.2206408878469205,2.6989700043360187,5.474325626693868,False,,out_of_box,0.6842907033367335,0.6266659259188342,True,14.939724935837402,True,14.860994818258504,0.2755779747010158,28.9679160089526,2.729053029470593,1.8674656169796753,1.857624352282313,0.13253438302032472,0.14237564771768696,9.465399309143535,6.939724935837402,1.0602750641625978
15,zro2_120_formal,16,16,zro2_120_formal:m016,single,formal,,16,-3300.0,7400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,4,11,1.0,0.0,46.0401,0.6027,0.2159776237265324,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,2272727.272727273,242.4227272727273,500:50:8:11,F16,FQ:500:50:8:11|N4,72,0.0482519992231047,0.134153004305,2.6989700043360187,5.742838645230541,False,,out_of_box,0.7178548306538176,0.351505960642289,True,12.552325668460275,True,14.860994818258504,0.2413786689361564,50.55096312576507,2.185735390438847,1.5690407085575344,1.857624352282313,0.4309592914424656,0.14237564771768696,6.809487023229734,4.552325668460275,3.4476743315397247
16,zro2_120_formal,17,17,zro2_120_formal:m017,single,formal,,17,-3300.0,6800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,3,1.0,0.0,54.5754,1.928,0.2287132441825644,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,33333333.33333333,1777.7666666666669,500:100:2:3,F17,FQ:500:100:2:3|N2,45,0.1273724032407027,0.3060296083522157,2.6989700043360187,5.249961741875916,False,,out_of_box,2.624980870937958,0.7551816104362555,True,14.958876546228813,False,,0.17593214803981735,19.020970573773063,2.849330582147006,7.479438273114407,,4.479438273114407,,9.708914804352897,12.958876546228813,10.958876546228813
17,zro2_120_formal,18,18,zro2_120_formal:m018,single,formal,,18,-3300.0,6200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,9,1.0,0.0,5.3911,0.8637,0.1926528012095498,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,2777777.777777778,148.14722222222224,500:100:4:9,F18,FQ:500:100:4:9|N1,110,0.0195919286842592,0.2920219623007821,2.6989700043360187,5.066431078114908,False,,out_of_box,1.266607769528727,0.7521415624145545,True,14.27831212050656,True,14.860994818258504,0.21667541555051398,20.99142394662365,2.818218959334815,3.56957803012664,3.715248704564626,0.5695780301266402,0.7152487045646261,9.211881042391653,10.27831212050656,6.278312120506561
18,zro2_120_formal,19,19,zro2_120_formal:m019,single,formal,,19,-3300.0,5600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,11,1.0,0.0,6.0179,0.7175,0.2153976920165637,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,2272727.272727273,121.21136363636364,500:100:4:11,F19,FQ:500:100:4:11|N1,115,0.017448762447515,0.3391284047098752,2.6989700043360187,5.040787535137968,False,,out_of_box,1.260196883784492,0.759682072530301,True,13.45723392681136,False,,0.17480917067311758,20.281354398047768,2.6696689422048876,3.36430848170284,,0.36430848170284014,,8.416446391673393,9.45723392681136,5.4572339268113605
19,zro2_120_formal,20,20,zro2_120_formal:m020,single,formal,,20,-3300.0,5000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,3,1.0,0.018671875,63.1156,9.0641,0.3106539926611552,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,41666666.66666666,2222.208333333333,500:100:4:3,F20,FQ:500:100:4:3|N5,4,12.712658142651984,0.0207454213763022,2.6989700043360187,5.569761846366471,False,,out_of_box,1.3924404615916177,0.06578471862478039,False,,False,,0.14670335843407697,95.75248246124532,,,,,,,,
20,zro2_120_formal,21,21,zro2_120_formal:m021,single,formal,,21,-3300.0,4400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,3,1.0,0.0,56.6237,1.3446,0.2227565440271681,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,16666666.666666666,888.8833333333334,500:100:6:3,F21,FQ:500:100:6:3|N3,43,0.1314382724160106,0.2979821507094992,2.6989700043360187,5.356561776706101,False,,out_of_box,0.8927602961176836,0.6761315808249392,True,15.18258120387595,True,11.851008286901518,0.20409575721260764,26.587659556942786,2.8343892662453603,2.530430200645992,1.9751680478169196,0.4695697993540082,0.02483195218308043,9.826019427169848,9.18258120387595,3.18258120387595
