dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak
33,6.0,12.992753153458636,True,11.851008286901518,True,2.1654588589097727,1.9751680478169196,0.16545885890977274,0.02483195218308043
34,8.0,15.83083337896166,True,14.860994818258504,True,1.9788541723702076,1.857624352282313,0.021145827629792446,0.14237564771768696
35,8.0,15.562527088394411,True,14.860994818258504,True,1.9453158860493014,1.857624352282313,0.05468411395069861,0.14237564771768696
36,10.0,15.172112391585868,True,18.63547485933348,True,1.5172112391585868,1.863547485933348,0.4827887608414132,0.13645251406665193
37,2.0,17.651628041717416,True,,False,8.825814020858708,,5.825814020858708,
38,6.0,15.685102046397756,True,,False,2.614183674399626,,0.38581632560037393,
39,6.0,17.325254561648958,True,,False,2.887542426941493,,0.1124575730585069,
40,8.0,18.277103175923607,True,18.63547485933348,True,2.284637896990451,2.329434357416685,0.28463789699045083,0.32943435741668514
41,10.0,14.258795157019971,True,18.63547485933348,True,1.4258795157019972,1.863547485933348,0.4258795157019972,0.13645251406665193
42,10.0,20.75731624373364,True,,False,2.075731624373364,,0.07573162437336389,
43,6.0,19.33160555605301,True,,False,3.2219342593421683,,0.22193425934216826,
44,6.0,17.105879117779093,True,18.63547485933348,True,2.850979852963182,3.1059124765555803,0.14902014703681798,0.10591247655558034
45,8.0,14.702049300153467,True,14.860994818258504,True,1.8377561625191834,1.857624352282313,0.1622438374808166,0.14237564771768696
46,10.0,17.728286549118657,True,18.63547485933348,True,1.7728286549118657,1.863547485933348,0.2271713450881343,0.13645251406665193
47,10.0,13.903387385739377,True,9.450672659117906,True,1.3903387385739376,0.9450672659117906,0.39033873857393764,0.05493273408820942
48,6.0,9.708231566821963,True,6.010042719351759,True,1.6180385944703273,1.0016737865586265,0.3819614055296727,0.0016737865586264888
49,6.0,9.89823266090284,True,6.010042719351759,True,1.6497054434838068,1.0016737865586265,0.35029455651619323,0.0016737865586264888
50,10.0,9.324161269491098,True,9.450672659117906,True,0.9324161269491098,0.9450672659117906,0.0675838730508902,0.05493273408820942
51,2.0,,False,18.63547485933348,True,,9.31773742966674,,6.317737429666741
52,2.0,13.657657525470372,True,,False,6.828828762735186,,3.828828762735186,
53,2.0,13.839279657921876,True,14.860994818258504,True,6.919639828960938,7.430497409129252,3.919639828960938,4.430497409129252
54,10.0,11.975549042291355,True,9.450672659117906,True,1.1975549042291356,0.9450672659117906,0.19755490422913558,0.05493273408820942
55,4.0,11.761191983380671,True,7.536507573664894,True,2.940297995845168,1.8841268934162234,0.05970200415483218,0.11587310658377659
56,4.0,12.38847798629755,True,11.851008286901518,True,3.0971194965743876,2.9627520717253795,0.09711949657438756,0.037247928274620534
57,6.0,21.254572210004635,True,,False,3.5424287016674394,,0.5424287016674394,
58,6.0,17.27007056304232,True,14.860994818258504,True,2.878345093840387,2.4768324697097506,0.12165490615961305,0.4768324697097506
59,10.0,10.772169964172535,True,9.450672659117906,True,1.0772169964172535,0.9450672659117906,0.07721699641725355,0.05493273408820942
60,4.0,14.305243299707998,True,18.63547485933348,True,3.5763108249269995,4.65886871483337,0.5763108249269995,1.6588687148333703
61,4.0,15.556425511596798,True,,False,3.8891063778991994,,0.8891063778991994,
62,6.0,16.970144108325027,True,,False,2.8283573513875044,,0.17164264861249556,
63,8.0,12.69811840776946,True,14.860994818258504,True,1.5872648009711825,1.857624352282313,0.4127351990288175,0.14237564771768696
64,8.0,12.850496649377304,True,14.860994818258504,True,1.606312081172163,1.857624352282313,0.39368791882783705,0.14237564771768696
65,2.0,,False,,False,,,,
66,2.0,18.913255555658143,True,,False,9.456627777829071,,6.4566277778290715,
67,2.0,16.385646000680737,True,,False,8.192823000340368,,5.192823000340368,
68,4.0,13.457926207365,True,,False,3.36448155184125,,0.3644815518412501,
69,4.0,19.11448554734033,True,,False,4.778621386835082,,1.7786213868350824,
70,10.0,18.21786800642005,True,,False,1.821786800642005,,0.17821319935799496,
71,10.0,15.353228470100618,True,18.63547485933348,True,1.5353228470100617,1.863547485933348,0.4646771529899383,0.13645251406665193
72,2.0,14.56665793369415,True,,False,7.283328966847075,,4.283328966847075,
73,2.0,12.40952841173918,True,11.851008286901518,True,6.20476420586959,5.925504143450759,3.2047642058695898,2.925504143450759
74,6.0,10.395135974354488,True,6.010042719351759,True,1.7325226623924148,1.0016737865586265,0.2674773376075852,0.0016737865586264888
75,6.0,12.522139038506287,True,11.851008286901518,True,2.0870231730843813,1.9751680478169196,0.08702317308438134,0.02483195218308043
76,2.0,12.662404172006315,True,,False,6.331202086003158,,3.3312020860031577,
77,8.0,9.144133649393266,True,7.536507573664894,True,1.1430167061741583,0.9420634467081117,0.1430167061741583,0.05793655329188829
78,10.0,10.267739738899024,True,9.450672659117906,True,1.0267739738899024,0.9450672659117906,0.026773973889902436,0.05493273408820942
79,2.0,14.624191870224823,True,18.63547485933348,True,7.312095935112412,9.31773742966674,4.312095935112412,6.317737429666741
80,2.0,12.236876209360364,True,,False,6.118438104680182,,3.118438104680182,
81,4.0,13.26151842983807,True,11.851008286901518,True,3.3153796074595174,2.9627520717253795,0.31537960745951743,0.037247928274620534
82,4.0,17.406108620495132,True,,False,4.351527155123783,,1.351527155123783,
83,4.0,19.77319075202608,True,,False,4.94329768800652,,1.9432976880065196,
84,6.0,10.6712073803481,True,11.851008286901518,True,1.77853456339135,1.9751680478169196,0.22146543660864992,0.02483195218308043
85,10.0,11.569945815624887,True,9.450672659117906,True,1.1569945815624887,0.9450672659117906,0.1569945815624887,0.05493273408820942
86,10.0,13.440702013523854,True,18.63547485933348,True,1.3440702013523853,1.863547485933348,0.3440702013523853,0.13645251406665193
87,8.0,10.131240484170466,True,7.536507573664894,True,1.2664050605213082,0.9420634467081117,0.2664050605213082,0.05793655329188829
88,8.0,12.588753428399883,True,14.860994818258504,True,1.5735941785499854,1.857624352282313,0.4264058214500146,0.14237564771768696
89,4.0,14.33252101483079,True,,False,3.5831302537076977,,0.5831302537076977,
90,4.0,12.424812267631545,True,,False,3.106203066907886,,0.10620306690788617,
91,6.0,11.253448911234944,True,11.851008286901518,True,1.8755748185391574,1.9751680478169196,0.12442518146084258,0.02483195218308043
92,8.0,11.174444864870056,True,7.536507573664894,True,1.396805608108757,0.9420634467081117,0.396805608108757,0.05793655329188829
93,8.0,14.8859280720606,True,,False,1.860741009007575,,0.1392589909924249,
94,10.0,15.630671120284587,True,18.63547485933348,True,1.5630671120284587,1.863547485933348,0.4369328879715413,0.13645251406665193
95,10.0,13.613865800001932,True,18.63547485933348,True,1.3613865800001932,1.863547485933348,0.3613865800001932,0.13645251406665193
96,2.0,11.916759754127009,True,,False,5.958379877063504,,2.9583798770635044,
97,4.0,12.345768782139656,True,7.536507573664894,True,3.086442195534914,1.8841268934162234,0.08644219553491395,0.11587310658377659
98,6.0,12.825042678776034,True,,False,2.137507113129339,,0.13750711312933905,
99,6.0,10.118011491502406,True,,False,1.6863352485837344,,0.3136647514162656,
100,6.0,10.889486163286271,True,11.851008286901518,True,1.8149143605477118,1.9751680478169196,0.18508563945228818,0.02483195218308043
101,8.0,8.511669002229823,True,7.536507573664894,True,1.0639586252787279,0.9420634467081117,0.06395862527872787,0.05793655329188829
102,8.0,9.481548599701249,True,7.536507573664894,True,1.185193574962656,0.9420634467081117,0.1851935749626561,0.05793655329188829
103,2.0,13.609312030239314,True,,False,6.804656015119657,,3.804656015119657,
104,2.0,13.368551279930765,True,,False,6.684275639965382,,3.6842756399653824,
105,4.0,9.923667066821595,True,7.536507573664894,True,2.480916766705399,1.8841268934162234,0.48091676670539885,0.11587310658377659
106,8.0,8.721706806647767,True,7.536507573664894,True,1.0902133508309708,0.9420634467081117,0.09021335083097082,0.05793655329188829
107,8.0,11.396275240407013,True,7.536507573664894,True,1.4245344050508766,0.9420634467081117,0.4245344050508766,0.05793655329188829
108,10.0,9.589196565195923,True,9.450672659117906,True,0.9589196565195923,0.9450672659117906,0.04108034348040768,0.05493273408820942
109,4.0,15.837031466066849,True,18.63547485933348,True,3.959257866516712,4.65886871483337,0.9592578665167122,1.6588687148333703
110,6.0,21.49040933895453,True,,False,3.5817348898257553,,0.5817348898257553,
111,10.0,10.90740172394096,True,9.450672659117906,True,1.0907401723940962,0.9450672659117906,0.09074017239409615,0.05493273408820942
112,2.0,13.437000009044512,True,,False,6.718500004522256,,3.718500004522256,
113,2.0,15.869271615579134,True,,False,7.934635807789567,,4.934635807789567,
114,2.0,14.127633526381745,True,,False,7.063816763190872,,4.063816763190872,
115,8.0,14.865795379314315,True,,False,1.8582244224142894,,0.14177557758571058,
116,10.0,12.203966917286271,True,9.450672659117906,True,1.220396691728627,0.9450672659117906,0.22039669172862708,0.05493273408820942
117,2.0,17.573736183729324,True,,False,8.786868091864662,,5.786868091864662,
118,4.0,15.294713112168576,True,,False,3.823678278042144,,0.8236782780421441,
119,6.0,18.54512750314173,True,,False,3.0908545838569554,,0.09085458385695544,
120,10.0,10.003348406161974,True,9.450672659117906,True,1.0003348406161974,0.9450672659117906,0.0003348406161973738,0.05493273408820942
121,10.0,10.873118185811675,True,9.450672659117906,True,1.0873118185811674,0.9450672659117906,0.08731181858116743,0.05493273408820942
122,10.0,11.266255756141158,True,9.450672659117906,True,1.1266255756141157,0.9450672659117906,0.1266255756141157,0.05493273408820942
123,10.0,11.149167534739046,True,9.450672659117906,True,1.1149167534739046,0.9450672659117906,0.11491675347390462,0.05493273408820942
124,6.0,,False,,False,,,,
125,6.0,10.93926046506227,True,,False,1.8232100775103783,,0.17678992248962166,
126,4.0,12.950437243891914,True,,False,3.2376093109729784,,0.23760931097297844,
127,4.0,,False,,False,,,,
128,6.0,10.626113959029189,True,,False,1.7710189931715314,,0.22898100682846856,
129,6.0,12.49335812022018,True,,False,2.08222635337003,,0.08222635337003004,
130,8.0,10.525656126642762,True,7.536507573664894,True,1.3157070158303452,0.9420634467081117,0.3157070158303452,0.05793655329188829
131,8.0,11.51949906895808,True,7.536507573664894,True,1.43993738361976,0.9420634467081117,0.43993738361976,0.05793655329188829
132,8.0,9.773721145239106,True,7.536507573664894,True,1.2217151431548883,0.9420634467081117,0.22171514315488827,0.05793655329188829
133,8.0,12.00234860790508,True,14.860994818258504,True,1.500293575988135,1.857624352282313,0.49970642401186494,0.14237564771768696
134,2.0,10.280225900836877,True,,False,5.140112950418438,,2.1401129504184384,
135,2.0,12.892716257873298,True,,False,6.446358128936649,,3.446358128936649,
136,2.0,11.16979135025998,True,,False,5.58489567512999,,2.5848956751299896,
137,2.0,,False,,False,,,,
138,2.0,15.304477293099652,True,,False,7.652238646549826,,4.652238646549826,
139,2.0,11.10010215656798,True,,False,5.55005107828399,,2.55005107828399,
140,4.0,14.266299800171105,True,,False,3.566574950042776,,0.5665749500427761,
141,4.0,12.406930408458866,True,7.536507573664894,True,3.1017326021147165,1.8841268934162234,0.10173260211471646,0.11587310658377659
142,4.0,13.686953355865574,True,,False,3.4217383389663936,,0.42173833896639357,
143,4.0,20.33910218473801,True,,False,5.084775546184503,,2.0847755461845026,
144,2.0,19.21712122703679,True,,False,9.608560613518396,,6.608560613518396,
145,2.0,15.917534514704242,True,18.63547485933348,True,7.958767257352121,9.31773742966674,4.958767257352121,6.317737429666741
146,2.0,13.238470411514887,True,,False,6.619235205757444,,3.6192352057574437,
147,2.0,16.39308904929755,True,,False,8.196544524648775,,5.196544524648775,
148,6.0,13.505688064382564,True,11.851008286901518,True,2.2509480107304274,1.9751680478169196,0.2509480107304274,0.02483195218308043
149,6.0,15.949985575742025,True,,False,2.6583309292903374,,0.34166907070966257,
150,6.0,13.19434205978971,True,,False,2.199057009964952,,0.1990570099649518,
151,6.0,15.981702306235912,True,,False,2.6636170510393185,,0.33638294896068155,
152,4.0,,False,,False,,,,
153,4.0,17.17652433675191,True,,False,4.294131084187978,,1.2941310841879776,
154,4.0,18.23764737785915,True,,False,4.559411844464788,,1.5594118444647878,
155,4.0,18.02540888741704,True,,False,4.50635222185426,,1.50635222185426,
156,8.0,10.716409207930754,True,7.536507573664894,True,1.3395511509913443,0.9420634467081117,0.33955115099134425,0.05793655329188829
157,8.0,13.43765651228388,True,7.536507573664894,True,1.679707064035485,0.9420634467081117,0.320292935964515,0.05793655329188829
158,8.0,11.444534053265324,True,7.536507573664894,True,1.4305667566581655,0.9420634467081117,0.43056675665816546,0.05793655329188829
159,8.0,9.024660111865645,True,7.536507573664894,True,1.1280825139832056,0.9420634467081117,0.12808251398320558,0.05793655329188829
160,8.0,8.957803609676962,True,7.536507573664894,True,1.1197254512096202,0.9420634467081117,0.11972545120962019,0.05793655329188829
161,8.0,10.187201719133206,True,7.536507573664894,True,1.2734002148916508,0.9420634467081117,0.2734002148916508,0.05793655329188829
162,8.0,17.094888583756347,True,,False,2.1368610729695434,,0.13686107296954342,
163,8.0,11.185404169702869,True,7.536507573664894,True,1.3981755212128586,0.9420634467081117,0.3981755212128586,0.05793655329188829
164,10.0,10.149086117041652,True,9.450672659117906,True,1.0149086117041652,0.9450672659117906,0.014908611704165242,0.05493273408820942
165,10.0,10.06947567876668,True,9.450672659117906,True,1.0069475678766682,0.9450672659117906,0.00694756787666817,0.05493273408820942
166,10.0,9.909591159098213,True,9.450672659117906,True,0.9909591159098212,0.9450672659117906,0.00904088409017878,0.05493273408820942
167,10.0,,False,9.450672659117906,True,,0.9450672659117906,,0.05493273408820942
168,2.0,9.864797093561378,True,,False,4.932398546780689,,1.9323985467806892,
169,2.0,11.80156011694523,True,,False,5.900780058472615,,2.9007800584726153,
170,2.0,10.992604555676673,True,,False,5.496302277838336,,2.4963022778383364,
171,2.0,13.021054880614985,True,,False,6.510527440307492,,3.5105274403074924,
172,10.0,9.407459257280316,True,9.450672659117906,True,0.9407459257280315,0.9450672659117906,0.05925407427196849,0.05493273408820942
173,10.0,10.56715703018984,True,9.450672659117906,True,1.056715703018984,0.9450672659117906,0.05671570301898399,0.05493273408820942
174,10.0,10.19269859979156,True,9.450672659117906,True,1.019269859979156,0.9450672659117906,0.01926985997915609,0.05493273408820942
175,10.0,17.38592853614663,True,,False,1.7385928536146629,,0.26140714638533713,
176,6.0,16.934453385495903,True,,False,2.8224088975826507,,0.17759110241734932,
177,6.0,10.025623028224508,True,6.010042719351759,True,1.6709371713707515,1.0016737865586265,0.3290628286292485,0.0016737865586264888
178,6.0,12.71262711631094,True,,False,2.1187711860518235,,0.11877118605182346,
179,6.0,12.903457466297608,True,,False,2.150576244382935,,0.15057624438293482,
180,10.0,11.81471575262988,True,11.851008286901518,True,1.181471575262988,1.1851008286901519,0.18147157526298807,0.18510082869015188
181,10.0,13.459631624030925,True,18.63547485933348,True,1.3459631624030926,1.863547485933348,0.34596316240309255,0.13645251406665193
182,10.0,15.652923642651269,True,18.63547485933348,True,1.5652923642651269,1.863547485933348,0.43470763573487314,0.13645251406665193
183,10.0,11.121279222471848,True,9.450672659117906,True,1.112127922247185,0.9450672659117906,0.11212792224718493,0.05493273408820942
184,4.0,10.8895821832711,True,,False,2.722395545817775,,0.2776044541822249,
185,4.0,9.844185813333066,True,,False,2.4610464533332665,,0.46104645333326655,
186,4.0,9.56283765931253,True,,False,2.3907094148281325,,0.3907094148281325,
187,4.0,9.390936745447489,True,,False,2.347734186361872,,0.34773418636187214,
188,2.0,11.805113379327636,True,,False,5.902556689663818,,2.902556689663818,
189,2.0,10.922526745032467,True,,False,5.461263372516234,,2.4612633725162336,
190,2.0,9.720938860159308,True,,False,4.860469430079654,,1.8604694300796538,
191,2.0,,False,,False,,,,
192,8.0,10.99798231417217,True,7.536507573664894,True,1.3747477892715212,0.9420634467081117,0.3747477892715212,0.05793655329188829
193,8.0,9.511936587414986,True,7.536507573664894,True,1.1889920734268733,0.9420634467081117,0.1889920734268733,0.05793655329188829
194,8.0,9.64445815674146,True,7.536507573664894,True,1.2055572695926824,0.9420634467081117,0.2055572695926824,0.05793655329188829
195,8.0,10.912131490668887,True,7.536507573664894,True,1.364016436333611,0.9420634467081117,0.3640164363336109,0.05793655329188829
196,6.0,10.255244325789706,True,,False,1.7092073876316176,,0.2907926123683824,
197,6.0,10.02800697834505,True,6.010042719351759,True,1.6713344963908419,1.0016737865586265,0.32866550360915814,0.0016737865586264888
198,6.0,10.775048279182268,True,,False,1.7958413798637114,,0.2041586201362886,
199,6.0,10.366167238577734,True,6.010042719351759,True,1.7276945397629557,1.0016737865586265,0.2723054602370443,0.0016737865586264888
