dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak
0,2.0,15.036163152530207,True,,False,7.518081576265104,,4.518081576265104,
1,4.0,11.668512421861449,True,,False,2.917128105465362,,0.08287189453463784,
2,6.0,8.978347929581629,True,6.010042719351759,True,1.4963913215969382,1.0016737865586265,0.4963913215969382,0.0016737865586264888
3,8.0,8.585566378279855,True,7.536507573664894,True,1.073195797284982,0.9420634467081117,0.07319579728498193,0.05793655329188829
4,8.0,8.748435560785481,True,7.536507573664894,True,1.0935544450981851,0.9420634467081117,0.09355444509818511,0.05793655329188829
5,10.0,9.476722768932731,True,9.450672659117906,True,0.9476722768932732,0.9450672659117906,0.05232772310672684,0.05493273408820942
6,10.0,10.03098145708803,True,9.450672659117906,True,1.003098145708803,0.9450672659117906,0.0030981457088030684,0.05493273408820942
7,10.0,10.131741650392286,True,9.450672659117906,True,1.0131741650392285,0.9450672659117906,0.013174165039228525,0.05493273408820942
8,2.0,11.012258268304697,True,,False,5.506129134152348,,2.5061291341523484,
9,4.0,13.207177455648896,True,,False,3.301794363912224,,0.30179436391222403,
10,6.0,15.896771719511722,True,,False,2.649461953251954,,0.3505380467480461,
11,8.0,10.595772488586425,True,7.536507573664894,True,1.324471561073303,0.9420634467081117,0.3244715610733031,0.05793655329188829
12,8.0,16.49892017171428,True,,False,2.062365021464285,,0.0623650214642848,
13,10.0,9.57889903024946,True,9.450672659117906,True,0.9578899030249459,0.9450672659117906,0.04211009697505408,0.05493273408820942
14,8.0,14.939724935837402,True,14.860994818258504,True,1.8674656169796753,1.857624352282313,0.13253438302032472,0.14237564771768696
15,8.0,12.552325668460275,True,14.860994818258504,True,1.5690407085575344,1.857624352282313,0.4309592914424656,0.14237564771768696
16,2.0,14.958876546228812,True,,False,7.479438273114406,,4.479438273114406,
17,4.0,14.27831212050656,True,14.860994818258504,True,3.56957803012664,3.715248704564626,0.5695780301266402,0.7152487045646261
18,4.0,13.45723392681136,True,,False,3.36430848170284,,0.36430848170284014,
19,4.0,,False,,False,,,,
20,6.0,15.18258120387595,True,11.851008286901518,True,2.530430200645992,1.9751680478169196,0.4695697993540082,0.02483195218308043
21,6.0,19.300862343934504,True,,False,3.2168103906557506,,0.21681039065575058,
22,8.0,21.03300978873768,True,,False,2.62912622359221,,0.37087377640779007,
23,10.0,22.50844413661983,True,,False,2.2508444136619827,,0.25084441366198273,
24,2.0,12.772355638285044,True,,False,6.386177819142522,,3.386177819142522,
25,10.0,9.448952183282888,True,9.450672659117906,True,0.9448952183282888,0.9450672659117906,0.05510478167171118,0.05493273408820942
26,2.0,16.85114805181296,True,,False,8.42557402590648,,5.42557402590648,
27,4.0,10.15857296040633,True,7.536507573664894,True,2.5396432401015825,1.8841268934162234,0.4603567598984175,0.11587310658377659
28,4.0,16.448715843082976,True,,False,4.112178960770744,,1.112178960770744,
29,6.0,11.469957883713992,True,11.851008286901518,True,1.9116596472856653,1.9751680478169196,0.08834035271433471,0.02483195218308043
30,8.0,9.442777413200083,True,7.536507573664894,True,1.1803471766500104,0.9420634467081117,0.18034717665001043,0.05793655329188829
31,4.0,11.357109850221216,True,7.536507573664894,True,2.839277462555304,1.8841268934162234,0.1607225374446961,0.11587310658377659
32,4.0,17.89052466881779,True,,False,4.472631167204447,,1.4726311672044474,
