scale,spearman_process_morph,near_q10_process,near_median_D_um,all_median_D_um,near_ratio,near_p5_um,near_p95_um,sentinel_D_um,sentinel_pct,all_p5_um,all_p95_um
total,0.13943040173138663,1.7342105214428207,1.042425389883077,1.3012313082527105,0.8011069079507799,0.42140941683106065,5.949931428017294,0.28729026064666796,0.11078100609295534,0.5144145633773097,7.096546767087493
DCT_8_16,0.11307343279495807,1.7342105214428207,0.552874313957235,0.6415755719543793,0.8617446457212501,0.19174779877597592,1.6075462028168768,0.15055283835240232,0.3826980210483912,0.24204474538146148,1.7008345420754298
DCT_16_32,0.11082049467515503,1.7342105214428207,0.43977876671405847,0.5740621208686405,0.7660821899354872,0.13948564799626753,2.0492717758727936,0.12668699430101463,0.8912835490205951,0.1672282632333582,2.417129060547786
DCT_32_64,0.14194452794272244,1.7342105214428207,0.3067859224140814,0.4109079338841881,0.7466050107967669,0.09815044582398771,2.6486552451555148,0.0874721551762935,1.455259580039277,0.11736148771523437,3.234130366099579
DCT_64_inf,0.1444654653119233,1.7342105214428207,0.45093045316203706,0.5893815912525089,0.7650908339430046,0.12755378491384542,4.114722441277844,0.07468876652190505,0.2517750138476258,0.15285622160115866,5.311165166591388
