field,k,evr,theta_median_deg,theta_iqr_deg,theta_min_deg,theta_max_deg
total,1,0.25119318766818477,35.25090597290851,31.61400818374474,8.687068356704586,88.63679409667519
total,2,0.20130225643534919,43.700957067014286,43.46660473336713,6.811904011135309,89.4603582239893
total,3,0.08769874177773254,53.999768833372926,22.99227460354316,14.162214821635587,89.59635054720552
total,4,0.06586925576878236,67.7591409649556,32.4662220936259,16.64988217820668,89.83651775335039
total,5,0.05102170956500084,69.12747484442228,23.08715245529647,19.300914393159083,89.85424142694583
total,6,0.04414847245865983,74.66612228336788,23.18831541849943,18.102251675241504,89.80254713640511
low,1,0.37410551815052945,28.78894706386184,34.4757167108954,6.710153481268126,86.8364116248607
low,2,0.2576217810053383,34.73467136762323,34.42486267637869,5.639221610100228,89.65753882761183
low,3,0.12557801083286557,37.639364120542794,18.996314831360962,9.970567267956701,87.65907108538902
low,4,0.0769318360304617,43.69094771574608,34.89314618025141,7.055941507819888,88.9971913417377
low,5,0.04361720539361205,53.09109934127787,26.49611968211422,15.852421020782208,89.78679997534672
low,6,0.04126356159611397,48.000168505169285,21.36402148223962,10.814646372583844,89.68807946500164
mid,1,0.1494069499482563,31.077992315904922,75.11843131885237,2.912519099585764,89.91590889969248
mid,2,0.07976638527867627,81.92192480958231,31.795883491309716,6.186788472383688,89.568673898176
mid,3,0.07321870521598225,77.42268213263725,21.871702022637095,25.58974218257837,89.91485513949469
mid,4,0.06592901988830854,83.41001605244206,16.28967112174479,19.37362981126432,89.96695565357972
mid,5,0.04979484351098959,85.4991343416551,8.4837702679322,28.227213123814654,89.98139747030271
mid,6,0.04287638164620304,85.96118720538462,8.546198670093048,52.96450805030771,89.9155557085123
high,1,0.12521416332189636,21.833977875412415,49.30533431533215,9.729154481413152,87.8027260877418
high,2,0.08841770337308175,46.61134792331237,71.46203469272115,9.546304244079714,89.93004299239756
high,3,0.0492648568485231,85.97546111867797,8.431618501451467,13.278010277294275,89.98572558359214
high,4,0.04241735558370629,88.28092371249457,2.7824731016632427,13.197035977557022,89.97959511789722
high,5,0.03331902348953332,88.45217996098918,2.690550417822692,48.34553336353259,89.97396065066042
high,6,0.030083537304618567,88.32190334015462,2.771172968447516,55.694786575769356,89.99657165572077
lowpass_2px,1,0.2644366738518037,34.43195896702816,32.74709543484653,8.485487078322063,88.93082171445464
lowpass_2px,2,0.20942701879066755,42.521393871408335,42.85998712097182,6.542476589445014,89.84341352453153
lowpass_2px,3,0.09157159458986118,53.25643819611178,23.268828712813423,13.561493467110493,89.87790447755295
lowpass_2px,4,0.06798393500251601,66.56263610666338,34.407141825726576,16.249306251368044,89.96291425994957
lowpass_2px,5,0.05212519106812786,66.74896419506697,22.45767649815116,18.04212733093335,89.54486480130267
lowpass_2px,6,0.04512891891775751,71.04986487080339,23.267275886983846,17.990473263126585,89.97879376181697
lowpass_4px,1,0.28464447242026636,33.08831983113737,34.538927397464754,8.183493150593698,88.9075898850813
lowpass_4px,2,0.22103233911252973,41.195248780838625,42.90404098514638,6.120360867753856,89.29777032676466
lowpass_4px,3,0.09753238433147342,50.94955926008643,23.525848868633346,12.681653985868005,89.71042029048894
lowpass_4px,4,0.07082259664022747,64.35709597473063,36.74486192623222,15.21583392480852,89.9189371910698
lowpass_4px,5,0.05315677124330637,64.52454549598147,23.145410610263312,16.729171419399655,89.74487047253491
lowpass_4px,6,0.04622348042360554,67.06685383009793,23.481670623724696,17.817414118785685,89.96604624137265
lowpass_8px,1,0.3196839663502182,31.217066521080042,36.83218740173968,7.6233470489521915,87.99151825319575
lowpass_8px,2,0.23743830809524363,38.90140258653311,37.52039601480338,5.936333830014284,89.52613843161511
lowpass_8px,3,0.10809948819075309,46.63790613640836,23.463702288872142,11.377038992836644,89.86711704347401
lowpass_8px,4,0.07446947686148848,58.004744874454474,35.457879866138285,11.871638878847733,89.75796616228509
lowpass_8px,5,0.05208772816786855,60.132330722122084,22.460522871863077,16.86613568357145,88.95485632154801
lowpass_8px,6,0.046245426368707945,60.078666342150555,25.70717183640039,16.31039107566395,89.89423138058007
lowpass_16px,1,0.37410551815052945,28.78894706386184,34.4757167108954,6.710153481268126,86.8364116248607
lowpass_16px,2,0.2576217810053383,34.73467136762323,34.42486267637869,5.639221610100228,89.65753882761183
lowpass_16px,3,0.12557801083286557,37.639364120542794,18.996314831360962,9.970567267956701,87.65907108538902
lowpass_16px,4,0.0769318360304617,43.69094771574608,34.89314618025141,7.055941507819888,88.9971913417377
lowpass_16px,5,0.04361720539361205,53.09109934127787,26.49611968211422,15.852421020782208,89.78679997534672
lowpass_16px,6,0.04126356159611397,48.000168505169285,21.36402148223962,10.814646372583844,89.68807946500164
