dataset_index,session_id,median_depth_um,Sq_um,Sa_um,Ssk,Sku,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um,corr_len_um,pit_count_per_roi,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
0,zro2_120_formal,13.5066,0.5698619732077966,0.43021318327635527,-0.8683832715745423,0.8606866394446802,0.1375922963859377,0.9357132768889717,0.058738836690324016,26.75,260,2.608588695526123,0.1030365304961422,0.03269212101215346,0.13763291307983713,0.05833178266920231,0.15964823789589255,0.07848540501419625,0.5104522050524286,0.8023628519152859
1,zro2_120_formal,8.6371,0.2474479139721646,0.18769852867349981,0.2263147492129335,2.163836159905178,0.16601745363320558,1.169791651651312,0.0963594361585658,3.75,33,1.0504846572875977,0.12916024012678712,0.27245205849987925,0.1087371577210393,0.19310270596168846,0.07383904946111984,0.08904398763915052,0.11021307053073402,0.19838033074360886
2,zro2_120_formal,3.897,0.24253570528548113,0.1922057778760791,-0.20444766945881182,0.08137136588171145,0.19332230837515374,1.7280293948654324,0.10358545446472928,4.5,17,0.9572693109512329,0.1111059921035049,0.2098570663089332,0.08559760237343181,0.12455805961887483,0.06365790987492709,0.06888955573618431,0.09700541596650959,0.15997075649531026
3,zro2_120_formal,2.162,0.350995647916628,0.28703466516919435,-0.06557407743089498,-0.23660268112401361,0.2861270171719232,1.9178438108706684,0.18590508171051162,21.0,2,1.448561429977417,0.2807287818920139,0.6396912633114532,0.0976280174378097,0.07736516871239914,0.05807806601786592,0.027379204712439615,0.09045051956027783,0.06640773511489544
4,zro2_120_formal,4.774,0.38283747743170576,0.31219142478890716,0.16518859557352655,-0.2041715013568628,0.27980029135594375,2.072526107372664,0.14314579754811774,21.0,3,1.5796504020690918,0.2863962251043359,0.5596360554958485,0.0841823461931048,0.048351857103917574,0.084633031654792,0.048870963837063054,0.1458907618792905,0.14522008703266945
5,zro2_120_formal,0.7912,0.7214708222399228,0.6459669410050407,-0.051625468154263644,-1.3251149280121697,0.48602984837328156,3.4984543172425933,0.19881554929134299,21.0,0,2.0300320088863373,0.6892220665389699,0.9126007118620215,0.09622991777835173,0.017790275982375144,0.046724490823670216,0.004194223900598252,0.05934036544760607,0.0067649234893713914
6,zro2_120_formal,6.1178,0.8691893010855851,0.762839804533869,0.2404510144857071,-1.2591588765876176,0.5627609088852555,4.166138580515877,0.1473344738627559,21.0,0,1.7475953102111816,0.8137978600038268,0.8766058066941096,0.1616724984893757,0.03459740743768254,0.09148906846262093,0.011079232276485265,0.12774493206066384,0.021600241934302346
7,zro2_120_formal,2.6327,1.092760064340996,0.9501833926099675,0.2366919648593991,-1.0768332940873104,0.7232989095774868,3.370397358450119,0.2824522230210693,21.0,0,2.6173317432403564,0.979539048864074,0.8035147938678739,0.23910443729164055,0.04787685802044208,0.1453083608262152,0.017682007777732486,0.2566162410016084,0.05514658809466001
8,zro2_120_formal,57.0338,0.3400339414728189,0.16675125911831856,9.23201927084401,147.9673293233625,0.267714526979338,0.7403232318753238,0.13941474459568454,3.0,18,0.6732025146484375,0.2102392241227921,0.3822812092734473,0.14665955878845693,0.18602709711789084,0.09010121168260633,0.07021286971111544,0.06345685399469077,0.03482671687836141
9,zro2_120_formal,3.669,0.839902858973966,0.6703478494845331,-0.2916996552462086,-0.019995867646187993,0.47318992989914904,0.9386011788927784,0.17985642836234178,3.75,11,3.122002959251404,0.538889300530697,0.411662211378088,0.44562991163425125,0.2815078751501812,0.26271168992581545,0.09783644799858099,0.22698142514172995,0.07303356791923511
