scale,sentinel_D_um,sentinel_pct_of_ordinary,ordinary_median_D_um,ordinary_p5_um,ordinary_p95_um
total,0.28729026064666796,0.11078100609295534,1.3012313082527105,0.5144145633773097,7.096546767087493
DCT_8_16,0.15055283835240232,0.3826980210483912,0.6415755719543793,0.24204474538146148,1.7008345420754298
DCT_16_32,0.12668699430101463,0.8912835490205951,0.5740621208686405,0.1672282632333582,2.417129060547786
DCT_32_64,0.0874721551762935,1.455259580039277,0.4109079338841881,0.11736148771523437,3.234130366099579
DCT_64_inf,0.07468876652190505,0.2517750138476258,0.5893815912525089,0.15285622160115866,5.311165166591388
