scale,step,step_rms_q25_um,step_rms_q50_um,step_rms_q75_um,step_rms_q90_um,step_rms_q95_um,cos_step1_vs_2_q25,cos_step1_vs_2_q50,cos_step1_vs_2_q75,cos_step1_vs_2_q90,cos_step1_vs_2_q95,cos_step2_vs_3_q25,cos_step2_vs_3_q50,cos_step2_vs_3_q75,cos_step2_vs_3_q90,cos_step2_vs_3_q95,across_traj_same_step_cos_q50,depth_step_median_um
total,1,0.8189111411400686,1.0295867903216005,1.140311327153453,1.5018212086234286,1.8284799912956697,-0.6122798443804245,-0.3434882954312837,-0.12635588474342474,-0.03411959202484953,-0.01284574815025626,-0.4811235555202569,-0.34101875117850644,-0.12800506132714362,0.023717795956984346,0.15160539339936713,0.0060062304989229815,7.816600000000001
total,2,0.6802379380053677,0.6971084477141489,0.7454737490958493,0.8949321630688427,0.8949321630688427,-0.6122798443804245,-0.3434882954312837,-0.12635588474342474,-0.03411959202484953,-0.01284574815025626,-0.4811235555202569,-0.34101875117850644,-0.12800506132714362,0.023717795956984346,0.15160539339936713,0.024775246338112338,7.0549
total,3,0.8214340737776991,0.9681472995128632,1.0446094973057873,1.174833768192314,1.174833768192314,-0.6122798443804245,-0.3434882954312837,-0.12635588474342474,-0.03411959202484953,-0.01284574815025626,-0.4811235555202569,-0.34101875117850644,-0.12800506132714362,0.023717795956984346,0.15160539339936713,0.0018313052988738242,5.288600000000002
DCT_8_16,1,0.43948457720822726,0.6490503522112272,0.711813772179954,1.0241427490364294,1.0241427490364294,-0.6146979194722024,-0.4174240467180749,-0.34149774672848177,-0.18864277939169966,0.02229950730095767,-0.4563836467684256,-0.41050044887633025,-0.3433481156025162,-0.09500436501388827,0.10386757840196739,-0.003914991804945803,7.816600000000001
DCT_8_16,2,0.34565753450573233,0.3679014643226444,0.4270436654227577,0.4941768163952551,0.4941768163952551,-0.6146979194722024,-0.4174240467180749,-0.34149774672848177,-0.18864277939169966,0.02229950730095767,-0.4563836467684256,-0.41050044887633025,-0.3433481156025162,-0.09500436501388827,0.10386757840196739,0.009700540620943103,7.0549
DCT_8_16,3,0.3523511206145023,0.3954128531447231,0.4141276483974978,0.5008815141375184,0.5008815141375184,-0.6146979194722024,-0.4174240467180749,-0.34149774672848177,-0.18864277939169966,0.02229950730095767,-0.4563836467684256,-0.41050044887633025,-0.3433481156025162,-0.09500436501388827,0.10386757840196739,0.008417025840596304,5.288600000000002
DCT_16_32,1,0.2596029613098806,0.44733887105852155,0.56305070159065,0.6221538559739141,0.6265790958392808,-0.5506391362737724,-0.3368498959772264,-0.21420012518525972,-0.10065700409045711,-0.07976535451116436,-0.43792563322828026,-0.39411458304113317,-0.2636693661153289,0.015171360224220283,0.06344948485644833,0.0029791788444387874,7.816600000000001
DCT_16_32,2,0.21948129873926078,0.22200306408516932,0.3928720810781372,0.4057196390267066,0.4063996700863247,-0.5506391362737724,-0.3368498959772264,-0.21420012518525972,-0.10065700409045711,-0.07976535451116436,-0.43792563322828026,-0.39411458304113317,-0.2636693661153289,0.015171360224220283,0.06344948485644833,-0.01049053264533692,7.0549
DCT_16_32,3,0.41763172973154544,0.4322478798376763,0.4451868097895607,0.44891852545656014,0.4520822945345674,-0.5506391362737724,-0.3368498959772264,-0.21420012518525972,-0.10065700409045711,-0.07976535451116436,-0.43792563322828026,-0.39411458304113317,-0.2636693661153289,0.015171360224220283,0.06344948485644833,0.031593179712462595,5.288600000000002
DCT_32_64,1,0.12037527382325502,0.35693064966778326,0.3740357961085352,0.44681576511324217,0.5621990161844386,-0.4331259087374604,-0.2379515281161552,-0.10031558999342644,0.08803433842510137,0.18628665272343417,-0.4924134144879288,-0.24657695447629693,-0.09452129121194577,0.2791061834324298,0.3742542599013642,0.01963562198320232,7.816600000000001
DCT_32_64,2,0.13110883561090017,0.1534788305206147,0.21904441045139927,0.25094193162977885,0.27952156577419635,-0.4331259087374604,-0.2379515281161552,-0.10031558999342644,0.08803433842510137,0.18628665272343417,-0.4924134144879288,-0.24657695447629693,-0.09452129121194577,0.2791061834324298,0.3742542599013642,-0.01378786371471291,7.0549
DCT_32_64,3,0.24510814453039653,0.41655461305211533,0.4183012402421831,0.5592994174819605,0.57561178662287,-0.4331259087374604,-0.2379515281161552,-0.10031558999342644,0.08803433842510137,0.18628665272343417,-0.4924134144879288,-0.24657695447629693,-0.09452129121194577,0.2791061834324298,0.3742542599013642,-0.04346712465999254,5.288600000000002
DCT_64_inf,1,0.2663406678532023,0.26649175543906,0.3545784771361755,0.39896675891987615,0.39896675891987615,-0.6123144262188567,-0.22242493468971283,0.23328152092305415,0.36771963400973107,0.45625261522529825,-0.5924730161867837,-0.16194595112044718,0.5077805316747883,0.5817859981941457,0.6386337996934562,0.061679483368380916,7.816600000000001
DCT_64_inf,2,0.27875805607374476,0.2937615712454745,0.3196640232328422,0.36574722413505106,0.37993603134743476,-0.6123144262188567,-0.22242493468971283,0.23328152092305415,0.36771963400973107,0.45625261522529825,-0.5924730161867837,-0.16194595112044718,0.5077805316747883,0.5817859981941457,0.6386337996934562,0.1856681498543444,7.0549
DCT_64_inf,3,0.21630139848121815,0.22724689465545317,0.43193798164501007,0.5034225855327936,0.5423217543446718,-0.6123144262188567,-0.22242493468971283,0.23328152092305415,0.36771963400973107,0.45625261522529825,-0.5924730161867837,-0.16194595112044718,0.5077805316747883,0.5817859981941457,0.6386337996934562,0.047844992783419825,5.288600000000002
