scale,permutation,null_median_cos_pc1_next
DCT_8_16,15,0.9821962327731195
DCT_8_16,16,0.9670358891412459
DCT_8_16,17,0.9797906409496522
DCT_8_16,18,0.9612386803020074
DCT_8_16,19,0.9869794700229713
DCT_8_16,20,0.9864606143588873
DCT_8_16,21,0.9697199300259757
DCT_8_16,22,0.9746511828946489
DCT_8_16,23,0.9903839181480004
DCT_8_16,24,0.9790379790382047
DCT_8_16,25,0.9670978522766823
DCT_8_16,26,0.9937147068374824
DCT_8_16,27,0.9710320160551534
DCT_8_16,28,0.9591358730985098
DCT_8_16,29,0.9827231180147429
DCT_8_16,30,0.9793906395268668
DCT_8_16,31,0.9889332589520199
DCT_8_16,32,0.9776109631905235
DCT_8_16,33,0.9775551481667195
DCT_8_16,34,0.9388585899362127
DCT_8_16,35,0.9744414793125213
DCT_8_16,36,0.9829677819738414
DCT_8_16,37,0.9708111658199895
DCT_8_16,38,0.9893442781827374
DCT_8_16,39,0.9843766704024759
DCT_8_16,40,0.9849778304807053
DCT_8_16,41,0.9863971017667589
DCT_8_16,42,0.9919075115351913
DCT_8_16,43,0.9878603792457171
DCT_8_16,44,0.9852296771039768
DCT_8_16,45,0.9797850242754539
DCT_8_16,46,0.9904282862930711
DCT_8_16,47,0.9753916061258595
DCT_8_16,48,0.954010299975288
DCT_8_16,49,0.9714125548246102
DCT_8_16,50,0.987034556801134
DCT_8_16,51,0.9850217116902785
DCT_8_16,52,0.982200356911124
DCT_8_16,53,0.9730159500684161
DCT_8_16,54,0.981203852055291
DCT_8_16,55,0.9785836481306291
DCT_8_16,56,0.9843062893317067
DCT_8_16,57,0.985339526324357
DCT_8_16,58,0.985291479574624
DCT_8_16,59,0.9812705692486821
DCT_8_16,60,0.9476649772385108
DCT_8_16,61,0.9464160558054753
DCT_8_16,62,0.9877862243132355
DCT_8_16,63,0.9734147250506198
DCT_8_16,64,0.9724270744015765
DCT_8_16,65,0.9944567800203133
DCT_8_16,66,0.9784990556707511
DCT_8_16,67,0.9874789237726562
DCT_8_16,68,0.9759295211881438
DCT_8_16,69,0.9522254962227487
DCT_8_16,70,0.987876390264932
DCT_8_16,71,0.9585151782467168
DCT_8_16,72,0.9739416259839372
DCT_8_16,73,0.9636207364716421
DCT_8_16,74,0.9839420738890136
DCT_8_16,75,0.9670898036724941
DCT_8_16,76,0.9668197366992396
DCT_8_16,77,0.9744596600439631
DCT_8_16,78,0.99080741256098
DCT_8_16,79,0.9706737002468084
DCT_8_16,80,0.9439007476718683
DCT_8_16,81,0.9722221058432919
DCT_8_16,82,0.9914578546799624
DCT_8_16,83,0.9827642800743046
DCT_8_16,84,0.9828424401286141
DCT_8_16,85,0.9883348056945074
DCT_8_16,86,0.981668553475909
DCT_8_16,87,0.9791119761531055
DCT_8_16,88,0.987757593576932
DCT_8_16,89,0.976960569484154
DCT_8_16,90,0.965591236602652
DCT_8_16,91,0.9824760217882529
DCT_8_16,92,0.9475861723461582
DCT_8_16,93,0.978944113420859
DCT_8_16,94,0.9921197299893552
DCT_8_16,95,0.9756635736257085
DCT_8_16,96,0.9877157068679265
DCT_8_16,97,0.9923328538031656
DCT_8_16,98,0.9868213411788639
DCT_8_16,99,0.9945478884200174
DCT_8_16,100,0.9883718032668666
DCT_8_16,101,0.9858833943785364
DCT_8_16,102,0.9733929350603576
DCT_8_16,103,0.9827040050484497
DCT_8_16,104,0.9371417931206212
DCT_8_16,105,0.9633782373571064
DCT_8_16,106,0.9906052650328192
DCT_8_16,107,0.981255968352718
DCT_8_16,108,0.9802873319689854
DCT_8_16,109,0.9833906803191182
DCT_8_16,110,0.9850661999628801
DCT_8_16,111,0.974685644141636
