subset,scale,rank,cluster_id,loco_angle_deg,members
global,total,1,zro2_120_formal:m066,51.2161118402466,"zro2_120_formal:s66(po66,N1,d38.0)"
global,total,2,zro2_120_formal:m038,19.309217657981627,"zro2_120_formal:s38(po38,N2,d53.7)"
global,total,3,zro2_60_pass:m008,12.951873194939845,"zro2_60_pass:s15(po15,N2,d26.9)|zro2_60_pass:s16(po16,N3,d37.0)"
global,total,4,zro2_120_formal:m020,12.712658142651984,"zro2_120_formal:s20(po20,N5,d63.1)"
global,total,5,zro2_60_pass:m007,12.510204094686959,"zro2_60_pass:s13(po13,N4,d43.1)|zro2_60_pass:s14(po14,N1,d0.1)"
formal f=2kHz,total,1,zro2_120_formal:m008,18.585932342370455,"zro2_120_formal:s8(po8,N5,d2.6)"
formal f=2kHz,total,2,zro2_120_formal:m007,12.456372411985079,"zro2_120_formal:s7(po7,N5,d6.1)"
formal f=2kHz,total,3,zro2_120_formal:m051,10.907403366321148,"zro2_120_formal:s51(po51,N3,d1.7)"
formal f=2kHz,total,4,zro2_120_formal:m006,7.156482057569413,"zro2_120_formal:s6(po6,N2,d0.8)"
formal f=2kHz,total,5,zro2_120_formal:m074,1.3380752578791995,"zro2_120_formal:s74(po74,N5,d16.9)"
formal f=2kHz,G2,1,zro2_120_formal:m008,19.01583050622174,"zro2_120_formal:s8(po8,N5,d2.6)"
formal f=2kHz,G2,2,zro2_120_formal:m007,13.724141630472126,"zro2_120_formal:s7(po7,N5,d6.1)"
formal f=2kHz,G2,3,zro2_120_formal:m051,11.238374174758327,"zro2_120_formal:s51(po51,N3,d1.7)"
formal f=2kHz,G2,4,zro2_120_formal:m006,6.995984284277855,"zro2_120_formal:s6(po6,N2,d0.8)"
formal f=2kHz,G2,5,zro2_120_formal:m074,2.040599206753087,"zro2_120_formal:s74(po74,N5,d16.9)"
formal f=2kHz,G4,1,zro2_120_formal:m074,88.81806578263648,"zro2_120_formal:s74(po74,N5,d16.9)"
formal f=2kHz,G4,2,zro2_120_formal:m001,84.40578510562008,"zro2_120_formal:s1(po1,N4,d13.5)"
formal f=2kHz,G4,3,zro2_120_formal:m099,15.483624999344661,"zro2_120_formal:s99(po99,N1,d1.3)"
formal f=2kHz,G4,4,zro2_120_formal:m051,9.086768110491873,"zro2_120_formal:s51(po51,N3,d1.7)"
formal f=2kHz,G4,5,zro2_120_formal:m025,3.853744018233652,"zro2_120_formal:s25(po25,N3,d16.0)"
formal f=2kHz,G8,1,zro2_120_formal:m074,32.78716790037,"zro2_120_formal:s74(po74,N5,d16.9)"
formal f=2kHz,G8,2,zro2_120_formal:m001,11.102803711574094,"zro2_120_formal:s1(po1,N4,d13.5)"
formal f=2kHz,G8,3,zro2_120_formal:m099,10.811165798959172,"zro2_120_formal:s99(po99,N1,d1.3)"
formal f=2kHz,G8,4,zro2_120_formal:m025,3.5074527565592892,"zro2_120_formal:s25(po25,N3,d16.0)"
formal f=2kHz,G8,5,zro2_120_formal:m076,2.2224446929098756,"zro2_120_formal:s76(po76,N3,d11.1)"
formal f=2kHz,G16,1,zro2_120_formal:m074,48.50976233377636,"zro2_120_formal:s74(po74,N5,d16.9)"
formal f=2kHz,G16,2,zro2_120_formal:m001,14.75715230039374,"zro2_120_formal:s1(po1,N4,d13.5)"
formal f=2kHz,G16,3,zro2_120_formal:m099,8.658675728353632,"zro2_120_formal:s99(po99,N1,d1.3)"
formal f=2kHz,G16,4,zro2_120_formal:m025,5.152919859902924,"zro2_120_formal:s25(po25,N3,d16.0)"
formal f=2kHz,G16,5,zro2_120_formal:m051,2.8418234051575655,"zro2_120_formal:s51(po51,N3,d1.7)"
formal f=2kHz,DCT_8_16,1,zro2_120_formal:m008,14.319416411196954,"zro2_120_formal:s8(po8,N5,d2.6)"
formal f=2kHz,DCT_8_16,2,zro2_120_formal:m007,9.139824367198734,"zro2_120_formal:s7(po7,N5,d6.1)"
formal f=2kHz,DCT_8_16,3,zro2_120_formal:m051,8.720006953920514,"zro2_120_formal:s51(po51,N3,d1.7)"
formal f=2kHz,DCT_8_16,4,zro2_120_formal:m006,6.629484015325222,"zro2_120_formal:s6(po6,N2,d0.8)"
formal f=2kHz,DCT_8_16,5,zro2_120_formal:m026,0.6833074856696334,"zro2_120_formal:s26(po26,N1,d0.2)"
formal f=2kHz,DCT_16_32,1,zro2_120_formal:m008,43.58067419418623,"zro2_120_formal:s8(po8,N5,d2.6)"
formal f=2kHz,DCT_16_32,2,zro2_120_formal:m025,32.9094960096246,"zro2_120_formal:s25(po25,N3,d16.0)"
formal f=2kHz,DCT_16_32,3,zro2_120_formal:m073,22.049616097310594,"zro2_120_formal:s73(po73,N5,d27.4)"
formal f=2kHz,DCT_16_32,4,zro2_120_formal:m097,21.396078032890664,"zro2_120_formal:s97(po97,N4,d29.4)"
formal f=2kHz,DCT_16_32,5,zro2_120_formal:m007,13.7442033521464,"zro2_120_formal:s7(po7,N5,d6.1)"
formal f=2kHz,DCT_32_64,1,zro2_120_formal:m099,52.72257980415276,"zro2_120_formal:s99(po99,N1,d1.3)"
