kind,scale,window_center_depth_um,evr_pc1,cos_pc1_next,cos_pc13_next_worst
overlap,total,3.5307459999999997,0.549375133472459,0.059175658999950864,0.29152588746270997
overlap,total,5.04847,0.22780952181604786,0.11558513763329563,0.9119740639758035
overlap,total,6.762202000000001,0.174793279174087,0.7230497147612605,0.38649687464498617
overlap,total,8.982137999999999,0.26702260582572046,0.9795285159081693,0.8568034914072749
overlap,total,11.578942,0.2644538482188041,0.9930406159210158,0.7694406701634188
overlap,total,14.908479999999999,0.3374599824961042,0.6819022903028368,0.09704827760144498
overlap,total,19.013384000000002,0.5509713373782541,0.9988504356457398,0.9418227935916714
overlap,total,23.469266,0.5249160833428244,0.8491972865596101,0.546382359022985
overlap,total,27.898742000000002,0.7461529264832504,0.9997473822754013,0.6013253743614457
overlap,total,32.229470000000006,0.7851261189357815,0.9994553775385787,0.12521866698877857
overlap,total,36.096326,0.7296006791924725,0.9933832052872056,0.04389829866238491
overlap,total,39.367364,0.599882504258481,0.9995473031088293,0.8660653096000543
overlap,total,42.296556,0.5402718134885132,0.06538063922868409,0.1172637215436135
overlap,total,45.047982000000005,0.25192533965962915,0.08376744396681379,0.4198950677697476
overlap,total,48.049182,0.4717954320577926,0.9945440610414942,0.1523892956410553
nonoverlap,total,3.5307459999999997,,0.42461845527093517,0.2137601882653174
nonoverlap,total,14.908479999999999,,0.7230947289660883,0.12846029579457
nonoverlap,total,36.096326,,0.07052126413544205,0.08620302211535438
overlap,G16,3.5307459999999997,0.8349534759599633,0.09487752199460797,0.6186031642016456
overlap,G16,5.04847,0.40575058758054006,0.6833594039190334,0.8321021350447438
overlap,G16,6.762202000000001,0.393565892688679,0.7407084101068455,0.5592003502628674
overlap,G16,8.982137999999999,0.5927131610519796,0.9929597024250927,0.8243399469969616
overlap,G16,11.578942,0.5808500661706568,0.9995331603490732,0.8814863015034647
overlap,G16,14.908479999999999,0.66433736821143,0.853894069333686,0.042030446539960534
overlap,G16,19.013384000000002,0.7539186442642002,0.9981576726691292,0.8593123464858528
overlap,G16,23.469266,0.737816176675567,0.9140100252824478,0.7159173810148148
overlap,G16,27.898742000000002,0.8883540066609683,0.9998576824951263,0.9269855677046808
overlap,G16,32.229470000000006,0.9054044092047154,0.9997240959387558,0.9253603306935094
overlap,G16,36.096326,0.8688660507420743,0.9967002856465089,0.10638405114769013
overlap,G16,39.367364,0.7477218481608007,0.9997365813786601,0.0015206936890117667
overlap,G16,42.296556,0.7119367076022288,0.03700746574259485,0.025649784050096946
overlap,G16,45.047982000000005,0.30693164221908803,0.5389592260879901,0.9168017096811496
overlap,G16,48.049182,0.593996394614708,0.9898035562844895,0.28209670599619235
nonoverlap,G16,3.5307459999999997,,0.4907846093999783,0.23694251443562986
nonoverlap,G16,14.908479999999999,,0.8316012825582872,0.29549974241071336
nonoverlap,G16,36.096326,,0.12259669327877913,0.2664798965598187
overlap,DCT_8_16,3.5307459999999997,0.5221037717484202,0.997772425283588,0.05135488805936586
overlap,DCT_8_16,5.04847,0.5331621483790059,0.9947945994383318,0.9939190143067373
overlap,DCT_8_16,6.762202000000001,0.4393163889594637,0.9996535378635681,0.9966896915498837
overlap,DCT_8_16,8.982137999999999,0.46055242047118344,0.9904364714751706,0.9276305723139315
overlap,DCT_8_16,11.578942,0.449501094841079,0.944447991254758,0.4005957845151887
overlap,DCT_8_16,14.908479999999999,0.4743106826896461,0.9959940548543447,0.2953223192161612
overlap,DCT_8_16,19.013384000000002,0.4133747240720204,0.9954911746024846,0.612560391088537
overlap,DCT_8_16,23.469266,0.35655682180923115,0.9090077508374491,0.06375767103881315
overlap,DCT_8_16,27.898742000000002,0.29470748959544923,0.780278996927158,0.919908393741069
overlap,DCT_8_16,32.229470000000006,0.301124376118783,0.9733123947271212,0.6110191127986403
overlap,DCT_8_16,36.096326,0.28759359141563473,0.9817139580227018,0.02945542518904873
overlap,DCT_8_16,39.367364,0.2309372240832297,0.9898985508572186,0.0038713091443755565
overlap,DCT_8_16,42.296556,0.19032926559950236,0.06427737600796721,0.1058919370925285
overlap,DCT_8_16,45.047982000000005,0.17837600238248283,0.10394467056831422,0.10946464129616625
overlap,DCT_8_16,48.049182,0.27480998676421853,0.9979587190281224,0.763828697859055
nonoverlap,DCT_8_16,3.5307459999999997,,0.9078672322166745,0.08378274496990813
nonoverlap,DCT_8_16,14.908479999999999,,0.245264448079745,0.10006424646953135
nonoverlap,DCT_8_16,36.096326,,0.07436448546738714,0.05286947110993924
overlap,DCT_16_32,3.5307459999999997,0.33706816210302043,0.9230257376947558,0.026538269630480015
overlap,DCT_16_32,5.04847,0.33812466264741836,0.9997472979291686,0.9981955886362255
overlap,DCT_16_32,6.762202000000001,0.3376267746965137,0.9993559375830263,0.4365109045246847
overlap,DCT_16_32,8.982137999999999,0.3697198945976303,0.9782379878726004,0.04373542477743512
overlap,DCT_16_32,11.578942,0.33360869428190343,0.10550228490583606,0.5409078802106502
overlap,DCT_16_32,14.908479999999999,0.31325671806942695,0.043891051000627325,0.10194066661252073
overlap,DCT_16_32,19.013384000000002,0.3410939578110311,0.9948137481439437,0.6205720233511761
overlap,DCT_16_32,23.469266,0.29769835889144697,0.3111645811388675,0.048936524176512584
overlap,DCT_16_32,27.898742000000002,0.35098994398423644,0.9953877625878396,0.14328409490658678
overlap,DCT_16_32,32.229470000000006,0.4009954837586333,0.9747280660783837,0.047820834403422656
overlap,DCT_16_32,36.096326,0.3554800717902962,0.9951863821868174,0.10593294113340143
overlap,DCT_16_32,39.367364,0.2997027770407903,0.9957056750286108,0.22885382283844047
overlap,DCT_16_32,42.296556,0.24080988239005668,0.13579696743270023,0.00971401580357953
overlap,DCT_16_32,45.047982000000005,0.18780412798575433,0.10287251894599542,0.15913622709213218
overlap,DCT_16_32,48.049182,0.30111566376665727,0.944036545559531,0.4584779694348293
