subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
formal f=2kHz,G8,24,0.4555078293884207,0.7455251349611056,2.2434704333025715,10.73090494121545,16.87448660688421,40.10136569494807,72.07273116133884,80.87725556604802,44.40660038810917,0.7684402183371986,32.78716790037,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.38,not_called
formal f=2kHz,G16,24,0.5049420326134997,0.859923473976879,2.0079519224004647,9.057114435034403,16.375213004422385,49.9335422024959,79.7536603523112,85.52643184249663,27.343950525034906,0.7611346170071047,48.50976233377636,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.28,not_called
formal f=2kHz,DCT_8_16,24,0.6161595588019644,0.8352500677904636,5.2306524136985955,8.415114248863258,11.821778882458375,18.05100704318953,29.629990358807433,32.88856319452155,21.331496001081934,0.3455130447426674,14.319416411196954,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.79,not_called
formal f=2kHz,DCT_16_32,24,0.15748572812795902,0.40117520000611134,1.1762567933404589,39.62743740960562,47.09807015917448,60.53247890905242,74.76583360851168,80.16096142519433,82.53158843914167,1.1629929107056927,43.58067419418623,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.13,not_called
formal f=2kHz,DCT_32_64,24,0.27953484293820874,0.5916615795602638,1.742578211165115,17.25940397540507,26.726910518593073,61.24495630791689,72.50002848894808,78.35709925108978,57.76756274785399,1.692455695611168,52.72257980415276,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.28,not_called
formal f=2kHz,DCT_64_inf,24,0.5873450346174216,0.9171518163863325,2.4714214454113312,8.596955718614987,13.518597667511644,31.1064966974434,71.6873905406763,79.52262090237848,20.595630935396542,0.6190081666340768,28.111998432536144,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.37,not_called
formal f=10kHz,total,24,0.34155947291559735,0.6342941821624559,1.8954273926739424,9.707793411211506,23.542755138802022,78.64031429585272,87.37539593833883,89.00833952936122,78.82867660241618,0.1522158920264483,78.49120264041412,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.31,not_called
formal f=10kHz,G2,24,0.30128665208873606,0.6397408785934269,1.4290412915970567,11.867545183448446,37.15254669634048,81.61631991362185,86.41014568969662,88.57228545238448,75.29825152782905,0.2280190628873646,83.79398229645844,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.08,not_called
formal f=10kHz,G4,24,0.2870131209683752,0.6365268997357484,1.5355942332977663,9.59446822786267,40.85933530830859,80.51219771328081,86.03505520927177,88.41287311449453,72.24630387940786,0.5805754876924119,84.25988685451776,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.12,not_called
formal f=10kHz,G8,24,0.3707106828714874,0.7311228506531202,1.7249114026130365,8.44278325021617,16.237425846628277,72.35119154038725,86.7856458039365,88.36751145535017,72.31045213645734,0.45101163879377326,74.33799286393463,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.4,not_called
formal f=10kHz,G16,24,0.4149522158560551,0.7896102398754665,1.5776103156303387,18.27329186249365,30.321582866527557,47.63012938315989,68.00281927290973,83.82017998873597,67.35051092801211,0.4349177821979229,49.52530870684163,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.06,not_called
formal f=10kHz,DCT_8_16,24,0.6448345113439348,0.7796651552521987,7.9844989400034425,5.97387480611534,11.026456984914022,20.794784004354128,29.888639449133365,33.750461863140885,73.41471862487816,0.04992794308900339,21.209616874860803,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.81,not_called
formal f=10kHz,DCT_16_32,24,0.26288401015084933,0.5675767881642384,1.673577084066099,17.528359651025454,44.068815519172986,66.9338224235135,80.3117765311356,84.40217074175133,72.07983194267328,0.8196039001768993,58.61293756427753,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.15,not_called
formal f=10kHz,DCT_32_64,24,0.5861430473823467,0.846630436279363,3.624135680542545,5.792182139326032,9.069132886423674,64.72738413603439,70.65774669394531,82.3956085212084,68.5809066717996,0.24626622751193172,64.1505730878613,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.54,not_called
formal f=10kHz,DCT_64_inf,24,0.4114038454045157,0.8315629393263968,1.311012406112928,21.899311403525875,35.86150158638675,55.94754641034095,73.39620619594814,81.20595996829364,48.82976872083545,0.7487310202269201,62.63798520885109,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.05,not_called
formal f=50kHz,total,24,0.4162116885046153,0.6605030350755852,3.1104178022825058,4.847135678082621,7.102852300342601,73.61230590761582,88.11040356304233,89.0553802491624,78.32237833962827,0.37710463120948967,88.33499678759516,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.56,not_called
formal f=50kHz,G2,24,0.4327572385428904,0.6861796547822429,3.1032656831278915,4.760236035613714,6.978211737376727,74.75522948743081,88.06801970906254,89.06927439146962,77.47106534796416,0.3705746635903221,88.07741416899863,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.57,not_called
formal f=50kHz,G4,24,0.46035387583329207,0.7263538050845554,3.1369730426048203,4.625509984516419,6.700553663201539,77.66594866315657,87.81715867325462,89.15828189187665,76.1192029674419,0.3602717421520362,87.42192688782693,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.55,not_called
formal f=50kHz,G8,24,0.5032839569128521,0.7784710080089599,3.323540400868407,4.408940145280397,6.539305390662598,73.6178630408751,87.46520342460538,89.14911766937719,73.84750241765123,0.30101616570771617,83.94970024562134,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.61,not_called
formal f=50kHz,G16,24,0.5607379438108737,0.8230146742070757,3.5718992194297168,4.422238704371738,6.695467173558692,61.512194247704244,86.12038189715378,88.36645551831263,70.12503538003172,0.21226422038998838,72.2238135155392,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.55,not_called
