target,input_set,model,cv_variant,Q2_median,Q2_q25,Q2_q75,n_pos,n_folds,dA_median_median,R2_z1_median,R2_z2_median,R2_z3_median,R2_z4_median,R2_median,R2_q25,R2_q75
ilr_z1_z4,A,dummy,exclude_artifact_yes_src_gkf,0.01323705931548158,0.010681916415715809,0.01990003251799044,5,5,,,,,,,,
ilr_z1_z4,A,dummy,formal_only_src_gkf,0.0,0.0,0.0,0,5,,,,,,,,
ilr_z1_z4,A,dummy,minus_top5_src_gkf,-0.00416138119380749,-0.004298491780562186,0.0024284884205472146,2,5,,,,,,,,
ilr_z1_z4,A,dummy,proc_gkf,0.0,0.0,0.0,0,5,1.7744579959448274,-0.1447619883740099,-0.0764747010143767,-0.03762962326268515,-0.018817757280959135,,,
ilr_z1_z4,A,dummy,proc_gss,0.0,0.0,0.0,0,5,1.6803812359497776,-0.09149660208441035,-0.005967914627683424,-0.05285749300467901,-0.016553501429195983,,,
ilr_z1_z4,A,dummy,src_gkf,0.0,0.0,0.0,0,5,1.806928859517251,-0.011558392623570724,-0.06776242131806987,-0.0038463221464251074,-0.004138949944936021,,,
ilr_z1_z4,A,dummy,src_gss,0.0,0.0,0.0,0,5,1.692689877833296,-0.004859888680700086,-0.0332212577354869,-0.02682691014791949,-0.007710602457259963,,,
ilr_z1_z4,A,extratrees,exclude_artifact_yes_src_gkf,0.21085440473933892,0.18510020398658467,0.2540818539354661,4,5,,,,,,,,
ilr_z1_z4,A,extratrees,formal_only_src_gkf,0.32733540584649823,0.22514785693015948,0.43079482752876885,5,5,,,,,,,,
ilr_z1_z4,A,extratrees,minus_top5_src_gkf,0.07818678146261682,0.014920063325331245,0.11318469839381207,4,5,,,,,,,,
ilr_z1_z4,A,extratrees,proc_gkf,0.30928547715471455,0.2773175393977826,0.369821392690033,5,5,1.4162561491915384,0.3071547902042302,0.4266219261057054,0.17828898924809844,0.11630430329361807,,,
ilr_z1_z4,A,extratrees,proc_gss,0.3136398588158965,0.29175201089588776,0.334324409712625,5,5,1.3749407362197679,0.40582523934097803,0.49106049254773765,0.17220295993569834,0.16746887314210956,,,
ilr_z1_z4,A,extratrees,src_gkf,0.4223613434157685,0.36227020820047207,0.4405292050842601,5,5,1.281253428352648,0.45385589120827874,0.6016258199541736,0.22833789259547177,0.11224817121157737,,,
ilr_z1_z4,A,extratrees,src_gss,0.31290680631361767,0.2982551085429672,0.43860900381632517,5,5,1.3382412211785564,0.43587841425003615,0.5988986748298708,0.21120037487196086,0.2372482121142664,,,
ilr_z1_z4,A,ridge,exclude_artifact_yes_src_gkf,0.17259881819615064,0.16860196240416292,0.18261957203348145,5,5,,,,,,,,
ilr_z1_z4,A,ridge,formal_only_src_gkf,0.322218649794182,0.22816836878770508,0.35437361295634917,5,5,,,,,,,,
ilr_z1_z4,A,ridge,minus_top5_src_gkf,0.09555612433264438,0.058753828234481276,0.12333920736088866,5,5,,,,,,,,
ilr_z1_z4,A,ridge,proc_gkf,0.341464041428723,0.3406915999426481,0.3460205759605952,5,5,1.3705101160985174,0.390081963414618,0.317896299895567,0.21461033611600255,0.11777775568578697,,,
ilr_z1_z4,A,ridge,proc_gss,0.3343313988305707,0.30881519636552035,0.3738926039425766,5,5,1.3334775989766119,0.4299842650678234,0.17684570721391946,0.23706703840854637,0.2229674443151679,,,
ilr_z1_z4,A,ridge,src_gkf,0.31268981546789887,0.3047232870733616,0.37426197839567965,5,5,1.2945147471925607,0.4274247521398762,0.2739469241431629,0.2121351591928664,0.2233620086584186,,,
ilr_z1_z4,A,ridge,src_gss,0.3375444808875592,0.22007246711655337,0.3690970253681265,5,5,1.408115126778924,0.41173031056502196,0.26414210425664575,0.16329991105169983,0.14012746282284627,,,
ilr_z1_z4,A,spline,proc_gkf,-0.04254775741358152,-0.4204522130842334,-0.03380112516820555,1,5,1.8696515159051874,-0.11205361385876378,-0.33876372655959686,-0.1501680051766625,-0.029731259208646943,,,
ilr_z1_z4,A,spline,proc_gss,-0.04638148937075037,-0.06347475948877412,-0.01022576676967435,1,5,1.627240308128676,-0.014409527041882475,-0.32583283554866327,-0.05941750870057838,-0.24216015985863448,,,
ilr_z1_z4,A,spline,src_gkf,-0.1911158997744098,-0.2661137701738292,-0.09400402035997901,0,5,1.820159273979915,-0.17757710184650133,-0.19602113512512576,-0.010742310110842368,-0.4550753686254909,,,
ilr_z1_z4,A,spline,src_gss,-0.1920351768481301,-0.22550086683974602,-0.07517571130834866,0,5,1.7450620182944778,-0.21339344232909152,-0.25084936916348655,-0.04956138567278834,-0.1572126772778879,,,
ilr_z1_z4,C,dummy,exclude_artifact_yes_src_gkf,0.01323705931548158,0.010681916415715809,0.01990003251799044,5,5,,,,,,,,
ilr_z1_z4,C,dummy,formal_only_src_gkf,0.0,0.0,0.0,0,5,,,,,,,,
ilr_z1_z4,C,dummy,minus_top5_src_gkf,-0.00416138119380749,-0.004298491780562186,0.0024284884205472146,2,5,,,,,,,,
ilr_z1_z4,C,dummy,proc_gkf,0.0,0.0,0.0,0,5,1.7744579959448274,-0.1447619883740099,-0.0764747010143767,-0.03762962326268515,-0.018817757280959135,,,
ilr_z1_z4,C,dummy,proc_gss,0.0,0.0,0.0,0,5,1.6803812359497776,-0.09149660208441035,-0.005967914627683424,-0.05285749300467901,-0.016553501429195983,,,
ilr_z1_z4,C,dummy,src_gkf,0.0,0.0,0.0,0,5,1.806928859517251,-0.011558392623570724,-0.06776242131806987,-0.0038463221464251074,-0.004138949944936021,,,
ilr_z1_z4,C,dummy,src_gss,0.0,0.0,0.0,0,5,1.692689877833296,-0.004859888680700086,-0.0332212577354869,-0.02682691014791949,-0.007710602457259963,,,
