feature,q2_base_mean,q2_perm_mean,importance_q2_drop
frequency_kHz,0.382635808671571,0.053623124509701636,0.32901268416186935
hatch_spacing_um,0.382635808671571,0.06053155598575864,0.32210425268581233
velocity_mm_s,0.382635808671571,0.23428812064849053,0.14834768802308046
pass_count,0.382635808671571,0.2773798629070621,0.10525594576450886
pulse_duration_fs,0.382635808671571,0.3578373245676147,0.024798484103956298
