run_id,experiment_id,model_id,variant,seed,model_sha,outer_fold,dataset_index,session_id,sample_id,component_id,selected_alpha,information_track,physical_valid,band_valid,support_status,risk
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,3,zro2_120_formal,4,18adeab07c66f0a6220f42b552e8f6371eec7998e00b068e57fe071ba3c10f72,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.36603722593260946
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,5,zro2_120_formal,6,d878d557bd642809900e1cd2cbfa297663c19430f739151859fb0df411813932,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.9530860932354768
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,8,zro2_120_formal,9,5a8d034dc5bc855c8cc7167052b204006334cad601c697d737030b6cfbbeafac,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,OOS,1.612825433361617
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,19,zro2_120_formal,20,ba76e90434e71d41c24161680085b4277285f7a175516149b86a70da126f2240,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,5.898396893024123
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,33,zro2_120_formal,34,8602be088ade4aa03b97055e8634fedfb21f0b6554c53366ac0e3df4de389311,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.6809604383266875
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,35,zro2_120_formal,36,2408b1dc1a902affc49faba1eb1a7974a98411526f82e856c2cca0b9effe2a3a,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.0662264151037675
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,37,zro2_120_formal,38,3689c38f9947e8059b87ef5082c010ea4b8b73bef146601bda7f54d88d9986b5,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,OOS,12.98019903157999
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,45,zro2_120_formal,46,f89410c437f281e05ca92c9f85a89bb4b5b41253d7122ca792e2e8d70d5f9db0,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.3993530364703997
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,50,zro2_120_formal,51,54bdf5810da02479bf93c59aa1b26120bfd5010a0a14423ffbfc4b6a74c3fdb9,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,2.127455857314789
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,51,zro2_120_formal,52,73473a287ae075daec030063466b079c19da048c94a811f5d919417d622c132b,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.2108936956345577
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,53,zro2_120_formal,54,73473a287ae075daec030063466b079c19da048c94a811f5d919417d622c132b,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.528540112526722
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,60,zro2_120_formal,61,effd732dee5a24b3ab2fa3bf7285e7bf0f1bcb9877a430006059b7699750a021,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.4525817342932064
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,63,zro2_120_formal,64,9204b6f9d2d9d6115cd61286c057d67be4f9c9208869ac4921cd29a650288373,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.500852289505585
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,70,zro2_120_formal,71,1ba03ca6b5871f84532efcd1ac2ad1140d33bf1d626655350e9ff0d4f2b0fcbb,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.8120780695982314
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,71,zro2_120_formal,72,1ba03ca6b5871f84532efcd1ac2ad1140d33bf1d626655350e9ff0d4f2b0fcbb,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.1079503362440117
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,80,zro2_120_formal,81,cb00b97a81a7996d7f555ea2f10f9313c10abf659f541275e999fbda4471fb95,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.670629849330827
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,83,zro2_120_formal,84,05ebe211151b5c42ea77521c2d6176fab9089defd86ce310bf90b3f324d60207,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.8311175153075926
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,84,zro2_120_formal,85,b0de7b7f774bd4b8443b381c78462e76735d00836536718b12b6dec43d928d17,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.3748802148050339
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,89,zro2_120_formal,90,434cc40d613f5f9e54f64010b37637f9465d262a9a94041cdb976cf0cbe7ef5a,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.7747442396863896
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,91,zro2_120_formal,92,4e2cca025b4b2543e4f596540a03c1bb76e8876658fd5364f336e00dc74ca901,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.6360136601837284
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,97,zro2_120_formal,98,75e8a3878cb5b07fc1219373158bf31b99facf7edf6c02931e54b63a6d81928a,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.43423478340973815
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,103,zro2_120_formal,104,2dafc5c0f22998d3afe6699ea3c478747b2b3afd3903eeeb707b7b40f64f51b4,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.6468747377351982
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,108,zro2_120_formal,109,607d2783453c8ad786d1ef5e7695b041f0718e8a505a0d17858cac60e079149e,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,1.8059555269243954
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,118,zro2_120_formal,119,9b4ea5c4658350b5838f157a2cc6f05607f6f74cbdcd8278f1e67d67ed39c52f,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.4422062236927311
20260906T111859Z_E02_b901bea5_533009c_68a562,E02,Ridge,M_D,17,a0fc3c28142e65d4480a3ef1e51cb8172b2ab0666b0ec5f76c759f0ffcdb2e0e,0,160,zro2_60_pass,21,0173a9b0e73614a22e0130f113fb8339d3922904a34f19fff1ba4a50c552968f,1.0,ORACLE_DIAGNOSTIC,NOT_APPLICABLE,True,IN_SUPPORT,0.9258222515084222
