outer_fold,dataset_index,nearest_train_distance,train_threshold,support_status,scope
1,78,0.9041168636953127,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,79,0.9868367815247321,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,85,0.7482072771249938,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,86,1.0561134614800662,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,93,0.9395522501239159,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,104,1.042770870389155,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,114,0.7199182360974707,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,115,0.8426032251845877,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,119,1.4994381658506464,1.486933984493976,OOS,unconditional_process_diagnostic_not_design_support_gate
1,152,0.5992027821880259,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,153,0.5992027821880259,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,154,0.5992027821880259,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,155,0.5992027821880259,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,156,0.4116243733750393,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,157,1.1242543618887133,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,158,0.6516002769424102,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,159,0.9911259918112985,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,172,1.354031889637011,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,173,1.354031889637011,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,174,1.354031889637011,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
1,175,1.354031889637011,1.486933984493976,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,7,0.9189132401875263,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,11,0.8678132644306016,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,14,1.1020366633625445,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,21,0.8303674258489733,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,23,0.7224435916838502,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,30,0.6830000478197408,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,31,1.011349172897305,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,39,0.6534432228047765,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,57,0.7080507043290901,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,58,0.8856899907115463,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,61,0.834588043448951,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,62,0.9793156890142753,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,68,1.0115634152469049,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,69,0.8856899907115463,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,72,0.8245427883741631,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,77,0.574834128873373,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,82,1.1045094775648996,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,96,1.0484955706481227,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,99,0.6195178389973198,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,100,0.853821457802113,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,106,0.38966842156088244,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,107,0.9229981719032557,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,111,1.0131821575805795,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,113,1.1529065075851919,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
