model_id,variant,target,MAE,RMSE,group_balanced_Q2,coverage
GAM,C1,A2_8_16,0.2180478411129022,0.2580721595096538,0.1922921229331107,180
GAM,C1,A_med,1.2831683235455011,2.0079525632519672,-0.009307571849012541,180
GAM,C1,entropy_8_16,0.1428618944037234,0.18040781649532517,0.25363492801727283,180
GAM,C1,ilr_z1,1.1330767519641682,1.3715755968612726,0.12576392228845557,180
GAM,C1,ilr_z2,0.34233050259200476,0.4754055945171351,0.03735458615604581,180
GAM,C1,ilr_z3,0.630048925464522,0.8022429293182125,0.010761232610155602,180
GAM,C1,ilr_z4,0.6130941632504506,0.7748180990373402,-0.0035232458570650937,180
GAM,C2,A2_8_16,0.17110556914656805,0.20756821000023482,0.47749110674262163,180
GAM,C2,A_med,1.3186910900805984,2.06822050123027,-0.07080480569345315,180
GAM,C2,entropy_8_16,0.11309057755847379,0.14508996205314453,0.5172577157115776,180
GAM,C2,ilr_z1,1.1332476972393537,1.363093939739984,0.13654283091233932,180
GAM,C2,ilr_z2,0.2891063019780452,0.38539320687682693,0.3673756844344961,180
GAM,C2,ilr_z3,0.6318047204463951,0.7916552783558827,0.03670001164100134,180
GAM,C2,ilr_z4,0.6259078327691902,0.7914878826969486,-0.04716824540932629,180
GAM,C3,A2_8_16,0.17303674345968872,0.21218576181680096,0.45398511396977526,180
GAM,C3,A_med,1.203833941236457,1.9317668742124354,0.06582968386347265,180
GAM,C3,entropy_8_16,0.11657892828882825,0.14621139633046987,0.5097664199585997,180
GAM,C3,ilr_z1,0.9915286362874087,1.23757947652906,0.28823697549607397,180
GAM,C3,ilr_z2,0.3096500758260199,0.4207116031102144,0.24611214033168283,180
GAM,C3,ilr_z3,0.6528464768564053,0.8054365954655488,0.0028693916059151503,180
GAM,C3,ilr_z4,0.6096260914862613,0.7750034201402937,-0.004003348930653017,180
GAM,C4,A2_8_16,0.17385728985547777,0.2114395533168811,0.45781877846755914,180
GAM,C4,A_med,1.2314390003049411,1.9918322741287668,0.006833266593259446,180
GAM,C4,entropy_8_16,0.11668618056670665,0.14353558929185808,0.5275457063300378,180
GAM,C4,ilr_z1,0.964717276308604,1.2079270159083062,0.32193611285269297,180
GAM,C4,ilr_z2,0.30843395962419207,0.40776509602661765,0.29179683025344716,180
GAM,C4,ilr_z3,0.6450252004114732,0.817298110366724,-0.02671597906784129,180
GAM,C4,ilr_z4,0.6271884635313278,0.8068406718165996,-0.08818688628484295,180
GAM,M_D,A2_8_16,0.24728902469795508,0.28746964383149487,-0.0022036687044300063,180
GAM,M_D,A_med,1.1221332465220621,1.8234274223105098,0.16767373841608302,180
GAM,M_D,entropy_8_16,0.1622542812882531,0.1997807224182348,0.08473308171511729,180
GAM,M_D,ilr_z1,0.9443757940726302,1.198588676661126,0.332379648919762,180
GAM,M_D,ilr_z2,0.353050957027555,0.49913365578051894,-0.061137051838244805,180
GAM,M_D,ilr_z3,0.6315264384318904,0.8020336079850252,0.011277389888350142,180
GAM,M_D,ilr_z4,0.592991988285375,0.7500213434377418,0.05968109434452651,180
GAM,M_Dh,A2_8_16,0.16903436839460684,0.20643650510903772,0.483173227859397,180
GAM,M_Dh,A_med,1.1275282291235005,1.8207734340244606,0.1700948674826397,180
GAM,M_Dh,entropy_8_16,0.11445454361864218,0.1421802600823218,0.5364258447928885,180
GAM,M_Dh,ilr_z1,0.920909441054252,1.1824077814429765,0.3502836675348793,180
GAM,M_Dh,ilr_z2,0.2879445045969981,0.3896770708096793,0.3532335643452891,180
GAM,M_Dh,ilr_z3,0.619584951613407,0.7738462477857923,0.07955319668762317,180
