model_id,variant,risk
GAM,C1,0.9802401997404201
GAM,C2,0.89798707224277
GAM,C3,0.8261508466806158
GAM,C4,0.8518243065923712
GAM,M_D,0.9354085698013975
GAM,M_Dh,0.7566847505747032
GAM,M_U,0.8499642821830106
GAM,M_UD,0.8203412888929205
GAM,M_UDhat,0.8188681128378844
Ridge,C1,0.9868675321700958
Ridge,C2,0.9378832597583692
Ridge,C3,0.8276845028081087
Ridge,C4,0.8059183679195863
Ridge,M_D,0.9322011630442365
Ridge,M_Dh,0.8122066191080966
Ridge,M_U,0.7913672187937524
Ridge,M_UD,0.7868959582193342
Ridge,M_UDhat,0.7918507584256915
