dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg
0,zro2_120_formal,1,1,zro2_120_formal:m001,single,formal,,1,-3300.0,16400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,11,1.0,0.0,13.5066,0.5699,0.2188877772242756,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,363636.36363636365,969.6909090909091,500:2:2:11,F1,FQ:500:2:2:11|N4,90,0.02934283294492727
1,zro2_120_formal,2,2,zro2_120_formal:m002,single,formal,,2,-3300.0,15800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,5,9,1.0,0.0,8.6371,0.2474,0.2893086040778375,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,277777.77777777775,740.7361111111111,500:2:4:9,F2,FQ:500:2:4:9|N5,107,0.02103059250467562
2,zro2_120_formal,3,3,zro2_120_formal:m003,single,formal,,3,-3300.0,15200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,7,1.0,0.0,3.897,0.2425,0.2561944868863207,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,142857.14285714287,380.95000000000005,500:2:6:7,F3,FQ:500:2:6:7|N3,111,0.01849501205444321
3,zro2_120_formal,4,4,zro2_120_formal:m004,single,formal,,4,-3300.0,14600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,2.162,0.351,0.2399722506936449,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,83333.33333333333,222.22083333333336,500:2:8:9,F4,FQ:500:2:8:9|N3,127,0.010484426740963929
4,zro2_120_formal,5,5,zro2_120_formal:m005,single,formal,,5,-3300.0,14000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,7,1.0,0.0,4.774,0.3828,0.2280783902500088,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,178571.42857142858,476.1875,500:2:8:7,F5,FQ:500:2:8:7|N5,155,0.002024570965353623
5,zro2_120_formal,6,6,zro2_120_formal:m006,single,formal,,6,-3300.0,13400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,2,7,1.0,0.0,0.7912,0.7215,0.1991742301428834,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,57142.857142857145,152.38,500:2:10:7,F6,FQ:500:2:10:7|N2,122,0.01290185844262456
6,zro2_120_formal,7,7,zro2_120_formal:m007,single,formal,,7,-3300.0,12800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,5,1.0,0.0,6.1178,0.8692,0.2317433984458325,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,200000.0,533.33,500:2:10:5,F7,FQ:500:2:10:5|N5,96,0.024743784082834543
7,zro2_120_formal,8,8,zro2_120_formal:m008,single,formal,,8,-3300.0,12200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,11,1.0,0.0,2.6327,1.0928,0.2022893945375132,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,90909.09090909091,242.4227272727273,500:2:10:11,F8,FQ:500:2:10:11|N5,108,0.02014810136349571
8,zro2_120_formal,9,9,zro2_120_formal:m009,single,formal,,9,-3300.0,11600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,3,1.0,0.0,57.0338,0.34,0.2713436573814032,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,6666666.666666667,3555.5333333333333,500:10:2:3,F9,FQ:500:10:2:3|N4,133,0.0089012432918744
9,zro2_120_formal,10,10,zro2_120_formal:m010,single,formal,,10,-3300.0,11000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,3,1.0,0.0,3.669,0.8399,0.2093315666446699,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,833333.3333333334,444.44166666666666,500:10:4:3,F10,FQ:500:10:4:3|N1,112,0.018437725110165292
