dataset_index,D_finite_um,D_rollout_um,A_finite_um,A_rollout_um,rel_error_D,rel_error_A,max_line_dd_over_zr,max_line_log_threshold_drift
78,0.0,0.0,0.003836620190712112,0.009368528242479553,0.0,1.1063816103534883,0.057944670528356224,0.19769264151047494
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12418370677591639
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10069436827417277
174,0.0,0.0,0.0018411713971766032,0.0017962052058818965,0.0,0.00899323825894133,0.004020852962443636,0.008130068517029798
96,0.04754078551663814,0.04471122658998479,0.03079158388402425,0.168562679331166,0.056591178533066944,4.474310122079242,1.5301662820764026,0.6862607731024646
74,0.0,0.0,0.006012945189480156,0.006810140117344815,0.0,0.13257977625663012,0.03529309426932297,0.09608991034417258
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12790780901648446
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07662081638572715
195,0.0,0.0,0.008790075148960824,0.06578133145248147,0.0,6.483591475353681,0.7942101255001841,0.6484781703482554
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239618174179867
176,0.0,0.0,0.0,0.00017646079076355663,0.0,0.03529215815271133,0.0002897606764686539,0.13406935522840868
171,0.01163825621159894,0.01157607217402389,0.03595008027374622,0.08063149945060627,0.0012436807515009765,1.2428739751518771,0.7002044860315823,0.5924217785462496
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239618174179867
77,0.0,0.0,0.0021135974609424956,0.03591807890827913,0.0,6.760896289467327,1.0651049780021544,0.6921784979223631
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848223798388048
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10069436827417277
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13246090826230628
108,0.0,0.0,0.001890459039895351,0.004156036741800159,0.0,0.4531155403809615,0.04348921227735591,0.19769264151047494
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03813301834723859
102,0.0,0.0,0.017613958642153274,0.08400092757167421,0.0,3.7689976613573593,0.10219837414224447,0.3361420679057048
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12418375859989084
73,0.0,0.0,0.03524426112073754,0.05511658565005782,0.0,0.5638456843014228,0.07351917814527834,0.19749226944682263
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038133030282033076
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046401871072269785
