tag,target,canonical,differentiable,abs_error,passed,both_undefined
real_0,D,13.506645679473877,13.506645679473877,0.0,True,False
real_0,A_med,0.5698619732077966,0.5698619732077966,0.0,True,False
real_0,ilr_z1,-1.7610573920420676,-1.7610573920420667,8.881784197001252e-16,True,False
real_0,ilr_z2,-0.1063306799927708,-0.1063306799927699,8.881784197001252e-16,True,False
real_0,ilr_z3,-1.1676937470966033,-1.1676937470966033,0.0,True,False
real_0,ilr_z4,-1.6028149867022117,-1.6028149867022132,1.5543122344752192e-15,True,False
real_0,A2_8_16,0.03672077064640309,0.036720770646403035,5.551115123125783e-17,True,False
real_0,entropy_8_16,0.9336741740150308,0.933674174015031,2.220446049250313e-16,True,False
real_0,A2_16_32,0.14864368425916435,0.14864368425916438,2.7755575615628914e-17,True,False
real_0,entropy_16_32,0.7615871772849784,0.7615871772849783,1.1102230246251565e-16,True,False
real_1,D,8.637125968933105,8.637125968933105,0.0,True,False
real_1,A_med,0.2474479139721646,0.2474479139721646,0.0,True,False
real_1,ilr_z1,0.6003846747999098,0.6003846747999103,5.551115123125783e-16,True,False
real_1,ilr_z2,-0.06928914503355843,-0.06928914503355821,2.220446049250313e-16,True,False
real_1,ilr_z3,0.3096498898541372,0.30964988985413666,5.551115123125783e-16,True,False
real_1,ilr_z4,-0.5584016556074597,-0.5584016556074599,2.220446049250313e-16,True,False
real_1,A2_8_16,0.19612325721373297,0.19612325721373297,0.0,True,False
real_1,entropy_8_16,0.9344989266450389,0.9344989266450386,2.220446049250313e-16,True,False
real_1,A2_16_32,0.5246453649519288,0.5246453649519288,0.0,True,False
real_1,entropy_16_32,0.727685109468313,0.7276851094683132,2.220446049250313e-16,True,False
real_2,D,3.8969749212265015,3.8969749212265015,0.0,True,False
real_2,A_med,0.24253570528548113,0.24253570528548113,0.0,True,False
real_2,ilr_z1,1.104998029787216,1.104998029787217,1.1102230246251565e-15,True,False
real_2,ilr_z2,0.5182216181845283,0.5182216181845297,1.4432899320127035e-15,True,False
real_2,ilr_z3,0.14773833448522328,0.1477383344852231,1.6653345369377348e-16,True,False
real_2,ilr_z4,-0.5817022439876405,-0.5817022439876407,2.220446049250313e-16,True,False
real_2,A2_8_16,0.2995539380411224,0.29955393804112246,5.551115123125783e-17,True,False
real_2,entropy_8_16,0.9205390814978175,0.9205390814978176,1.1102230246251565e-16,True,False
real_2,A2_16_32,0.36181139875813806,0.361811398758138,5.551115123125783e-17,True,False
real_2,entropy_16_32,0.754089683483039,0.7540896834830388,1.1102230246251565e-16,True,False
real_3,D,2.1620235443115234,2.1620235443115234,0.0,True,False
real_3,A_med,0.350995647916628,0.350995647916628,0.0,True,False
real_3,ilr_z1,2.082066241546125,2.082066241546126,8.881784197001252e-16,True,False
real_3,ilr_z2,-0.8615461618228943,-0.8615461618228943,0.0,True,False
