dataset_index,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,dc_offset_frac,dc_to_non_dc_ratio
0,0.029458072468071313,0.03423820993097823,0.06109043276616669,0.08219716831449765,0.7930161165202863,0.04515682688848439,0.04729240168449165
1,0.24757551986719784,0.2730637583192485,0.19353625339387462,0.08924390608151676,0.19658056233816223,0.002240135502178527,0.002245164975949399
2,0.4381009860748852,0.21051847255218564,0.12495062909355746,0.06910667485950096,0.15732323741987073,0.0031417967042703773,0.0031516987008615976
3,0.18916624245403865,0.6397237770389178,0.07736910096871562,0.027380596321253538,0.06636028321707425,5.08246349937557e-05,5.0827218268571945e-05
4,0.1981205868432245,0.5602002984476983,0.04840060699111982,0.04892023710425942,0.14435827061369805,0.0010072164427855207,0.001008231950584291
5,0.058650285560103495,0.9126072594872167,0.017790403622051226,0.00419425399284531,0.00675779733778344,7.174636326213022e-06,7.174687801988755e-06
6,0.057194770564467694,0.8934367400816127,0.03526168168218014,0.01129195482407303,0.0028148528476664744,0.018838416456844937,0.019200116242643693
7,0.07690000779638842,0.8153931899623513,0.048584623811023644,0.017943401710653742,0.04117877671958302,0.014567691073095844,0.01478304591916564
8,0.328982530618294,0.38500850578384255,0.1873542642412052,0.0707137871245345,0.027940912232123607,0.007083730539518498,0.007134267769997935
9,0.13637633700163768,0.4129231154169914,0.28237012193152095,0.09813611692379129,0.07019430872605857,0.0030536048766128788,0.0030629579399150636
10,0.06123209474643787,0.12057869094025424,0.12018947359441712,0.5009326656897378,0.19706707502915288,0.09842815974072981,0.10917395081064672
11,0.032175845529865084,0.14009123517839128,0.04584338619200995,0.053409642913700546,0.728479890186033,0.03539667433259507,0.03669557567418116
12,0.09647937111025388,0.19219986106878373,0.36149809244971515,0.2543167083705696,0.09550596700067752,0.023648647078103133,0.024221451639648523
13,0.08738457037255636,0.8570775630331313,0.030822239119862736,0.011889672483148175,0.01282595499130142,0.04150682565077506,0.043304247501769
14,0.07787517748143896,0.22064088784692054,0.3039126205464196,0.13103994762185064,0.2665313665033702,0.0037630452636372366,0.0037772592612096614
15,0.0830643090725046,0.13415300430500002,0.13124926702491857,0.05059521358828794,0.600938206009289,0.0005233805858833999,0.0005236546565643531
16,0.11216437451410817,0.3060296083522157,0.2905684211132684,0.27090784622965586,0.020329749790751864,0.017867497209818655,0.018192552592504713
17,0.10480677536426596,0.2920219623007821,0.30048389691825156,0.1658820509372553,0.13680531447944488,0.008386371194888706,0.008457297228754546
18,0.1231829511613057,0.3391284047098752,0.27421581382025456,0.1176098057132807,0.14586302459528389,0.00043737288506070235,0.00043756426380516227
19,0.010116750927333948,0.02074542137630224,0.031196045739592046,0.09586783963411692,0.8420739423226552,0.0016469076320067893,0.0016496244110392746
20,0.07341071625382192,0.29798215070949924,0.2685021492774693,0.16731461729333724,0.19279036646587241,0.013679025457314295,0.0138687362535879
21,0.02999838997240701,0.1912262383874776,0.46147698307938256,0.24991085050937795,0.0673875380513548,0.01415224283665201,0.01435540400007938
22,0.025842175076227665,0.0453775706377478,0.2420308535943765,0.3396765893818921,0.34707281130975587,0.021722355078858807,0.02220469331138589
23,0.00988958709214696,0.02352238496190135,0.1427864277832973,0.23476133295658502,0.5890402672060693,0.021131490340256555,0.021587669979905574
24,0.11865282455489332,0.2569624712389576,0.13871797813868192,0.07129281066097005,0.4143739154064972,0.006505168314137609,0.00654776261200975
25,0.23216725797148646,0.4732961296022142,0.06812584042217956,0.035656677159089635,0.1907540948450302,0.0013301419718604328,0.001331913606050733
26,0.0735923959467925,0.18681926161541434,0.2804166354385826,0.2065484528825438,0.25262325411666664,0.021502905093151642,0.02197544091349468
27,0.12760886212640646,0.4235140119089293,0.11863066293726873,0.12465613238964648,0.20559033063774906,3.3051317322104445e-07,3.3051328246003826e-07
28,0.0954175551734016,0.2504962607918012,0.35414581542437645,0.19128307114312723,0.10865729746729356,0.014702786322290275,0.014922184005180339
29,0.21164255524140166,0.4925534341695751,0.1301463778610742,0.10261045784700877,0.06304717488094035,0.0023186019791080295,0.0023239903878206586
30,0.30842976778459497,0.4418353332682509,0.10491960809701771,0.05434687488572719,0.09046841596440944,0.004496415813863151,0.004516724887072251
