band,convention,max_abs_error_um,median_relative_error
8_16,frozen,4.440892098500626e-16,1.3293697167193187e-16
16_32,frozen,4.440892098500626e-16,1.434780318958857e-16
32_64,frozen,8.881784197001252e-16,1.8653103757204808e-16
64_inf,frozen,1.7763568394002505e-15,1.36664595664658e-16
8_16,clean_nonDC,6.661338147750939e-16,1.5786335610272736e-16
16_32,clean_nonDC,6.661338147750939e-16,1.6319646987541814e-16
32_64,clean_nonDC,8.881784197001252e-16,1.8157725377628062e-16
64_inf,clean_nonDC,2.6645352591003757e-15,1.670022467808541e-16
