dataset_index,bin,lambda_lo_um,lambda_hi_um,lambda_geo_um,n_modes,energy,energy_fraction,energy_density_per_loglambda,low_mode_count
0,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.09598114726592379,1.209134377583509e-05,5.3424214017373995e-05,False
1,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.37396972767760817,0.00023911281848160954,0.0010564925309946985,False
2,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3530436414486674,0.00023518178135212048,0.0010391236948413683,False
3,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.489061656928523,0.000472162319602674,0.0020861949904861453,False
4,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.8242599094531926,0.00021990391882559216,0.0009716202136338881,False
5,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.0392288172186475,7.798961699242234e-05,0.0003445881670871968,False
6,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.20925672625403044,1.102732519385397e-05,4.872297009477316e-05,False
7,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.299238547299097,4.3129309450540455e-05,0.0001905619012431137,False
8,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.34882960158187626,0.00011869056592285668,0.0005244206362222956,False
9,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.827024967458061,4.59355297354867e-05,0.00020296086333221452,False
10,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.4725549855505817,2.190393963738821e-05,9.678004204546313e-05,False
11,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.03121592374274869,2.370238083092603e-06,1.0472624794304463e-05,False
12,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.1774464545549836,3.332381093164019e-05,0.00014723743200854416,False
13,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.6325775912101009,1.4555461249915434e-05,6.431163412053183e-05,False
14,0,0.7,0.8777899838513036,0.7838705178126758,2061,3.1840368904415466,4.358915016232344e-05,0.00019259365462434607,False
15,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3638466049219119,3.9151545697117e-05,0.00017298660886757536,False
16,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.2667826825798434,2.4254942683967286e-05,0.0001071676790397032,False
17,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5658352578737158,2.9877007360285926e-05,0.00013200812622700696,False
18,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.2165421983564889,1.6435797382321922e-05,7.261968340146029e-05,False
19,0,0.7,0.8777899838513036,0.7838705178126758,2061,3.839883671045198,1.8287075889059887e-06,8.07993449000767e-06,False
20,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5645095735528307,1.2366427688049113e-05,5.4639640695443405e-05,False
21,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.2787006630371416,5.856790720500987e-06,2.587755725979304e-05,False
22,0,0.7,0.8777899838513036,0.7838705178126758,2061,10.72383966622849,1.0111608923092818e-05,4.467698290465569e-05,False
23,0,0.7,0.8777899838513036,0.7838705178126758,2061,7.711683227354414,6.597560916275326e-06,2.9150565306742488e-05,False
24,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5632143263228053,7.129151766863993e-05,0.000314993384371769,False
25,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.960662705024034,0.0005845664704605416,0.0025828398236165447,False
26,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.9561802366988634,3.832387279507013e-05,0.00016932963119204987,False
27,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.13493153523119947,5.0812410755348585e-05,0.0002245088021033439,False
28,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.23115024145061802,3.359943876625448e-05,0.0001484552619452802,False
29,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.11446484050273997,4.0006265005099736e-05,0.0001767630879819737,False
30,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.40331868405474064,5.603857585717883e-05,0.00024760001248215284,False
31,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5226468203399263,2.7653852273756856e-05,0.00012218537076339101,False
32,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.7015083780078027,3.6553554506577035e-05,0.00016150768312103868,False
33,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.2865499826454425,3.297231547438473e-05,0.00014568438969309204,False
34,0,0.7,0.8777899838513036,0.7838705178126758,2061,12.028075696154303,4.9117415268234897e-05,0.0002170196591808658,False
35,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.20076629533983792,1.3425286172076166e-05,5.93180853177713e-05,False
36,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.4917591842599576,1.773246873335058e-05,7.834887686844267e-05,False
37,0,0.7,0.8777899838513036,0.7838705178126758,2061,26.174264077566143,7.72283941361496e-06,3.412247913084262e-05,False
38,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.098313167256668,3.548573939331077e-05,0.00015678966466091236,False
39,0,0.7,0.8777899838513036,0.7838705178126758,2061,3.4085588482520426,3.417345550209793e-05,0.0001509914889779234,False
40,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.07899467918800804,3.332842222221546e-06,1.4725780646643376e-05,False
41,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.11863079292237057,8.128245116622413e-06,3.591371767660453e-05,False
42,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.649723367358534,1.177283866127956e-05,5.2016935742840965e-05,False
43,0,0.7,0.8777899838513036,0.7838705178126758,2061,4.455896743530948,8.805444099239414e-06,3.8905843618138265e-05,False
44,0,0.7,0.8777899838513036,0.7838705178126758,2061,10.332291161555837,1.3827979992797097e-05,6.109734172305726e-05,False
45,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.35931555631911277,3.671567193914001e-05,0.00016222398038077756,False
46,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.9455850994698843,1.6170330599688924e-05,7.144674890610395e-05,False
47,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.7093577358624588,5.086849903802445e-05,0.00022475662173969654,False
48,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.36428077328264047,0.0002966036526755657,0.0013105091801742187,False
49,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.44072399057977696,0.0003561471042902159,0.0015735950837238036,False
50,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.0280333436465314,5.76936888007584e-05,0.00025491293896576147,False
51,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.38958851198093264,1.1577907332354423e-05,5.115565405006498e-05,False
52,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.25772411399503936,5.333281578345212e-05,0.0002356449223004201,False
53,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.3917011261585857,4.453679284930489e-05,0.00019678070501840368,False
54,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.11546479402023066,1.5107241942272538e-05,6.674961374840862e-05,False
55,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5140196306409431,9.952801685117714e-05,0.00043975311359591705,False
56,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.0326407486467294,1.3453653865528877e-05,5.944342471381309e-05,False
57,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.2515233807385533,5.849639273972295e-06,2.584595941451085e-05,False
58,0,0.7,0.8777899838513036,0.7838705178126758,2061,5.356537040267781,2.4414307076006194e-05,0.00010787181230601977,False
59,0,0.7,0.8777899838513036,0.7838705178126758,2061,4.431532371761731,0.00011391564923526876,0.0005033232151446942,False
60,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.545126310155162,1.0372964280289869e-05,4.58317515388407e-05,False
61,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.9978129832779932,2.460475741178065e-05,0.00010871329524511457,False
62,0,0.7,0.8777899838513036,0.7838705178126758,2061,4.929637771742244,3.4079877977344645e-05,0.0001505780274303635,False
63,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.42556302928184986,6.874765423150776e-06,3.0375361588814276e-05,False
64,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.7695119536817436,2.4015914341402426e-05,0.00010611155975584624,False
65,0,0.7,0.8777899838513036,0.7838705178126758,2061,6.774567804307704,2.17748555745465e-06,9.62096989365963e-06,False
66,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.6129762144542028,5.4985788204792834e-06,2.4294839113231378e-05,False
67,0,0.7,0.8777899838513036,0.7838705178126758,2061,2.7457629380748165,7.596657077952079e-06,3.356495697030838e-05,False
68,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.7825475289590891,5.156282961405704e-05,0.00022782444165950607,False
69,0,0.7,0.8777899838513036,0.7838705178126758,2061,9.130244381527838,2.089248587600699e-05,9.231104974663353e-05,False
70,0,0.7,0.8777899838513036,0.7838705178126758,2061,4.211312682314377,2.0648160394988167e-05,9.123152566479129e-05,False
71,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.5257193682412873,3.0369633869014877e-05,0.00013418473988723262,False
72,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3238538854636404,7.88806932876096e-05,0.000348525285374664,False
73,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3511594948305753,3.010225994613297e-05,0.00013300337891168453,False
74,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.0568231994833956,3.080530849545929e-05,0.00013610971819540235,False
75,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.18909305638182106,4.729017703393841e-05,0.00020894621686547336,False
76,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.02370630951833838,1.497051706292935e-05,6.614551056922946e-05,False
77,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.11926776151262403,9.033404943229839e-06,3.9913062430431486e-05,False
78,0,0.7,0.8777899838513036,0.7838705178126758,2061,6.509325372793867,3.949606483366835e-05,0.0001745088271110914,False
79,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3502187936889627,7.488615911510758e-05,0.0003308758948281841,False
80,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.2667795254702596,4.6877672433214334e-05,0.00020712361265532117,False
81,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.3616089522900858,7.486662468364984e-05,0.0003307895841859384,False
82,0,0.7,0.8777899838513036,0.7838705178126758,2061,14.857592054388368,1.3596013477023849e-05,6.007242430996528e-05,False
83,0,0.7,0.8777899838513036,0.7838705178126758,2061,3.2924706095438627,9.357879365383823e-06,4.134671540512916e-05,False
84,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.883355782375852,7.420423269372187e-05,0.00032786288124130546,False
85,0,0.7,0.8777899838513036,0.7838705178126758,2061,4.212303652148689,8.113087294011734e-05,0.0003584674457798098,False
86,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.431370905347371,4.762313916702931e-05,0.00021041737181629692,False
87,0,0.7,0.8777899838513036,0.7838705178126758,2061,3.192732981353502,8.366602142056759e-05,0.00036966870822808054,False
88,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.8053157205725017,0.00012130201378797911,0.000535959018740237,False
89,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.15213673076589312,2.0698607407151622e-05,9.145441999517528e-05,False
90,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.4976070618358161,6.470956114653381e-05,0.00028591176528880137,False
91,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.6025730551498802,2.985645963424635e-05,0.00013191733845900863,False
92,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.626587768981749,3.799686204496624e-05,0.00016788477174355356,False
93,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.16376844662925213,1.8668173311072848e-05,8.248318009759873e-05,False
94,0,0.7,0.8777899838513036,0.7838705178126758,2061,0.3734401809706875,1.3567632297932885e-05,5.994702532917943e-05,False
95,0,0.7,0.8777899838513036,0.7838705178126758,2061,1.3869498384623138,0.00010934667743810696,0.00048313573791666716,False
