dataset_index,ilr_z1,ilr_z2,ilr_z3,ilr_z4
0,-1.7610573920420678,-0.10633067999277088,-1.1676937470966033,-1.6028149867022117
1,0.60038467479991,-0.06928914503355844,0.30964988985413716,-0.5584016556074597
2,1.104998029787216,0.5182216181845284,0.14773833448522328,-0.5817022439876405
3,2.082066241546125,-0.8615461618228943,0.486730613360869,-0.6259762723856899
4,1.7102650316149939,-0.7349798880860732,-0.45048755615050534,-0.7651652276805724
5,3.691202884258958,-1.940805301438366,0.9850647038769604,-0.33727685859778794
6,3.3741570479228975,-1.94356293461084,1.496880423547838,0.9822989686850746
7,2.220398628073535,-1.6695954016433883,0.4741676302328777,-0.5873939855573871
8,1.7535050180301313,-0.11120016116514485,1.1746405611180333,0.6565829832575614
9,0.7037059434647862,-0.7833634154851993,0.9997244150802573,0.2369431581090661
10,-1.0693823617288014,-0.4791575463955627,-0.7846029821962841,0.659679389227135
11,-0.6477430447006477,-1.0402091290257125,-1.1914683288795629,-1.8476478954747517
12,-0.45505826486796136,-0.4873426315596991,0.6869775363330244,0.6925344746327072
13,3.0600869399523143,-1.614473056844414,0.7468216377069951,-0.0535991796497234
14,-0.566078143110154,-0.7364016366033703,0.3970158696094973,-0.502038541508528
15,-0.44604818919149886,-0.33896284733944965,-0.23194726870646049,-1.7498312827476878
16,0.503819970047946,-0.7097346951888869,1.1144419487077708,1.83118975872116
17,-0.08829611427288125,-0.724579808766412,0.5637714881817464,0.13627230811735788
18,0.21767164756038312,-0.716092802014121,0.6033054324478799,-0.15223696438456458
19,-2.4535606470030067,-0.5077967197971742,-1.8037453384168265,-1.5364703840891316
20,-0.359555409747732,-0.9906309075698505,0.32832897109719245,-0.10021643287274554
21,-1.0531226439110548,-1.3097834428333022,1.0358483854958105,0.9267653667963505
22,-2.39758431593546,-0.3981082553476051,-0.28552808748899333,-0.015231526657394733
23,-3.1491350695388713,-0.6126869008028044,-0.7815358044467487,-0.6504853139139679
24,0.09555589027621054,-0.5464013923450972,-0.17500720681481302,-1.2444890222034886
25,1.5936867135270585,-0.5036461443379504,-0.15603591984446696,-1.185852515291271
26,-0.8054025642022148,-0.6587406275693465,0.1674302473802088,-0.14238602043931128
27,0.5180999427968471,-0.8482571589845281,-0.24470995317642813,-0.353784258747753
28,-0.2516245196779825,-0.6824863239163869,0.7338116968139898,0.39990813584264234
29,1.346765676238331,-0.5972960389338273,0.3929375472045308,0.3444010261431133
30,1.6724032071369577,-0.2541646557020384,0.3290485027796266,-0.36035129090265067
31,0.671325216242773,-0.5635128269541649,0.37866039228312265,0.48202175009155446
32,-0.565884284435331,-0.48259396506219326,0.7043186880738525,0.31665147471847543
33,-0.2612875819544632,-0.6896055104596677,-0.25791290743916734,-0.8547051457421744
34,-0.6089312302151604,-0.6933615459710779,0.3714167340515305,-0.7012319459233151
35,-0.7076697354766783,-1.0783592347505078,0.9847506410048814,0.2527778325560823
36,-0.38185940449230493,-0.9537708285938596,0.673593622624693,-0.08452804267636875
37,-2.194109791206686,-0.5734623435626787,-1.0503699899611019,-0.13186734945374598
38,-0.42780358633357435,-0.3138663330272987,0.3252412428865761,0.27006571827461123
39,-0.40671077802951433,-0.7634617416141279,0.9486121749255072,0.7763077458400466
40,-1.5929189804933472,-1.0979058918565299,0.34977910555548974,-0.26385471767788915
41,0.3886341584462418,-1.3418725347276172,1.8073087436680895,-0.20054464873898978
42,-1.6266155261554995,-0.545844995889834,0.6606186008838998,-0.49644951518310576
43,-1.7491680299232513,-0.4770787996558237,-0.09554936290503586,-0.44100454902226927
44,-2.025432338922837,-0.5127189343514595,-1.0598064402704361,-0.5062884582332015
45,-0.7938305166950957,-0.951083449308378,-0.21248130930241002,-0.8751206866449143
46,-1.3751683243964101,-0.9484079357164766,0.22744622262001354,-0.10183698531378516
47,-0.31621451741437784,-0.9045281687227569,0.23527157641667198,-0.74447638910246
48,1.8329610663971383,0.36407951363076085,1.153553242384084,0.4276189220614357
49,1.3394555938766302,0.4084297996084903,0.6582155212294217,-0.3515721834181133
50,3.878930932777051,-1.7718920514165595,0.9967898528898897,-0.0635569546271787
51,-2.014264137660998,-0.7375842381192994,-1.3279095498032416,-1.8953547595904563
52,-0.6462180806241604,-0.4788069946524049,-0.414290804004057,-0.7727939042093109
53,0.08383321603445207,-0.7207427361215213,0.4868976702422813,-1.4875556741008025
54,0.5535428100215428,-1.8618726041205438,1.1403946543962211,0.31068326581253985
55,0.7604143380755409,-0.2565916575489391,0.6841319893566811,0.2236892485773427
56,0.03206968035583069,-0.5765887886428088,-0.2665327142861741,-0.42247137206980206
57,-2.510602975689851,-0.18192032739292746,-0.4714822668481778,-0.17753354796137757
58,-1.2525452791845637,-0.6827876483292161,-0.408831402621497,-0.17199375619149912
59,1.454007358354324,-0.9534942134250162,0.5887385532347958,0.19621784997030808
60,-1.6397884756590018,-0.416880498199005,-1.0615927163867103,-0.5201323295491401
61,-0.6120549307802876,-0.40630599616951296,0.3720294452348504,0.021422966069427122
62,-0.9582178263866895,-0.75977731626625,-0.09536181114134451,0.20966954505103622
63,0.20781734011104092,-0.10629811425824634,1.9708437180188028,-1.0684768765734933
64,-0.0601331182173556,-0.7965135635612094,0.8956400780272157,-0.9829662527231063
65,-2.414278454126536,-0.46218568115021863,-1.3425130456627898,-1.4281367614996716
66,-2.221596066848239,-0.7870999649967435,-0.48707094761797587,0.633196709884376
67,-2.1638579001934453,-0.4495350481441131,-1.2562636566418763,-1.2319896330399207
68,0.29436970651760647,-0.5155381968450417,0.7073078395741454,0.34659957534836366
69,-1.5163290732921357,-0.3344687428212264,-0.001054163393059747,0.3286992269338344
70,-1.2571880294180693,-0.8244733409863291,0.42326268365903724,-1.3500525887107595
71,0.4135852450387694,-1.1223552884233987,2.0080457747430525,1.2003666169770753
72,0.2851278346107505,-0.5082702825940048,0.9801197172808803,1.0168348420468252
73,-0.7261226185627652,-0.5316165113290052,-1.034712694648843,-1.8423089502388916
74,1.267846726950635,-0.19065941156875751,0.38031699945482283,-0.5590462434002955
75,0.5718450479378715,-0.5842785637189423,0.40746027069164853,-0.5995751510617904
76,0.1506753506730079,-0.3573739449687065,0.24486769659439148,-0.43840509491253293
77,2.563894703008945,-1.1400707101175642,2.029616806193767,0.5654209457793405
78,1.6133876801373908,-1.3796513513227322,0.1796138660899928,-0.2516366674435345
79,-0.4794677775062585,-0.669773348773817,0.20231136653588722,0.5549385026207545
80,0.4811538847991934,-0.3371850251238552,0.30406158976420655,-0.06728491796567844
81,0.5016287770519492,-0.6815501468663527,0.6321289019753449,0.51764193070518
82,-1.8308612124613395,-0.44713352404361817,-0.8323106689919636,-0.20969913760295245
83,-1.9142399764905993,-0.5683215513468395,-0.5291966632688446,0.4094821492789921
84,1.983667921647365,-0.7133075240592027,0.3153522661107156,-0.8769443567729656
85,1.4059028852134234,-1.1251578669681666,1.1560167076288368,1.4364140818865974
86,1.271170234979114,-1.4265020418397547,2.402377677522158,0.40724250085259656
87,1.495809431341097,-0.42754930580344624,1.2582568866581167,-0.4085440663320095
88,0.615048175585718,-0.25079560849626686,1.7296373225059873,-0.5205099346653844
89,0.5761205548222166,-0.6465009356926644,1.3061984895633405,1.4854118618251995
90,0.41307239349775904,-0.30083455030172157,0.2488940642579468,0.05283737655486131
91,1.1225214285963934,-0.3252969941059832,0.30733711573796285,0.35337107392725636
92,0.5048447516542979,-0.599273965842746,0.11932804902181739,-0.3753497380577697
93,-0.8000100140557767,-0.9534650585432808,0.005331389620980179,-0.6399408686870707
94,-0.33448170563551016,-1.0205852732775775,1.3952660268209924,0.11700739056994315
95,0.7205910916790067,-0.7018445633523889,1.70547040732115,0.36243008890338085
96,1.3337310971148675,-0.24903940112699394,0.8308103490459773,1.135186878454082
97,0.3022796968072198,-0.5714729923153666,0.3863975630821552,-1.203822072667753
98,-0.9150930974052728,-0.13545768769773792,-1.2797730671156826,-0.2369767259903353
99,1.8462720156344476,0.3319394995616002,1.1175203733618382,0.6206854753662163
100,0.532014626700597,-0.12530765845516748,-0.22032578472423658,-0.42726247865491407
101,2.0001735727397465,-1.216459964598858,0.2819099390988058,0.4176274697447533
102,1.4382433175631668,-1.055500819499918,0.7526270520490677,-0.5332871804202991
103,0.39744840550429344,-0.4452037285921876,0.7474555916239214,1.1180098210974867
104,-0.02322771208833921,-0.5506499835889598,0.18350512445081865,-0.20059619848559407
105,1.3248171124220018,-0.16872021356117295,0.1721033014952601,-0.284578778678343
106,2.113723474633166,-0.6863722074083904,0.7867426364117905,0.7756820892079697
107,1.2419296737160543,-0.5311067757974265,1.0514570561125165,-0.08574369478164445
108,3.178146884745831,-1.6491502278270151,0.9978859300284596,-0.45242368332428573
109,-1.2615181700097213,-0.30319548496959825,-0.1113005994682857,-0.7478212444035524
110,-2.1037873133414973,-0.5358879966882505,0.001553822161850273,0.19340319831854563
111,1.556325437888277,-1.6633061773301392,1.1124723640897989,0.25877891209344084
112,0.3623692421663458,-0.4559274200294581,0.8016980288617376,-0.014598274702640695
113,-0.021752535821761676,-0.4412777529048056,1.0422094710159318,0.7567125118073512
114,0.6147864453895441,-0.6599497753588124,0.9873595601206073,1.1698509747198123
115,0.2139615053242941,-0.7669335071772089,1.1461543058109955,0.3417295321852277
116,0.13520567976627948,-1.1468196730421454,-0.21332120796393841,0.21787993827588537
117,-2.0615383935418476,-0.8073633061145797,-1.1243987469945493,-0.7444480390718503
118,-1.6921353824357983,-0.48820436887128943,-0.9245842929631732,-0.6828819781587299
119,-2.3706239251104972,-0.5603779154512433,-0.760542499443755,-0.42410153173704734
120,1.6826821247112294,-1.0981870534730027,0.1685989002035417,-1.0754706630206006
121,0.6871032724797917,-1.3402465894892082,-1.002340067884325,-1.1387586293597391
122,0.6359348889382574,-1.311453182628654,-0.09239463841652147,-1.8409656019449188
123,-0.03063247604365612,-1.3665709876867056,-0.7821546028736771,-1.8387533528533468
124,-2.490931732030893,-0.31026298655658663,-1.5940789343956272,-1.2539921992380745
125,0.46818508263908615,-0.12593863693987795,-0.17161157057885823,-1.8105091577522694
126,-1.3742038515901422,0.15142344992860748,-1.7112098021446192,-1.4471107808324488
127,-2.025927085365021,-0.10673825827784367,-2.0068233296539386,-1.7069277741766253
128,-0.2025729204927113,0.14141585844051255,-1.217483826762214,-2.0357849065883613
129,-1.0128112783121193,-0.32378793263894157,-1.3142520516668175,-2.0105111475976174
130,0.35538574818324475,-0.19349013883721589,0.02525328640116405,-1.627709417518276
131,-0.46757402360832434,-0.37472536672213197,-0.8937011100974231,-0.8259007950195495
132,1.2327271308604761,-0.24581719553267514,0.32635759927911734,-1.5250644327693037
133,0.9409626869370037,-0.5541397666900933,0.7341414321818878,-0.9309694078383698
134,0.6539901582468458,0.21434410423817213,0.0415670755364736,-2.0360859361354833
135,-0.1952082429533842,-0.32639752985448284,-0.3856670899364486,-0.5020825654197272
136,-0.7038068206341906,0.42523802119410153,-1.3368855980159415,-1.4645376455961272
137,-1.6207079106431925,0.5399935007442697,-1.787203607251548,-1.8000266578979682
138,0.35359803127645134,0.16809773779950885,1.1492513118229006,0.38788546264762097
139,0.5221692838112402,0.42679856904100766,0.09250578271137765,-0.7120550991915953
140,0.6878409162066531,-0.38677370946129264,1.2732868736711351,0.9323058834134388
141,-0.08397086069342587,-0.47259331920297176,-0.02227769646409536,-0.9991192370373235
142,-0.6789136743991915,-0.480606705362266,-0.5123882558108717,-0.5522677080506408
143,-1.8661296266933658,-0.31300926311349175,-0.13572170479309376,0.09548102802084199
144,-1.3790225383956536,-0.3027621608401571,0.023180951355320244,-0.09580958220600426
145,-0.7760616524833731,-0.3019965021691972,0.43286031418375315,-0.5172558769825538
146,-0.5058448308442649,-0.09111090638224249,-0.6284446089718912,-1.1870743538149608
147,-0.7186531806043723,-0.29287339329395456,0.21927695174174439,0.15712987533545
148,0.16421747252940536,-1.0846568296883292,-0.058589716424938966,-0.5955602669668637
149,-1.1456178333389708,-0.5480851664681791,-0.5232799753761848,-0.1355020213221319
150,-0.05226256295740032,-0.2525456694938448,0.04333029177425167,-1.436898733826959
151,-1.203352751763411,-0.5620448925305433,-0.16248202936859946,-0.6339335500093093
152,-1.8189312280916639,-0.48091822516158833,-1.5399808450738612,-1.6601105620665606
153,-2.3978830409616974,-0.5677240117208077,-1.1882340349734624,-1.4813731738016214
154,-2.4034609864712744,-0.40007055908251066,-1.1988173439702507,-0.8655743687889441
155,-2.164413458308486,-0.3930149251358204,-0.812162746104749,-1.0515208683925361
156,0.42170353481361345,-0.9637846254921071,-0.18281412986926437,-0.012742276794872281
157,-0.11147295256539254,-0.5841810634522199,0.2992823208716321,-0.570666276560083
158,1.918278062773774,-0.5748897410971575,1.6314766779846064,-0.7112977970838272
159,1.4117167627239788,-0.2812695282973182,0.5109705628363451,-1.0638751026033906
160,2.6874252456666134,-0.3107548375241632,1.5045064236457322,0.7299780961986548
161,1.280487393046402,-0.1572727872297372,0.7039944571700516,-0.9829254362997353
162,-1.5057898723930696,-0.36534106106326647,-0.46219550654152985,-1.3238987251657321
163,0.7322810641455765,-1.0196527553436392,0.6444920506691145,-0.9066934627430144
164,1.4008016720901542,-1.5662458140815316,0.36849682625472674,-1.4197908320725723
165,1.55989888462234,-1.8451569596223183,0.42604007689951184,-0.594831939533045
166,1.828978227291688,-1.1747991448331432,0.28101666686795534,0.11279707598454769
167,-2.5331461376398523,-1.8398507875353967,-2.7005686925936545,-1.7965896810320718
168,0.37982733145396225,0.14053505643027733,-0.8734141257571413,-0.8277266389481224
169,-0.09030442797221727,-0.1987183265929584,-0.7119718535876758,-0.9728396112795555
170,1.3054540541846797,-0.024741090069102974,0.8820898174263312,-0.12105458078468441
171,-0.01649852638086955,-0.07379370056484598,-0.04552245463312301,-0.5390225028288831
172,2.72825187481373,-1.1143412015365697,0.014708474378571876,-1.3021374527966392
173,2.2030645890879286,-1.2100422620401081,0.6267450282357122,-1.0758965977340817
174,2.3353519652934187,-0.3646944726413303,1.1361106057355645,-0.19024612032035113
175,-0.9728538054233065,-1.4674249523328433,0.5282786171692017,0.7809589530006653
176,-0.8813361257003838,-0.5854125650361839,0.11759085030303093,0.42552560275242907
177,0.32591256838035687,-0.023652874730199162,-0.9845107398282525,-1.5193894172152391
178,-0.5094179475787771,-0.30046890833874734,-0.643481954836589,-1.8639873016225919
179,-0.8238911588599974,-0.2103805063433689,-0.8567134529598908,-1.7610176800445978
180,0.16420529973358108,-1.4995081502942065,-0.34568481762456726,-1.462482733162149
181,0.0221585103145435,-0.6007342862334806,0.5852153702935383,-1.0509394451797336
182,0.5076777904708379,-0.38127101590468054,1.9963842730047148,0.5133018007402409
183,1.1471064860214593,-2.0975168160602387,1.3527568176833369,-0.4596252257140072
184,-0.16974536389531864,0.34880210134488887,-1.0907478309030922,-2.331483614536927
185,0.9349733256178882,0.7956564068517197,-0.277929462509593,-1.3669042098656063
186,1.4974036238948973,0.7221347853067828,0.08965672547999139,-1.3864081088644644
187,1.274488490525181,0.7842535575418991,-0.07704336166614636,-1.7008743731522307
188,-0.5600500673241064,0.40891786418296633,-0.8334153098605733,-1.535732163462657
189,0.6017786641180181,0.34080698203780846,-0.27936015544677123,-1.162588573653418
