dataset_index,spectral_centroid_log_um,spectral_centroid_um,spectral_entropy,effective_band_number,lambda_peak_um
0,4.072816866064687,58.722142247931075,0.39008737310811725,3.4546414347194094,72.4596028517579
1,2.936918569559043,18.85764816044061,0.8375371810494523,14.321161180847236,142.88074044744846
2,2.619703701696144,13.731654316365914,0.7756824217418423,11.765370242974344,6.010042719351759
3,2.3099144055020746,10.073562376597023,0.5748008320304893,6.21364689917702,7.536507573664894
4,2.586786377658878,13.287003508428922,0.5907506081994156,6.536731259896694,7.536507573664894
5,2.2469732384664387,9.4590621386018,0.20660884420461237,1.9282522615999722,9.450672659117906
6,2.310387104483002,10.078325264884285,0.3771366061479468,3.3153408396161113,9.450672659117906
7,2.403729243506112,11.064361236022389,0.4772511479757939,4.557297702952013,9.450672659117906
8,2.45178831161264,11.609088835388407,0.8112090324402838,13.171639200752223,7.536507573664894
9,2.7890325087971126,16.26527567573598,0.76820503772441,11.489079352056004,11.851008286901518
10,3.5818618226350503,35.94039323174139,0.7489737499020694,10.807916714396422,57.783436732427695
11,3.966081502882366,52.77731735616093,0.4879114993172,4.714340385536164,72.4596028517579
12,3.1193316563610036,22.63124913614686,0.8134305495760215,13.264961348663885,29.303913627052882
13,2.2823356179115306,9.799541686620273,0.3406555290446684,2.9524094772069707,9.450672659117906
14,3.366188873016738,28.9679160089526,0.7764907810382086,11.795634447097196,142.88074044744846
15,3.9229819982180136,50.55096312576507,0.6213796320969736,7.205019384606641,142.88074044744846
16,2.945542084930606,19.020970573773063,0.7895521260671498,12.295571519787268,29.303913627052882
17,3.0441139708180622,20.991423946623655,0.7776403244870357,11.838806379942053,14.860994818258504
18,3.0097019614065674,20.281354398047768,0.8003643702972093,12.725413445281061,9.450672659117906
19,4.561766554212872,95.75248246124532,0.4982670585341885,4.872073097615881,142.88074044744846
20,3.2804471817097696,26.587659556942786,0.7727134205684276,11.654878479904617,142.88074044744846
21,3.2143481519309653,24.887064038048926,0.7180012724492757,9.794751628450532,29.303913627052882
22,3.830532797723837,46.08708678886612,0.7156354391069688,9.721383545224485,57.783436732427695
23,4.27591933533487,71.94625164664915,0.5148592242334409,5.135875521701199,142.88074044744846
24,3.565173133038661,35.34557236091369,0.6684089344653408,8.366532942856358,142.88074044744846
25,2.710830659388119,15.041764910177053,0.6977817987713405,9.18515063216047,9.450672659117906
26,3.358516506721292,28.746513971353657,0.811103733023564,13.167232085836945,72.4596028517579
27,2.915997875297223,18.467231205212336,0.7500466618969883,10.844832147839412,7.536507573664894
28,3.091406639092468,22.00801354527221,0.792014655336996,12.39217480242403,29.303913627052882
29,2.646438107668382,14.103713163843718,0.7200221446013516,9.857860276680068,11.851008286901518
30,2.500768034966744,12.191854136058312,0.6125701070483278,7.006097035777764,7.536507573664894
31,2.803410137343071,16.500821001627735,0.7693723831473592,11.531781694954919,7.536507573664894
32,3.2073602453394887,24.71376177443738,0.7958595645938435,12.544527788217792,29.303913627052882
33,3.546083394807882,34.67723413391755,0.7558606470172096,11.047076518107891,142.88074044744846
34,3.4297270491210603,30.868216092983804,0.7637756539525932,11.328482646735752,142.88074044744846
