session_id,measurement_id,sample_id,roi_within_measurement,shared_height_source_id,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction
zro2_120_formal,26,26,single,zro2_120_formal:m026,11.908,14.193,16.702,19.194,19.733,760384,1.0,2.509000000000002,4.794000000000002,7.825000000000001,5.0009999999999994,1.200000000000001,0.03999999999999915,0.007726359313189125
zro2_120_formal,27,27,single,zro2_120_formal:m027,5.762,7.036,54.888,59.42684999999997,59.815,760384,1.0,47.852,49.126,54.053,52.39084999999997,4.652000000000001,0.03800000000000381,0.429016128692871
zro2_120_formal,28,28,single,zro2_120_formal:m028,6.384,10.789,24.777,29.159,29.709,760384,1.0,13.988000000000001,18.393,23.325,18.369999999999997,4.134999999999998,0.04299999999999926,0.010008101169935191
zro2_120_formal,29,29,single,zro2_120_formal:m029,5.239,6.875,46.787,51.506,51.981,760384,1.0,39.912,41.548,46.742000000000004,44.631,4.855000000000004,0.038000000000000256,0.4188252251493982
zro2_120_formal,30,30,single,zro2_120_formal:m030,4.451,9.277,31.58,35.587,36.01917000000004,760384,1.0,22.302999999999997,27.128999999999998,31.568170000000038,26.310000000000002,3.719999999999999,0.036999999999999034,0.20969404932244762
zro2_120_formal,31,31,single,zro2_120_formal:m031,5.099,10.489150000000002,27.774,32.125,32.569,760384,1.0,17.28485,22.675,27.470000000000002,21.635849999999998,4.275999999999996,0.04800000000000182,0.03515855146873159
zro2_120_formal,32,32,single,zro2_120_formal:m032,2.277,3.007,50.871,55.274,55.652,760384,1.0,47.864000000000004,48.594,53.375,52.267,4.442999999999998,0.04700000000000015,0.4224326129955391
zro2_120_formal,33,33,single,zro2_120_formal:m033,2.178,2.9481500000000014,59.209,63.961,64.29,760384,1.0,56.260850000000005,57.031000000000006,62.11200000000001,61.01285,4.8729999999999905,0.043999999999999595,0.4246420229778638
zro2_120_formal,34,34,single,zro2_120_formal:m034,2.145,2.833,56.741,61.355,61.779,760384,1.0,53.908,54.596,59.634,58.522,4.676000000000002,0.045999999999999375,0.4222616467469068
zro2_120_formal,35,35,single,zro2_120_formal:m035,4.92583,7.878,19.692,23.871,24.369,760384,1.0,11.814,14.766169999999999,19.44317,15.992999999999999,3.158999999999999,0.06300000000000061,0.016692881491456948
zro2_120_formal,36,36,single,zro2_120_formal:m036,3.563,4.289,57.624,62.246,62.742,760384,1.0,53.335,54.061,59.178999999999995,57.957,4.707999999999998,0.04600000000000026,0.422344499621244
zro2_120_formal,37,37,single,zro2_120_formal:m037,5.57083,7.937,42.651,46.941,47.378,760384,1.0,34.714000000000006,37.08017,41.80717,39.004000000000005,4.143999999999998,0.046999999999997044,0.38814993476980053
zro2_120_formal,38,38,single,zro2_120_formal:m038,4.153,4.879,57.552,62.394,63.033,760384,1.0,52.673,53.399,58.88,57.515,4.834000000000003,0.04999999999999716,0.3974241961956064
zro2_120_formal,39,39,single,zro2_120_formal:m039,3.797,18.456,24.383,28.899,29.407,760384,1.0,5.927,20.586,25.61,10.443000000000001,2.9849999999999994,0.054999999999999716,0.022709578318323372
zro2_120_formal,40,40,single,zro2_120_formal:m040,4.895,6.084,62.196,67.137,67.641,760384,1.0,56.111999999999995,57.301,62.74600000000001,61.053,4.9950000000000045,0.051000000000000156,0.39301326698089384
zro2_120_formal,41,41,single,zro2_120_formal:m041,2.8,4.597,59.868,64.133,64.675,760384,1.0,55.271,57.068000000000005,61.875,59.535999999999994,4.333999999999996,0.04899999999999949,0.40878424585472606
zro2_120_formal,42,42,single,zro2_120_formal:m042,5.53,6.926,46.391,50.944,51.385,760384,1.0,39.464999999999996,40.861,45.855,44.018,4.429000000000002,0.0449999999999946,0.39293304435653564
zro2_120_formal,43,43,single,zro2_120_formal:m043,2.563,3.827,51.993,56.741,57.144,760384,1.0,48.166000000000004,49.43,54.580999999999996,52.914,4.797999999999995,0.044000000000004036,0.4150350349297197
zro2_120_formal,44,44,single,zro2_120_formal:m044,3.497,4.668,56.028,60.915,61.395,760384,1.0,51.36,52.531,57.898,56.247,4.8260000000000005,0.052999999999999936,0.3429543493813652
zro2_120_formal,45,45,single,zro2_120_formal:m045,2.654,3.753,54.4,59.199,59.699,760384,1.0,50.647,51.745999999999995,57.045,55.446,4.721000000000004,0.05300000000000438,0.35681445164548437
zro2_120_formal,46,46,single,zro2_120_formal:m046,4.407,5.698,56.601,61.661,62.207,760384,1.0,50.903,52.194,57.8,55.963,5.133000000000003,0.04300000000000015,0.38752788064977695
zro2_120_formal,47,47,single,zro2_120_formal:m047,2.888,4.243,48.613,53.072,53.529,760384,1.0,44.37,45.725,50.641000000000005,48.829,4.347999999999999,0.04800000000000182,0.37386899250904804
zro2_120_formal,48,48,single,zro2_120_formal:m048,1.35183,2.015,51.459,56.13,56.69,760384,1.0,49.444,50.10717,55.33817,54.115,4.572999999999997,0.042999999999999705,0.39405747622254017
zro2_120_formal,49,49,single,zro2_120_formal:m049,5.229,12.392,18.232,22.192,22.737,760384,1.0,5.84,13.003,17.508,9.8,1.088000000000001,0.03500000000000014,0.05941734702466123
zro2_120_formal,50,50,single,zro2_120_formal:m050,5.379,12.437,18.302,22.073,22.57,760384,1.0,5.865,12.923,17.191000000000003,9.636000000000001,0.9039999999999999,0.036999999999999034,0.06784335283225318
zro2_120_formal,51,51,single,zro2_120_formal:m051,9.253,14.586,19.467,23.055,23.469,760384,1.0,4.8809999999999985,10.213999999999999,14.216000000000001,8.469,1.1229999999999976,0.04800000000000182,0.048777985859776114
zro2_120_formal,52,52,single,zro2_120_formal:m052,6.155,7.23,40.445,44.926,45.392,760384,1.0,33.215,34.29,39.237,37.696,4.311999999999998,0.036000000000000476,0.3598892138708863
zro2_120_formal,53,53,single,zro2_120_formal:m053,3.0648299999999997,5.949,36.67,40.89,41.41,760384,1.0,30.721000000000004,33.60517,38.345169999999996,34.941,3.789999999999999,0.036000000000001364,0.3598352937463177
zro2_120_formal,54,54,single,zro2_120_formal:m054,4.0458300000000005,5.061,45.813,50.885,51.453,760384,1.0,40.752,41.76717,47.40717,45.824,5.071999999999996,0.03399999999999892,0.3978200488174396
zro2_120_formal,55,55,single,zro2_120_formal:m055,4.812,7.035,33.91,38.493,38.988,760384,1.0,26.874999999999996,29.097999999999995,34.176,31.458000000000002,4.406000000000006,0.04100000000000037,0.394570374968437
zro2_120_formal,56,56,single,zro2_120_formal:m056,3.506,4.569,45.264,50.096,50.714,760384,1.0,40.695,41.758,47.208,45.526999999999994,4.924999999999997,0.040000000000000036,0.41016775734365796
zro2_120_formal,57,57,single,zro2_120_formal:m057,3.91,5.458,44.835,53.711,54.308,760384,1.0,39.377,40.925,50.397999999999996,48.253,8.926000000000002,0.03899999999999437,0.039152586061779314
zro2_120_formal,58,58,single,zro2_120_formal:m058,2.805,4.898,48.087,52.335,52.893,760384,1.0,43.18900000000001,45.282000000000004,50.088,47.437,4.300999999999995,0.04200000000000159,0.4021165621580675
zro2_120_formal,59,59,single,zro2_120_formal:m059,1.76,3.778,55.971,60.451,60.954,760384,1.0,52.193,54.211,59.194,56.673,4.538000000000004,0.046999999999997044,0.4211240636310075
zro2_120_formal,60,60,single,zro2_120_formal:m060,12.164,13.713,16.523,19.987,20.515,760384,1.0,2.8100000000000005,4.359,8.351,6.273999999999999,1.2560000000000002,0.05699999999999861,0.002609207979126336
zro2_120_formal,61,61,single,zro2_120_formal:m061,6.577,8.322,54.312,58.694,59.049,760384,1.0,45.989999999999995,47.735,52.472,50.372,4.4680000000000035,0.045000000000001705,0.414234123811127
zro2_120_formal,62,62,single,zro2_120_formal:m062,2.668,5.336,64.098,68.915,69.417,760384,1.0,58.762,61.43,66.749,63.57900000000001,4.912999999999997,0.045999999999999375,0.41183270558033835
zro2_120_formal,63,63,single,zro2_120_formal:m063,3.764,5.272,63.166,67.509,67.981,760384,1.0,57.894,59.401999999999994,64.217,62.237,4.388000000000005,0.05200000000000671,0.41796250315629996
zro2_120_formal,64,64,single,zro2_120_formal:m064,3.303,4.555,40.467,44.543,44.827,760384,1.0,35.912,37.164,41.524,39.988,4.116,0.05600000000000449,0.41904222077266223
