session_id,measurement_id,cag_data_name,width_px,height_px,dx_um,dy_um,fov_width_um,fov_height_um,valid_pixels,invalid_pixels,valid_fraction,invalid_component_count,invalid_component_max_area_um2,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction,status
zro2_120_formal,1,1,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,9.64,22.230350000000005,37.601,42.211,42.979,3145728,1.0,15.370649999999994,27.961,33.339,19.980649999999994,2.509999999999998,0.036999999999999034,0.1044925053914388,PASS
zro2_120_formal,2,2,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,12.06127,23.574,32.667,37.184,37.883,3145728,1.0,9.093,20.60573,25.821730000000002,13.609999999999996,2.3640000000000008,0.03500000000000014,0.03694915771484375,PASS
zro2_120_formal,3,3,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.002,19.39,23.261,27.826,28.826,3145728,1.0,3.8709999999999987,9.258999999999999,14.824,8.436,2.3309999999999995,0.036000000000001364,0.008430798848470053,PASS
zro2_120_formal,4,4,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.367,18.265,22.508,27.508,28.507,3145728,1.0,4.2429999999999986,8.140999999999998,14.14,9.242999999999999,2.2680000000000007,0.03900000000000148,0.0067157745361328125,PASS
zro2_120_formal,5,5,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.586,20.458,25.337,30.247,31.094,3145728,1.0,4.879000000000001,10.751,16.508000000000003,9.789000000000001,2.6700000000000017,0.03900000000000148,0.008272488911946615,PASS
zro2_120_formal,6,6,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,12.758,14.33,18.685,23.235,24.135,3145728,1.0,4.354999999999999,5.927,11.377000000000002,8.905,2.142000000000003,0.03900000000000148,0.00029404958089192707,PASS
zro2_120_formal,7,7,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.226,17.885,23.755,28.553,29.537,3145728,1.0,5.869999999999997,9.528999999999998,15.310999999999998,10.668,2.5010000000000012,0.036999999999999034,0.006616274515787761,PASS
zro2_120_formal,8,8,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.231,20.137,24.544,29.207,29.915,3145728,1.0,4.407,10.313,15.684,9.07,2.5700000000000003,0.038000000000000256,0.008010546366373697,PASS
zro2_120_formal,9,9,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,2.949,4.416,59.949,64.85,65.868,3145728,1.0,55.533,57.0,62.919,60.434,2.7250000000000014,0.036000000000001364,0.10853354136149089,PASS
zro2_120_formal,10,10,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,15.662,17.675,22.131,27.428,28.584,3145728,1.0,4.4559999999999995,6.468999999999999,12.921999999999999,9.753,2.6030000000000015,0.04199999999999804,0.0002285639444986979,PASS
zro2_120_formal,11,11,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,8.139,9.818,54.976,59.827,60.795,3145728,1.0,45.158,46.837,52.656000000000006,50.009,2.6370000000000005,0.03999999999999915,0.10736942291259766,PASS
zro2_120_formal,12,12,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,8.97427,20.382350000000006,39.723,44.4,45.228,3145728,1.0,19.340649999999993,30.74873,36.253730000000004,24.017649999999993,2.5020000000000024,0.04099999999999682,0.10258865356445312,PASS
zro2_120_formal,13,13,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,7.84,13.136,43.612,48.42,49.406,3145728,1.0,30.476000000000003,35.772000000000006,41.566,35.284000000000006,2.504000000000005,0.04200000000000159,0.10807641347249348,PASS
zro2_120_formal,14,14,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,11.488,18.243,25.834,30.703,31.42572999999998,3145728,1.0,7.591000000000001,14.346,19.93772999999998,12.46,2.6080000000000005,0.04499999999999815,0.01787535349527995,PASS
zro2_120_formal,15,15,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,12.294,16.131,21.807,26.568,27.309,3145728,1.0,5.675999999999998,9.512999999999998,15.015,10.437000000000001,2.610999999999997,0.045000000000001705,0.003571192423502604,PASS
zro2_120_formal,16,16,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,6.5,9.143,54.097,58.493,59.109,3145728,1.0,44.954,47.597,52.609,49.35,2.561,0.043000000000006366,0.10843690236409505,PASS
zro2_120_formal,17,17,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,4.73,7.195,60.069,64.575,65.393,3145728,1.0,52.874,55.339,60.663,57.38,2.5700000000000003,0.045999999999999375,0.10815652211507161,PASS
zro2_120_formal,18,18,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,12.91,14.697,19.805,24.318,25.129,3145728,1.0,5.1080000000000005,6.895,12.219000000000001,9.621000000000002,2.565999999999999,0.043000000000002814,0.0028848648071289062,PASS
zro2_120_formal,19,19,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,14.254,16.276,21.219,25.864,26.786,3145728,1.0,4.943000000000001,6.965000000000002,12.532000000000002,9.588000000000001,2.562000000000001,0.04400000000000048,0.0032714207967122397,PASS
zro2_120_formal,20,20,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,6.734,16.275,75.16,79.763,80.493,3145728,1.0,58.885,68.426,73.759,63.48800000000001,2.5700000000000074,0.043000000000006366,0.10999997456868489,PASS
zro2_120_formal,21,21,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,2.85,5.619,60.083,65.004,65.98872999999999,3145728,1.0,54.464,57.233,63.13872999999999,59.385000000000005,2.5360000000000014,0.04299999999999926,0.10916455586751302,PASS
zro2_120_formal,22,22,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,5.274,8.175,57.022,61.88,62.672,3145728,1.0,48.846999999999994,51.748,57.397999999999996,53.705,2.6000000000000014,0.04399999999999693,0.10868899027506511,PASS
zro2_120_formal,23,23,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,7.281,20.077350000000006,72.203,76.812,77.791,3145728,1.0,52.12564999999999,64.922,70.50999999999999,56.73464999999999,2.457000000000008,0.045000000000001705,0.10423819224039714,PASS
zro2_120_formal,24,24,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,8.908,18.479,76.789,81.439,82.436,3145728,1.0,58.31,67.881,73.528,62.959999999999994,2.503,0.049000000000006594,0.10804557800292969,PASS
zro2_120_formal,25,25,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,9.225,17.586,32.534,37.371,38.746,3145728,1.0,14.948,23.308999999999997,29.521,19.785000000000004,2.547000000000004,0.04099999999999682,0.10428206125895183,PASS
zro2_120_formal,26,26,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,11.562,12.618,16.815,21.172,22.277,3145728,1.0,4.197000000000001,5.253000000000002,10.715000000000002,8.554,2.1240000000000006,0.03999999999999915,0.0005534489949544271,PASS
zro2_120_formal,27,27,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,6.899,8.477,56.809,61.022,61.695,3145728,1.0,48.331999999999994,49.91,54.796,52.545,2.536999999999999,0.03999999999999915,0.11072413126627605,PASS
zro2_120_formal,28,28,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,9.94727,16.673,26.32,30.942,31.783,3145728,1.0,9.647000000000002,16.37273,21.83573,14.269000000000002,2.5390000000000015,0.04100000000000037,0.030488332112630207,PASS
zro2_120_formal,29,29,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,6.551,9.43,48.325,53.272,54.031,3145728,1.0,38.895,41.774,47.48,43.842,2.6709999999999994,0.03900000000000148,0.1094980239868164,PASS
