case,walltime_seconds
0,0.22775700001511723
1,0.10343350004404783
2,0.42332080006599426
3,13.215655399952084
4,0.1907268000068143
5,0.19747380004264414
6,0.931973300059326
7,0.9531382999848574
8,0.2992059999378398
9,0.2988760999869555
10,1.4016454999800771
11,1.4003062000265345
