dataset_index,target_block,band_valid,band_energy,undefined_reason,case,tail_waists
0,ILR,True,182.70362449989076,,0,6.0
0,8_16,True,1.708062457539115e-06,,0,6.0
0,16_32,True,4.110822947448272e-07,,0,6.0
0,ILR,True,182.70362449989076,,0,8.0
0,8_16,True,1.708062457539115e-06,,0,8.0
0,16_32,True,4.110822947448272e-07,,0,8.0
0,ILR,True,30378.496233382757,,1,6.0
0,8_16,True,0.0002851963609111939,,1,6.0
0,16_32,True,6.907573949926643e-05,,1,6.0
0,ILR,True,30378.496233382757,,1,8.0
0,8_16,True,0.0002851963609111939,,1,8.0
0,16_32,True,6.907573949926643e-05,,1,8.0
0,ILR,True,183.53616652636356,,2,6.0
0,8_16,True,1.720276968970158e-06,,2,6.0
0,16_32,True,4.1281861568411666e-07,,2,6.0
0,ILR,True,183.53616652636356,,2,8.0
0,8_16,True,1.720276968970158e-06,,2,8.0
0,16_32,True,4.1281861568411666e-07,,2,8.0
0,ILR,True,148357.6509471557,,3,6.0
0,8_16,True,0.0012597867362867693,,3,6.0
0,16_32,True,0.00029612843998322503,,3,6.0
0,ILR,True,148357.6509471557,,3,8.0
0,8_16,True,0.0012597867362867693,,3,8.0
0,16_32,True,0.00029612843998322503,,3,8.0
0,ILR,True,3.595060051630617,,4,6.0
0,8_16,True,3.28899542624378e-08,,4,6.0
0,16_32,True,7.827676208253241e-09,,4,6.0
0,ILR,True,3.595060051630617,,4,8.0
0,8_16,True,3.28899542624378e-08,,4,8.0
0,16_32,True,7.827676208253241e-09,,4,8.0
0,ILR,True,2045.158339324656,,5,6.0
0,8_16,True,1.6909399617004256e-05,,5,6.0
0,16_32,True,3.940469172048125e-06,,5,6.0
0,ILR,True,2045.158339324656,,5,8.0
0,8_16,True,1.6909399617004256e-05,,5,8.0
0,16_32,True,3.940469172048125e-06,,5,8.0
0,ILR,True,3.5980471785942454,,6,6.0
0,8_16,True,3.291557482952746e-08,,6,6.0
0,16_32,True,7.833598022790594e-09,,6,6.0
0,ILR,True,3.5980471785942454,,6,8.0
0,8_16,True,3.291557482952746e-08,,6,8.0
0,16_32,True,7.833598022790594e-09,,6,8.0
0,ILR,True,2156.6135261554214,,7,6.0
0,8_16,True,1.757948463621991e-05,,7,6.0
0,16_32,True,4.056595251141988e-06,,7,6.0
0,ILR,True,2156.6135261554214,,7,8.0
0,8_16,True,1.757948463621991e-05,,7,8.0
0,16_32,True,4.056595251141988e-06,,7,8.0
0,ILR,True,0.2553962759534794,,8,6.0
0,8_16,True,2.0050288981249645e-09,,8,6.0
0,16_32,True,5.089418911264669e-10,,8,6.0
0,ILR,True,0.2553962759534794,,8,8.0
0,8_16,True,2.0050288981249645e-09,,8,8.0
0,16_32,True,5.089418911264669e-10,,8,8.0
0,ILR,True,326.1137340070226,,9,6.0
0,8_16,True,2.7810518978239918e-06,,9,6.0
0,16_32,True,6.311377854775153e-07,,9,6.0
0,ILR,True,326.1137340070226,,9,8.0
0,8_16,True,2.7810518978239918e-06,,9,8.0
0,16_32,True,6.311377854775153e-07,,9,8.0
0,ILR,True,0.2552433002779484,,10,6.0
0,8_16,True,2.0033281139931755e-09,,10,6.0
0,16_32,True,5.085298830319082e-10,,10,6.0
0,ILR,True,0.2552433002779484,,10,8.0
0,8_16,True,2.0033281139931755e-09,,10,8.0
0,16_32,True,5.085298830319082e-10,,10,8.0
0,ILR,True,359.4920715630202,,11,6.0
0,8_16,True,3.0157541500291404e-06,,11,6.0
0,16_32,True,6.73606396984536e-07,,11,6.0
0,ILR,True,359.4920715630202,,11,8.0
0,8_16,True,3.0157541500291404e-06,,11,8.0
0,16_32,True,6.73606396984536e-07,,11,8.0
