cells_per_waist,grid_spacing_m,volume_m3,analytic_volume_m3,relative_error
8,2.5e-07,6.0498329670890644e-21,6.0375506356819845e-21,0.002034323544135803
16,1.25e-07,6.037531745301556e-21,6.0375506356819845e-21,3.128815237948709e-06
32,6.25e-08,6.038122542502797e-21,6.0375506356819845e-21,9.472497297700204e-05
64,3.125e-08,6.037508211380334e-21,6.0375506356819845e-21,7.026740512852887e-06
