加工顺序,threshold_k,status,processing_mode,W_line_um,D_line_um,C_continuity,n_signal_pixels,edge_clipped
13,3,ok,continuous,12.63578763,14.13139361,1,33760,1
13,4,ok,continuous,12.3482334,14.13557115,1,32856,0
13,5,ok,continuous,12.06151214,14.13557115,1,32122,0
19,3,ok,continuous,10.96632684,11.4614574,1,28974,0
19,4,ok,continuous,10.58562137,11.46656721,1,28101,0
19,5,ok,continuous,10.29115983,11.41459612,1,27274,0
33,3,ok,continuous,7.211648646,4.079292105,0.907028535,16826,0
33,4,ok,continuous,6.811389882,4.061253616,0.90284868,15536,0
33,5,ok,continuous,6.477702025,4.077251411,0.890309115,14286,0
34,3,ok,continuous,8.640834441,4.57930659,1,22577,0
34,4,ok,continuous,8.213538505,4.486124411,1,21057,0
34,5,ok,continuous,7.836187078,4.495180704,1,19800,0
43,3,ok,continuous,7.480001656,5.044220138,0.98923235,17235,0
43,4,ok,continuous,7.027292945,5.129461529,0.895882255,14787,0
43,5,ok,continuous,6.590374808,5.163576867,0.87776955,13530,0
44,3,ok,continuous,5.498163014,2.449270274,0.973906215,14045,0
44,4,ok,continuous,4.91581786,2.436395924,0.951613655,11899,0
44,5,ok,uncertain,6.416988019,2.99002228,0.890309115,9516,0
48,3,ok,continuous,7.207498366,2.591445159,0.976692785,17148,0
48,4,ok,continuous,6.876259885,2.699256954,0.94464723,15278,0
48,5,ok,continuous,6.401770077,2.841318219,0.887522545,13360,0
51,3,ok,continuous,8.069657129,4.17616148,1,21844,0
51,4,ok,continuous,7.648950541,4.166671191,1,20679,0
51,5,ok,continuous,7.281922001,4.175304964,0.996198775,19609,0
60,3,ok,discrete,7.659856774,2.821653589,0.278657,4599,0
60,4,ok,discrete,4.158728122,2.19574383,0.207599465,3327,0
60,5,ok,discrete,8.681072069,4.058965701,0.076630675,2350,0
68,3,ok,continuous,11.60307944,7.872853219,1,30765,0
68,4,ok,continuous,11.2185533,7.88479963,1,29577,0
68,5,ok,continuous,10.81624876,7.861523145,1,28501,0
94,3,ok,continuous,8.352385979,7.077517418,1,21597,0
94,4,ok,continuous,8.070246711,7.036661635,1,20627,0
94,5,ok,continuous,7.802342148,7.079928333,0.99480549,19849,0
95,3,ok,continuous,5.601433795,2.621693394,0.996198775,14094,0
95,4,ok,continuous,5.135579473,2.623049426,0.971119645,12481,0
95,5,ok,continuous,4.537721347,2.650720932,0.96415322,10903,0
101,3,ok,continuous,9.192511832,10.12852204,0.99201892,22523,0
101,4,ok,continuous,8.909087888,10.12098212,0.987839065,21405,0
101,5,ok,continuous,8.640849958,10.15149593,0.979479355,20402,0
104,3,ok,continuous,8.058164409,10.91509385,0.96972636,18783,0
104,4,ok,continuous,7.700065858,10.92098511,0.93350095,17569,0
104,5,ok,continuous,7.376347502,10.88089816,0.926534525,16621,0
116,3,ok,continuous,10.65983739,14.93227541,0.996198775,26247,0
116,4,ok,continuous,10.1925273,14.91907757,0.99480549,24607,0
116,5,ok,continuous,9.724764681,14.89736123,0.993412205,23083,0
