加工顺序,component,area_pixels,center_s_um,center_xi_um,width_perpendicular_um,length_parallel_um,depth_p95_um,depth_max_um,volume_um3
13,1,32856,-6.090948784e-14,-6.896598368e-15,15.58436093,214.2717612,14.71676606,18.71599337,21371.1357
19,1,28101,2.610795735e-14,1.353415432e-15,13.75846717,211.5124119,14.82088248,22.23141429,16619.51709
33,3,1753,-88.60692153,0.0436832525,9.648218531,22.89431513,5.512653056,6.782819215,396.4753827
33,2,7398,-31.57660264,-0.007027239312,10.48682638,84.18265268,4.366478214,5.748749635,1638.649883
33,1,6385,65.57236021,-0.004380990194,8.931868709,81.92139488,4.257929332,4.841094905,1324.848748
34,1,21057,0,-2.702583555e-15,12.34318248,211.204005,5.886056701,8.326995779,5128.266943
43,2,11192,-20.54506601,0.008721260615,10.88984004,132.1442778,8.606524515,14.14280861,3187.96073
43,1,3595,73.88093027,-0.03136202371,8.89707318,47.0923836,7.183084004,12.05781027,886.519206
44,5,1499,-94.50637726,0.06717016853,6.822780459,25.35103166,2.501985881,3.36338583,182.6763444
44,4,862,-70.53599274,0.05510678511,6.949525843,14.47013353,3.399551303,4.118742641,128.6224672
44,3,6709,-10.47783088,-0.02906272397,7.7581345,115.1017964,3.573716911,5.149726496,1036.016046
44,2,2807,73.53951025,0.04004270978,7.981542202,42.04753624,4.190357443,5.728771034,502.4218064
44,1,22,108.9786481,-4.184756581,1.953278662,1.68292069,1.724359995,1.974899448,2.2384226
48,4,2755,-80.31490834,0.001095810055,7.952724714,38.48445972,7.4695973,11.81284873,671.2984226
48,3,1592,-46.84160152,-0.07408998932,8.100734563,23.99696738,6.825572853,8.824748133,398.4557707
48,2,7415,12.95749021,0.01984195003,9.493633396,87.78304952,5.272094142,11.37631602,1339.990748
48,1,3516,79.58281979,0.003167851208,10.15056922,46.8195495,5.030607238,11.31112091,693.8263921
51,1,20679,1.360111435e-14,4.451243601e-15,10.78844408,210.9299881,5.848136433,12.33377491,5316.986437
60,4,1382,-106.9495687,0.1195320022,8.941708209,20.07626586,3.786856488,4.907028196,282.4236128
60,6,113,-86.46587958,-1.669221675,4.990470951,6.155277968,2.125557507,2.452964942,16.23089059
60,5,100,58.43765141,-1.307308126,3.326985293,5.029542555,2.034864737,2.183968562,13.94028212
60,3,60,66.62788553,-1.778779581,3.048342269,4.472256507,2.207201789,2.362512279,8.877935881
60,2,62,74.86759751,-2.032449017,2.54129114,3.901016314,2.184285871,2.205569706,9.05322945
60,1,1610,86.21300064,0.1335939425,10.30701504,17.51545289,4.125854381,4.953972457,342.4605642
68,1,29577,1.734107484e-14,-1.876922977e-15,15.47978918,213.1742611,10.22196237,15.49336235,12510.80591
94,1,20627,-1.892515185e-14,2.0214243e-15,11.4955309,207.0257686,9.380681859,16.66909562,7642.415884
95,1,12481,-2.320039268e-14,1.595488788e-15,9.810127546,195.1083144,2.955725402,3.943526009,1911.632458
101,1,21405,-1.148962531e-14,-2.689140819e-15,12.19559164,205.6499766,11.4919309,18.80257273,9441.161738
104,2,1796,-92.44507792,-0.3908445934,9.249416077,22.03193078,7.48976496,11.23012344,466.4063082
104,1,15773,5.708106042,0.02413305754,10.31331663,169.7266389,11.41449205,14.05485888,7553.638139
116,1,24607,-2.81922963e-15,-3.262487414e-15,13.96147192,205.1496297,15.12362706,18.1429347,12825.6563
