加工顺序,xi_um,median_depth_um
33,8.209060031,0.05228371833
33,8.531147251,0.04691691115
33,8.853234472,0.07630664719
33,9.175321692,0.06847595775
33,9.497408912,0.03763562519
33,9.819496132,0.03337446157
33,10.14158335,0.03337446157
33,10.46367057,0.03337446157
34,-10.43099293,0.02104293907
34,-10.10399699,0.02104293907
34,-9.777001059,0.02104293907
34,-9.450005124,0.01238968651
34,-9.123009188,0.03127282274
34,-8.796013253,0.04054742935
34,-8.469017318,0.0374166546
34,-8.142021382,0.03113597339
34,-7.815025447,0.02447542895
34,-7.488029512,0.03551039296
34,-7.161033576,0.007944778873
34,-6.834037641,0.01401611978
34,-6.507041706,0.02559807231
34,-6.18004577,0.02582093392
34,-5.853049835,0.1028255513
34,-5.526053899,0.1628664341
34,-5.199057964,0.2867275758
34,-4.872062029,0.4828948438
34,-4.545066093,0.6990131839
34,-4.218070158,0.9797803871
34,-3.891074223,1.297651598
34,-3.564078287,1.599380838
34,-3.237082352,1.895622457
34,-2.910086417,2.25019601
34,-2.583090481,2.562451157
34,-2.256094546,2.842380433
34,-1.929098611,3.132795343
34,-1.602102675,3.382326698
34,-1.27510674,3.622246724
34,-0.9481108046,3.824444852
34,-0.6211148692,3.938682109
34,-0.2941189339,4.095070486
34,0.03287700146,4.221607536
34,0.3598729368,4.237215201
34,0.6868688722,4.237251563
34,1.013864808,4.0725751
34,1.340860743,4.118268814
34,1.667856678,3.96132838
34,1.994852614,3.874455506
34,2.321848549,3.458681069
34,2.648844484,3.106548993
34,2.97584042,2.613244712
34,3.302836355,2.204172627
34,3.62983229,1.698637521
34,3.956828226,1.119431412
34,4.283824161,0.7073464854
34,4.610820096,0.3901129827
34,4.937816032,0.1812157436
34,5.264811967,0.1367611118
34,5.591807902,0.1051432694
34,5.918803838,0.1072234409
34,6.245799773,0.1011030236
34,6.572795708,0.07232335863
34,6.899791644,0.0364554606
34,7.226787579,-0.005121388746
34,7.553783514,-0.007217182625
34,7.88077945,0.0133220786
34,8.207775385,0.03012903467
34,8.534771321,0.03631040911
34,8.861767256,0.04543019085
34,9.188763191,0.04543019085
34,9.515759127,0.04562116471
34,9.842755062,0.04562116471
34,10.169751,0.04562116471
43,-11.83117741,0.05431363606
43,-11.48965166,0.05431363606
43,-11.14812591,0.05431363606
43,-10.80660016,0.05431363606
43,-10.46507441,0.05964248625
43,-10.12354866,0.05224266281
43,-9.782022909,0.0526304503
43,-9.440497159,0.04955098002
43,-9.098971408,0.06226820684
43,-8.757445658,0.05570052151
43,-8.415919907,0.08793649351
43,-8.074394157,0.0852858438
43,-7.732868406,0.051632008
43,-7.391342655,0.04029687379
43,-7.049816905,0.05525468972
43,-6.708291154,0.06677434765
43,-6.366765404,0.07823331635
43,-6.025239653,0.07268043774
43,-5.683713903,0.07220127831
43,-5.342188152,0.08899373968
43,-5.000662401,0.09560770803
43,-4.659136651,0.1892698454
43,-4.3176109,0.2821866284
43,-3.97608515,0.4364009199
43,-3.634559399,0.7614237806
43,-3.293033649,1.143374045
43,-2.951507898,1.639782201
43,-2.609982148,2.346958776
43,-2.268456397,2.936926917
43,-1.926930646,3.335113731
43,-1.585404896,3.657218059
43,-1.243879145,4.049517708
43,-0.9023533948,4.386459951
43,-0.5608276442,4.338670702
43,-0.2193018936,4.496579911
43,0.1222238569,4.58660827
43,0.4637496075,4.51114176
43,0.805275358,4.396795441
43,1.146801109,3.992965742
43,1.488326859,3.67890956
43,1.82985261,3.242212052
43,2.17137836,2.730521977
43,2.512904111,2.322206666
43,2.854429861,1.742382417
43,3.195955612,1.34095457
43,3.537481363,0.9668143772
43,3.879007113,0.6372260282
43,4.220532864,0.3476242126
43,4.562058614,0.2208646388
43,4.903584365,0.1775535606
43,5.245110115,0.1439246949
43,5.586635866,0.1399508894
43,5.928161616,0.1276962712
43,6.269687367,0.1415798695
43,6.611213118,0.1505717853
43,6.952738868,0.1188108992
43,7.294264619,0.1200129341
43,7.635790369,0.1151913402
43,7.97731612,0.1148200125
43,8.31884187,0.08470220979
43,8.660367621,0.098649024
43,9.001893371,0.0963126956
43,9.343419122,0.0963126956
43,9.684944873,0.0963126956
44,-10.42818357,0.1005389489
44,-10.1046942,0.1005389489
44,-9.78120483,0.1005389489
44,-9.457715461,0.1005389489
44,-9.134226092,0.1207554555
44,-8.810736723,0.1549530507
44,-8.487247354,0.12369805
44,-8.163757985,0.1202053923
44,-7.840268616,0.1040773416
44,-7.516779247,0.1040330225
44,-7.193289878,0.08540696662
44,-6.869800509,0.05107248091
44,-6.54631114,0.0640952663
44,-6.222821771,0.05800068863
44,-5.899332402,0.04967993082
44,-5.575843033,0.0786286256
44,-5.252353664,0.0566814007
44,-4.928864295,0.02610507564
44,-4.605374925,0.03093370833
44,-4.281885556,0.0408784098
44,-3.958396187,0.08068176607
44,-3.634906818,0.1399343129
44,-3.311417449,0.3723367493
44,-2.98792808,0.6396740153
44,-2.664438711,0.9939544093
44,-2.340949342,1.270918235
44,-2.017459973,1.607028968
44,-1.693970604,1.845863515
44,-1.370481235,2.125882247
44,-1.046991866,2.057078822
44,-0.7235024971,2.211162066
44,-0.4000131281,2.306520282
44,-0.07652375903,2.2146504
44,0.24696561,2.229655612
44,0.570454979,2.136169723
