session_id,measurement_id,n_rectangles,slot_1_sample_id,slot_2_sample_id,cag_data_name,cag_path,csv_path,csv_source_type,csv_export_tool,csv_export_timestamp,csv_sha256,csv_bytes,source_rule,evidence_grade,expected_width,expected_height,expected_dx_um,expected_dy_um,provenance_status
zro2_120_formal,17,1,17,,17,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/17_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:06+00:00,03409bf4105d66f72580af6832c4553186444246a76ba1c6fdc53d1fe9e8f770,28086593,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,18,1,18,,18,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/18_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:07+00:00,db73deb7e2e9b295d8fb8be2149b7b94c456db3da8d63d8b3e903b77840c620e,28299652,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,19,1,19,,19,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/19_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:08+00:00,28a9cc4c8c7ab85e74a1ba2875cc986d9bdb22c3f1c6720c989022cdec94fd7a,28302601,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,20,1,20,,20,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/20_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:09+00:00,5ede77430249f905f2f524a5085b54625bb96a52c26eaca9a65a4c5d1b9dd48f,28240914,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,21,1,21,,21,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/21_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:10+00:00,5d75147e7810180de576c0db36c97d3d3492330ffcb414fb48ae8a0670d52672,28082487,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,22,1,22,,22,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/22_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:11+00:00,1ab81d51486056bc0453cdc2dc68e6979bc58e03876a959fd6b49efc76884495,28090368,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,23,1,23,,23,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/23_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:12+00:00,3b6dba2878c4ec1ce13bf4834f428182d43ddb1bfc3f97b322179ced0af1e9a6,28231133,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,24,1,24,,24,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/fixture/120正式/24_高度.csv,keyence_official_export,KEYENCE VK-X3000 software,2026-08-31T01:25:13+00:00,d87a101d77d6f4b6f53d54d18454c7db768036b16757f34c907d69510dc5526c,28264643,user_provided_keyence_fixture,user_attested_independent,2048,1536,0.344174,0.344174,registered
zro2_120_formal,25,1,25,,25,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/25_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:14+00:00,3f829b8365e97ee625df8e6f1b961c0dfcb3be274289205dae53f627cf4682f9,28275349,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,26,1,26,,26,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/26_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:16+00:00,48cb590d2c98335f314a33d8c66c2c0557610a60d7aaa81f53ca04b2ff432bf4,28310036,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,27,1,27,,27,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/27_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:17+00:00,939d2fb258b23abef5b185eef7705c7de6ac8b1594e9a061447cf72bf993e897,28095221,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,28,1,28,,28,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/28_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:18+00:00,d62379861bb2d3640ce731641696ce153920f1090b9bb44e6ce9f84231f627eb,28281594,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,29,1,29,,29,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/29_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:19+00:00,5f2900d19192319dacfd87fc4ee04d31df2951f6cdf48ed193cf5b467a09d725,28094862,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,30,1,30,,30,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/30_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:20+00:00,be59498a64180b20c11206ba62d4e20f5cef1ece4ea48487a869bb623fdacd87,28265440,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,31,1,31,,31,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/31_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:21+00:00,dca152e93fdee5785c5c21296c3aa82119e0b2e90931967c8c3950281a023f84,28278773,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,32,1,32,,32,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/32_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:22+00:00,ca8c91f974a53add62a0071727f9b4d843212daaeb6cb9ea01bf1586406bfc00,28058025,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,33,1,33,,33,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/33_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:23+00:00,ed9dc2dbec1bfe3d6945c84baf9fff47bfb4b8c3ced6372fa001649b124e2c1e,28081781,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,34,1,34,,34,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/34_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:24+00:00,db710cb7a6db3e66116366e76addae795dee13acd6d4e46cb339bb58c20ab0d7,28074171,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,35,1,35,,35,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/35_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:25+00:00,4bcd4736b403dcc606bac74c554d86073f12afcf532ec2e3bc84c85af0cee8d2,28232593,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,36,1,36,,36,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/36_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:26+00:00,a35f0490cf3880da788d21e3b81f398b3c0b81da4ddfda5a4bd854b1a29570a7,28103313,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,37,1,37,,37,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/37_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:27+00:00,d0eae31536b64aab59f60624eaf3aba012420938ccd44a938b7c0258bcba4475,28185518,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,38,1,38,,38,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/fixture/120正式/38_高度.csv,keyence_official_export,KEYENCE VK-X3000 software,2026-08-31T01:25:36+00:00,380e7b872f72e41a94a6e3493602e94e4581e00003ee5a2d326f5d839b07ecdd,28105551,user_provided_keyence_fixture,user_attested_independent,2048,1536,0.344174,0.344174,registered
zro2_120_formal,39,1,39,,39,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/39_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:29+00:00,3520e22662f8e153ae69857811e324b18cd72652ba95c751c7a42c652a92d5ef,28297757,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,40,1,40,,40,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/40_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:30+00:00,17cad6fbbea9e723a421bccd0d49016282a61211b5392e17495a6188661cc85d,28123438,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,41,1,41,,41,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/41_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:31+00:00,48cea9b53afcdc84790db90ec4ecad7847a4a2a7012602c4f7d238e328cce3a1,28109556,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,42,1,42,,42,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/42_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:32+00:00,06c9f014f9c2389da331b1ecfaa2a05df8797d9dfb5e50f01703609db7b150cd,28093658,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,43,1,43,,43,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/43_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:33+00:00,c2207ee683cc0a5a3866ad877e39b290880d8210e1e2fc05242057107e737bd2,28071661,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,44,1,44,,44,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/44_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:35+00:00,67b1763ee3a45a55699ef09790251d2e324b3ee0beed842ccf32192872138b00,28160466,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,45,1,45,,45,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/45_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:36+00:00,e9cf156703151945d7654381acc0719d2b257ec66e0f10568873ad3476eaaf2d,28143487,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,46,1,46,,46,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/46_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:37+00:00,661292421d7b18cbf5e4bb24249f88b5163f7e77d4c08b59dbd907a86c567d06,28126624,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,47,1,47,,47,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/47_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:38+00:00,9b6d9c0d93c5c8797f6797cd697dc1b9f373a821bbf3ba7f5cfaa7e5f101eacb,28093221,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,48,1,48,,48,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/48_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:39+00:00,9ed6f1d1b81bc087597103e92d2bb8a3746a9d9e0c941394df6cc90753e9b8ce,28095989,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,49,1,49,,49,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/49_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:40+00:00,f20fcd2a1623a2efbd6b4366770527647142487deecadbccf0ecc5537f82b1d8,28288819,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,50,1,50,,50,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/50_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:41+00:00,cd02f6207727d08d47234bf7d8c12cfed4cf6a9309fe13141325b7e4572f1920,28289129,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,51,1,51,,51,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/51_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:42+00:00,e1bad4ecf42667b1acfac94d013c42ebebe632c7d55bba093d7e541af98d97a8,28303186,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
zro2_120_formal,52,1,52,,52,氧化锆/pass实验数据/120正式.cag,氧化锆/pass实验数据/csv文件/120正式/52_高度.csv,cag_decoder_derived,export_height_csv.py,2026-08-30T09:31:43+00:00,82753143bfcb7b75c495745456567662e9f1431ca2ae9c30addb0622e59d151a,28133006,decoder_batch_export,strong_circumstantial,2048,1536,0.344174,0.344174,registered
