dataset_index,band,orientation_bin,orientation_center_deg,power_fraction
0,64_inf,33,167.5,0.0
0,64_inf,34,172.5,0.0
0,64_inf,35,177.5,0.0
1,8_16,0,2.5,0.05972115798227005
1,8_16,1,7.499999999999999,0.02846804488960692
1,8_16,2,12.499999999999998,0.04445538408242733
1,8_16,3,17.5,0.03318976455774686
1,8_16,4,22.5,0.06485431087924502
1,8_16,5,27.5,0.06329762744023891
1,8_16,6,32.5,0.04388186730003693
1,8_16,7,37.49999999999999,0.03168454137274461
1,8_16,8,42.5,0.00045307253060170873
1,8_16,9,47.5,0.027098838431293747
1,8_16,10,52.5,0.02407413173657374
1,8_16,11,57.49999999999999,0.02511753114179729
1,8_16,12,62.50000000000001,0.03756725611016694
1,8_16,13,67.5,0.013204691367648598
1,8_16,14,72.5,0.008953739936053551
1,8_16,15,77.5,0.014688472939107383
1,8_16,16,82.49999999999999,0.03532428846721805
1,8_16,17,87.50000000000001,0.0
1,8_16,18,92.5,0.041539979655726846
1,8_16,19,97.5,0.024908909021789306
1,8_16,20,102.5,0.028320722045668666
1,8_16,21,107.5,0.018411508087468043
1,8_16,22,112.5,0.01951877050448779
1,8_16,23,117.5,0.02422204244306381
1,8_16,24,122.49999999999999,0.024006831557237207
1,8_16,25,127.5,0.03897654672509646
1,8_16,26,132.5,0.0062527067032266785
1,8_16,27,137.5,0.013697923906125039
1,8_16,28,142.5,0.00860019722881449
1,8_16,29,147.5,0.0017075300771935565
1,8_16,30,152.5,0.018693008324306298
1,8_16,31,157.5,0.04383580742332379
1,8_16,32,162.5,0.03191465393795713
1,8_16,33,167.5,0.04366296766088633
1,8_16,34,172.5,0.05569517353285092
1,8_16,35,177.5,0.0
1,16_32,0,2.5,0.20656224452455343
1,16_32,1,7.499999999999999,0.0
1,16_32,2,12.499999999999998,0.11457844982618522
1,16_32,3,17.5,0.16280322907813424
1,16_32,4,22.5,0.0
1,16_32,5,27.5,0.025989442823342333
1,16_32,6,32.5,0.09776604427368642
1,16_32,7,37.49999999999999,0.008821368226307878
1,16_32,8,42.5,0.0
1,16_32,9,47.5,0.06227293066032422
1,16_32,10,52.5,0.010840794836135025
1,16_32,11,57.49999999999999,0.02806826757172623
1,16_32,12,62.50000000000001,0.03726771179155069
1,16_32,13,67.5,0.0
1,16_32,14,72.5,0.024134848586900706
1,16_32,15,77.5,0.015401747678981451
1,16_32,16,82.49999999999999,0.0
1,16_32,17,87.50000000000001,0.0
1,16_32,18,92.5,0.017907336380364715
1,16_32,19,97.5,0.0
1,16_32,20,102.5,0.0016586183551988692
1,16_32,21,107.5,0.008842722316522821
1,16_32,22,112.5,0.0
1,16_32,23,117.5,0.013856429676525816
1,16_32,24,122.49999999999999,0.0147607551898211
1,16_32,25,127.5,0.0020892117118031183
1,16_32,26,132.5,0.0
1,16_32,27,137.5,0.04373030925714509
1,16_32,28,142.5,0.01184920506574393
1,16_32,29,147.5,0.028295668564072254
1,16_32,30,152.5,0.0036515555070611777
1,16_32,31,157.5,0.0
1,16_32,32,162.5,0.036907080021242836
1,16_32,33,167.5,0.02194402807667042
1,16_32,34,172.5,0.0
1,16_32,35,177.5,0.0
1,32_64,0,2.5,0.03882069037763187
1,32_64,1,7.499999999999999,0.0
1,32_64,2,12.499999999999998,0.0
1,32_64,3,17.5,0.0
1,32_64,4,22.5,0.0
1,32_64,5,27.5,0.18891069677327627
1,32_64,6,32.5,0.0
1,32_64,7,37.49999999999999,0.0
1,32_64,8,42.5,0.0
1,32_64,9,47.5,0.5892882738698099
1,32_64,10,52.5,0.0
1,32_64,11,57.49999999999999,0.0
1,32_64,12,62.50000000000001,0.04301991068107255
1,32_64,13,67.5,0.0
1,32_64,14,72.5,0.0
1,32_64,15,77.5,0.0
1,32_64,16,82.49999999999999,0.0
1,32_64,17,87.50000000000001,0.0
1,32_64,18,92.5,0.026563613779836723
1,32_64,19,97.5,0.0
1,32_64,20,102.5,0.0
1,32_64,21,107.5,0.0
1,32_64,22,112.5,0.0
1,32_64,23,117.5,0.04921587291703924
1,32_64,24,122.49999999999999,0.0
1,32_64,25,127.5,0.0
1,32_64,26,132.5,0.0
1,32_64,27,137.5,0.05271187660544268
1,32_64,28,142.5,0.0
1,32_64,29,147.5,0.0
1,32_64,30,152.5,0.011469064995890756
1,32_64,31,157.5,0.0
1,32_64,32,162.5,0.0
1,32_64,33,167.5,0.0
1,32_64,34,172.5,0.0
1,32_64,35,177.5,0.0
1,64_inf,0,2.5,0.19991599626651765
1,64_inf,1,7.499999999999999,0.0
1,64_inf,2,12.499999999999998,0.0
1,64_inf,3,17.5,0.0
1,64_inf,4,22.5,0.0
1,64_inf,5,27.5,0.0
1,64_inf,6,32.5,0.0
1,64_inf,7,37.49999999999999,0.0
1,64_inf,8,42.5,0.0
1,64_inf,9,47.5,0.0
1,64_inf,10,52.5,0.0
1,64_inf,11,57.49999999999999,0.0
1,64_inf,12,62.50000000000001,0.0
1,64_inf,13,67.5,0.0
1,64_inf,14,72.5,0.0
1,64_inf,15,77.5,0.0
1,64_inf,16,82.49999999999999,0.0
1,64_inf,17,87.50000000000001,0.0
1,64_inf,18,92.5,0.8000840037334823
1,64_inf,19,97.5,0.0
1,64_inf,20,102.5,0.0
1,64_inf,21,107.5,0.0
1,64_inf,22,112.5,0.0
1,64_inf,23,117.5,0.0
1,64_inf,24,122.49999999999999,0.0
1,64_inf,25,127.5,0.0
1,64_inf,26,132.5,0.0
1,64_inf,27,137.5,0.0
1,64_inf,28,142.5,0.0
1,64_inf,29,147.5,0.0
1,64_inf,30,152.5,0.0
1,64_inf,31,157.5,0.0
1,64_inf,32,162.5,0.0
1,64_inf,33,167.5,0.0
1,64_inf,34,172.5,0.0
1,64_inf,35,177.5,0.0
2,8_16,0,2.5,0.09616791560955029
2,8_16,1,7.499999999999999,0.05674076222372863
2,8_16,2,12.499999999999998,0.04180773271539855
2,8_16,3,17.5,0.05310998636032107
2,8_16,4,22.5,0.05936033329669516
2,8_16,5,27.5,0.045350826464393
2,8_16,6,32.5,0.051744072796001364
2,8_16,7,37.49999999999999,0.040929635083553705
2,8_16,8,42.5,0.010150331611345632
2,8_16,9,47.5,0.04757123864343126
2,8_16,10,52.5,0.014439111845719456
2,8_16,11,57.49999999999999,0.01870847836222671
2,8_16,12,62.50000000000001,0.025074226762549782
2,8_16,13,67.5,0.031019723983224026
2,8_16,14,72.5,0.036633389171233946
2,8_16,15,77.5,0.0037830355661594398
2,8_16,16,82.49999999999999,0.013547333911752748
2,8_16,17,87.50000000000001,0.0
2,8_16,18,92.5,0.03066466612401138
2,8_16,19,97.5,0.018229997426095348
2,8_16,20,102.5,0.03853026371984169
2,8_16,21,107.5,0.006004831267376381
2,8_16,22,112.5,0.02184602923292642
2,8_16,23,117.5,0.004172984051195065
2,8_16,24,122.49999999999999,0.00926757685212721
2,8_16,25,127.5,0.014062507624457649
2,8_16,26,132.5,0.00044820534287853597
2,8_16,27,137.5,0.026807445439154337
2,8_16,28,142.5,0.03065731275323889
2,8_16,29,147.5,0.027367615007663944
2,8_16,30,152.5,0.018203320751538802
2,8_16,31,157.5,0.02900122224794968
2,8_16,32,162.5,0.026007731831127034
2,8_16,33,167.5,0.009891621755083402
2,8_16,34,172.5,0.04269853416604946
2,8_16,35,177.5,0.0
2,16_32,0,2.5,0.1371354831621771
2,16_32,1,7.499999999999999,0.0
2,16_32,2,12.499999999999998,0.0028429606019431237
2,16_32,3,17.5,0.0026250110337315423
2,16_32,4,22.5,0.0
2,16_32,5,27.5,0.0141814225597448
2,16_32,6,32.5,0.0170718582114267
2,16_32,7,37.49999999999999,0.007707671039304414
2,16_32,8,42.5,0.0
2,16_32,9,47.5,0.051406150460231
2,16_32,10,52.5,0.004190649962045969
2,16_32,11,57.49999999999999,0.02158451717425793
2,16_32,12,62.50000000000001,0.0028850538028227573
2,16_32,13,67.5,0.0
2,16_32,14,72.5,0.024596863532201155
2,16_32,15,77.5,0.005009647768038474
2,16_32,16,82.49999999999999,0.0
2,16_32,17,87.50000000000001,0.0
2,16_32,18,92.5,0.07988036002681659
2,16_32,19,97.5,0.0
2,16_32,20,102.5,0.034730995812728455
2,16_32,21,107.5,0.1436010839422812
2,16_32,22,112.5,0.0
2,16_32,23,117.5,0.023543438017814153
2,16_32,24,122.49999999999999,0.08276159366333605
2,16_32,25,127.5,0.04711566799061307
2,16_32,26,132.5,0.0
2,16_32,27,137.5,0.12212369532770423
2,16_32,28,142.5,0.0582308112320299
2,16_32,29,147.5,0.0008966538211823157
2,16_32,30,152.5,0.027922257040203097
2,16_32,31,157.5,0.0
2,16_32,32,162.5,0.035429289943618755
2,16_32,33,167.5,0.05252686387374724
2,16_32,34,172.5,0.0
2,16_32,35,177.5,0.0
2,32_64,0,2.5,0.021768233316660248
2,32_64,1,7.499999999999999,0.0
2,32_64,2,12.499999999999998,0.0
2,32_64,3,17.5,0.0
2,32_64,4,22.5,0.0
2,32_64,5,27.5,0.04106455794606518
2,32_64,6,32.5,0.0
2,32_64,7,37.49999999999999,0.0
2,32_64,8,42.5,0.0
2,32_64,9,47.5,0.10587925439291285
2,32_64,10,52.5,0.0
2,32_64,11,57.49999999999999,0.0
2,32_64,12,62.50000000000001,0.054884220918609845
2,32_64,13,67.5,0.0
2,32_64,14,72.5,0.0
2,32_64,15,77.5,0.0
2,32_64,16,82.49999999999999,0.0
2,32_64,17,87.50000000000001,0.0
2,32_64,18,92.5,0.2776539283365222
2,32_64,19,97.5,0.0
2,32_64,20,102.5,0.0
2,32_64,21,107.5,0.0
2,32_64,22,112.5,0.0
2,32_64,23,117.5,0.27261809888384164
2,32_64,24,122.49999999999999,0.0
2,32_64,25,127.5,0.0
2,32_64,26,132.5,0.0
2,32_64,27,137.5,0.21356176576087016
2,32_64,28,142.5,0.0
2,32_64,29,147.5,0.0
2,32_64,30,152.5,0.012569940444517858
2,32_64,31,157.5,0.0
2,32_64,32,162.5,0.0
2,32_64,33,167.5,0.0
2,32_64,34,172.5,0.0
2,32_64,35,177.5,0.0
2,64_inf,0,2.5,0.16605187933554916
2,64_inf,1,7.499999999999999,0.0
2,64_inf,2,12.499999999999998,0.0
2,64_inf,3,17.5,0.0
2,64_inf,4,22.5,0.0
2,64_inf,5,27.5,0.0
2,64_inf,6,32.5,0.0
2,64_inf,7,37.49999999999999,0.0
2,64_inf,8,42.5,0.0
2,64_inf,9,47.5,0.0
2,64_inf,10,52.5,0.0
2,64_inf,11,57.49999999999999,0.0
2,64_inf,12,62.50000000000001,0.0
2,64_inf,13,67.5,0.0
2,64_inf,14,72.5,0.0
2,64_inf,15,77.5,0.0
2,64_inf,16,82.49999999999999,0.0
2,64_inf,17,87.50000000000001,0.0
2,64_inf,18,92.5,0.8339481206644508
2,64_inf,19,97.5,0.0
2,64_inf,20,102.5,0.0
2,64_inf,21,107.5,0.0
2,64_inf,22,112.5,0.0
2,64_inf,23,117.5,0.0
2,64_inf,24,122.49999999999999,0.0
2,64_inf,25,127.5,0.0
2,64_inf,26,132.5,0.0
2,64_inf,27,137.5,0.0
2,64_inf,28,142.5,0.0
2,64_inf,29,147.5,0.0
2,64_inf,30,152.5,0.0
2,64_inf,31,157.5,0.0
2,64_inf,32,162.5,0.0
2,64_inf,33,167.5,0.0
2,64_inf,34,172.5,0.0
2,64_inf,35,177.5,0.0
3,8_16,0,2.5,0.6638136084655555
3,8_16,1,7.499999999999999,0.04171484364191178
3,8_16,2,12.499999999999998,0.004800384706138108
3,8_16,3,17.5,0.0037223524013772695
3,8_16,4,22.5,0.008825603526017928
3,8_16,5,27.5,0.004413914050304565
3,8_16,6,32.5,0.005471566085089689
3,8_16,7,37.49999999999999,0.008942284099783657
3,8_16,8,42.5,0.0006047763750981024
3,8_16,9,47.5,0.010411946751564389
3,8_16,10,52.5,0.010590435575381276
3,8_16,11,57.49999999999999,0.008805803447042076
3,8_16,12,62.50000000000001,0.004982012698893521
3,8_16,13,67.5,0.010055471406957039
3,8_16,14,72.5,0.002686092847740396
3,8_16,15,77.5,0.00135593129374741
3,8_16,16,82.49999999999999,0.004869043130278775
3,8_16,17,87.50000000000001,0.0
3,8_16,18,92.5,0.01621261774453119
3,8_16,19,97.5,0.01970447034077078
3,8_16,20,102.5,0.019569764692213477
3,8_16,21,107.5,0.013011412493357147
3,8_16,22,112.5,0.015725963050765675
3,8_16,23,117.5,0.005124378629055053
3,8_16,24,122.49999999999999,0.01142215453802729
3,8_16,25,127.5,0.003330484132647636
3,8_16,26,132.5,0.0002646895702382312
3,8_16,27,137.5,0.009326581101265765
3,8_16,28,142.5,0.006154238329890835
3,8_16,29,147.5,0.008908967772048495
3,8_16,30,152.5,0.01426977463716308
3,8_16,31,157.5,0.017325516259265226
3,8_16,32,162.5,0.005457982524251914
3,8_16,33,167.5,0.006282241120518685
3,8_16,34,172.5,0.03184269256110789
3,8_16,35,177.5,0.0
3,16_32,0,2.5,0.18600540267733343
3,16_32,1,7.499999999999999,0.0
3,16_32,2,12.499999999999998,0.014048016053858902
3,16_32,3,17.5,0.006303884613491614
3,16_32,4,22.5,0.0
3,16_32,5,27.5,0.021954308825627683
3,16_32,6,32.5,0.001748571185003829
3,16_32,7,37.49999999999999,0.01915941646733751
3,16_32,8,42.5,0.0
3,16_32,9,47.5,0.028658337420615236
3,16_32,10,52.5,0.0016085409609308855
3,16_32,11,57.49999999999999,0.008849576617032147
3,16_32,12,62.50000000000001,0.057525100427690636
3,16_32,13,67.5,0.0
3,16_32,14,72.5,0.05350986899807978
3,16_32,15,77.5,0.024485850564007403
3,16_32,16,82.49999999999999,0.0
3,16_32,17,87.50000000000001,0.0
3,16_32,18,92.5,0.17990769189419442
3,16_32,19,97.5,0.0
3,16_32,20,102.5,0.01150921856484133
3,16_32,21,107.5,0.05506222789315077
3,16_32,22,112.5,0.0
3,16_32,23,117.5,0.07818755196769447
3,16_32,24,122.49999999999999,0.05098983322704097
3,16_32,25,127.5,0.06929064869067622
3,16_32,26,132.5,0.0
3,16_32,27,137.5,0.057188247168733324
3,16_32,28,142.5,0.0007991053546675769
3,16_32,29,147.5,0.005580546790639069
3,16_32,30,152.5,0.029418173270751503
3,16_32,31,157.5,0.0
3,16_32,32,162.5,0.01934996235780832
3,16_32,33,167.5,0.018859918008792963
3,16_32,34,172.5,0.0
3,16_32,35,177.5,0.0
3,32_64,0,2.5,0.04094917624681815
3,32_64,1,7.499999999999999,0.0
3,32_64,2,12.499999999999998,0.0
3,32_64,3,17.5,0.0
3,32_64,4,22.5,0.0
3,32_64,5,27.5,0.048525788328341
3,32_64,6,32.5,0.0
3,32_64,7,37.49999999999999,0.0
3,32_64,8,42.5,0.0
3,32_64,9,47.5,0.20222916987889414
3,32_64,10,52.5,0.0
3,32_64,11,57.49999999999999,0.0
3,32_64,12,62.50000000000001,0.16580951675248332
3,32_64,13,67.5,0.0
3,32_64,14,72.5,0.0
3,32_64,15,77.5,0.0
3,32_64,16,82.49999999999999,0.0
3,32_64,17,87.50000000000001,0.0
3,32_64,18,92.5,0.3010695717957923
3,32_64,19,97.5,0.0
3,32_64,20,102.5,0.0
3,32_64,21,107.5,0.0
3,32_64,22,112.5,0.0
3,32_64,23,117.5,0.1095071848390368
3,32_64,24,122.49999999999999,0.0
3,32_64,25,127.5,0.0
3,32_64,26,132.5,0.0
3,32_64,27,137.5,0.11936619828218753
3,32_64,28,142.5,0.0
3,32_64,29,147.5,0.0
3,32_64,30,152.5,0.012543393876446719
3,32_64,31,157.5,0.0
3,32_64,32,162.5,0.0
3,32_64,33,167.5,0.0
3,32_64,34,172.5,0.0
3,32_64,35,177.5,0.0
3,64_inf,0,2.5,0.045519552338950865
3,64_inf,1,7.499999999999999,0.0
3,64_inf,2,12.499999999999998,0.0
3,64_inf,3,17.5,0.0
3,64_inf,4,22.5,0.0
3,64_inf,5,27.5,0.0
3,64_inf,6,32.5,0.0
3,64_inf,7,37.49999999999999,0.0
3,64_inf,8,42.5,0.0
3,64_inf,9,47.5,0.0
3,64_inf,10,52.5,0.0
3,64_inf,11,57.49999999999999,0.0
3,64_inf,12,62.50000000000001,0.0
3,64_inf,13,67.5,0.0
3,64_inf,14,72.5,0.0
3,64_inf,15,77.5,0.0
3,64_inf,16,82.49999999999999,0.0
3,64_inf,17,87.50000000000001,0.0
3,64_inf,18,92.5,0.9544804476610492
3,64_inf,19,97.5,0.0
3,64_inf,20,102.5,0.0
3,64_inf,21,107.5,0.0
3,64_inf,22,112.5,0.0
3,64_inf,23,117.5,0.0
3,64_inf,24,122.49999999999999,0.0
3,64_inf,25,127.5,0.0
3,64_inf,26,132.5,0.0
3,64_inf,27,137.5,0.0
3,64_inf,28,142.5,0.0
3,64_inf,29,147.5,0.0
3,64_inf,30,152.5,0.0
3,64_inf,31,157.5,0.0
3,64_inf,32,162.5,0.0
3,64_inf,33,167.5,0.0
3,64_inf,34,172.5,0.0
3,64_inf,35,177.5,0.0
4,8_16,0,2.5,0.6552985147619783
4,8_16,1,7.499999999999999,0.047977119761703484
4,8_16,2,12.499999999999998,0.014959037417412282
4,8_16,3,17.5,0.017061888814719612
4,8_16,4,22.5,0.020457086278318017
4,8_16,5,27.5,0.007976637877881427
4,8_16,6,32.5,0.008119046688828525
4,8_16,7,37.49999999999999,0.009162364707030836
4,8_16,8,42.5,0.0001531049790423481
4,8_16,9,47.5,0.009331320810747367
4,8_16,10,52.5,0.006715747912022983
4,8_16,11,57.49999999999999,0.005115964274985833
4,8_16,12,62.50000000000001,0.004178240521266595
4,8_16,13,67.5,0.0076648873164778955
4,8_16,14,72.5,0.0025905511791650656
4,8_16,15,77.5,0.005533032789686686
4,8_16,16,82.49999999999999,0.003242866431158267
4,8_16,17,87.50000000000001,0.0
4,8_16,18,92.5,0.003144260041106401
4,8_16,19,97.5,0.002637887793064738
4,8_16,20,102.5,0.0036013815113501092
4,8_16,21,107.5,0.004555333290687705
4,8_16,22,112.5,0.012241705157755762
4,8_16,23,117.5,0.007814985842986701
4,8_16,24,122.49999999999999,0.02123118813546003
4,8_16,25,127.5,0.017224854577175996
4,8_16,26,132.5,0.0010623541068976187
4,8_16,27,137.5,0.009263043605690694
4,8_16,28,142.5,0.00797149585744653
4,8_16,29,147.5,0.0077169055890796345
4,8_16,30,152.5,0.004016051873093948
4,8_16,31,157.5,0.008237040383701847
4,8_16,32,162.5,0.002954684764466244
4,8_16,33,167.5,0.01868577315818489
4,8_16,34,172.5,0.04210364178942564
4,8_16,35,177.5,0.0
4,16_32,0,2.5,0.23197122302474296
4,16_32,1,7.499999999999999,0.0
4,16_32,2,12.499999999999998,0.037379473142877796
4,16_32,3,17.5,0.020757633339723802
4,16_32,4,22.5,0.0
4,16_32,5,27.5,0.01643722761612081
4,16_32,6,32.5,0.021129024789570496
4,16_32,7,37.49999999999999,0.003808446395163827
4,16_32,8,42.5,0.0
4,16_32,9,47.5,0.0928754790567517
4,16_32,10,52.5,0.015603827171692146
4,16_32,11,57.49999999999999,0.04130895103037945
4,16_32,12,62.50000000000001,0.03158928227438732
4,16_32,13,67.5,0.0
4,16_32,14,72.5,0.09674122614257445
4,16_32,15,77.5,0.0301920853837406
4,16_32,16,82.49999999999999,0.0
4,16_32,17,87.50000000000001,0.0
4,16_32,18,92.5,0.08192085198487038
4,16_32,19,97.5,0.0
4,16_32,20,102.5,0.016837380247300214
4,16_32,21,107.5,0.015154427015110572
4,16_32,22,112.5,0.0
4,16_32,23,117.5,0.0429638469612662
4,16_32,24,122.49999999999999,0.021812796686456835
4,16_32,25,127.5,0.05328992535082987
4,16_32,26,132.5,0.0
4,16_32,27,137.5,0.006508256879694512
4,16_32,28,142.5,0.00024931964430541654
4,16_32,29,147.5,0.0068769945076628675
4,16_32,30,152.5,0.011188369852615806
4,16_32,31,157.5,0.0
4,16_32,32,162.5,0.041694641508363425
4,16_32,33,167.5,0.06170930999379853
4,16_32,34,172.5,0.0
4,16_32,35,177.5,0.0
4,32_64,0,2.5,0.02046699199337066
4,32_64,1,7.499999999999999,0.0
4,32_64,2,12.499999999999998,0.0
4,32_64,3,17.5,0.0
4,32_64,4,22.5,0.0
4,32_64,5,27.5,0.11568379694773305
4,32_64,6,32.5,0.0
4,32_64,7,37.49999999999999,0.0
4,32_64,8,42.5,0.0
4,32_64,9,47.5,0.4324737675904187
4,32_64,10,52.5,0.0
4,32_64,11,57.49999999999999,0.0
4,32_64,12,62.50000000000001,0.2046299573162191
4,32_64,13,67.5,0.0
4,32_64,14,72.5,0.0
4,32_64,15,77.5,0.0
4,32_64,16,82.49999999999999,0.0
4,32_64,17,87.50000000000001,0.0
4,32_64,18,92.5,0.16681256270826583
4,32_64,19,97.5,0.0
4,32_64,20,102.5,0.0
4,32_64,21,107.5,0.0
4,32_64,22,112.5,0.0
4,32_64,23,117.5,0.008406785131165986
4,32_64,24,122.49999999999999,0.0
4,32_64,25,127.5,0.0
4,32_64,26,132.5,0.0
4,32_64,27,137.5,0.0429037341239334
4,32_64,28,142.5,0.0
4,32_64,29,147.5,0.0
4,32_64,30,152.5,0.00862240418889324
4,32_64,31,157.5,0.0
4,32_64,32,162.5,0.0
4,32_64,33,167.5,0.0
4,32_64,34,172.5,0.0
4,32_64,35,177.5,0.0
4,64_inf,0,2.5,0.7806574780620394
4,64_inf,1,7.499999999999999,0.0
4,64_inf,2,12.499999999999998,0.0
4,64_inf,3,17.5,0.0
4,64_inf,4,22.5,0.0
4,64_inf,5,27.5,0.0
4,64_inf,6,32.5,0.0
4,64_inf,7,37.49999999999999,0.0
4,64_inf,8,42.5,0.0
4,64_inf,9,47.5,0.0
4,64_inf,10,52.5,0.0
4,64_inf,11,57.49999999999999,0.0
4,64_inf,12,62.50000000000001,0.0
