dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
0,8_16,0.03672077064640309,37.82007400134446,127.82007400134447,0.9336741740150308
0,16_32,0.14864368425916435,-64.84371302603778,25.156286973962224,0.7615871772849784
0,32_64,0.27684386759673696,70.82869403566906,160.82869403566906,0.42607145563332993
0,64_inf,0.47983494367608326,-90.0,0.0,0.15993866117031058
1,8_16,0.19612325721373297,15.159794072454474,105.15979407245447,0.9344989266450389
1,16_32,0.5246453649519288,15.602530040190064,105.60253004019006,0.727685109468313
1,32_64,0.6779761130696161,41.733226724739446,131.73322672473944,0.373623239882015
1,64_inf,0.6001680074669649,-90.0,0.0,0.1396074518298515
2,8_16,0.2995539380411224,17.885048766277187,107.88504876627718,0.9205390814978175
2,16_32,0.36181139875813806,-49.1947872268488,40.8052127731512,0.754089683483039
2,32_64,0.4936524124250765,-74.17225984336929,15.82774015663071,0.47614620000783986
2,64_inf,0.6678962413289016,-90.0,0.0,0.12545500457483597
3,8_16,0.6848565322463434,-1.2666439999038597,88.73335600009614,0.47797720553050593
3,16_32,0.20772404254520455,-67.72351247324468,22.276487526755318,0.7395107891662104
3,32_64,0.41906504433980446,79.02165685369906,169.02165685369906,0.5053987987975265
3,64_inf,0.9089608953220981,-90.0,0.0,0.05165460782785431
4,8_16,0.7663973995223651,-0.4119837476051117,89.5880162523949,0.4797589507759083
4,16_32,0.14721898630050503,24.492426278752546,114.49242627875255,0.7552230570593308
4,32_64,0.6629537274922902,53.76041567381987,143.76041567381986,0.4273116197127469
4,64_inf,0.5613149561240789,-4.879298623282953e-15,90.0,0.14680389922309967
5,8_16,0.9554864475023206,-0.07378511224446381,89.92621488775553,0.29775256631110847
5,16_32,0.4481311003001749,-5.3269561392258264,84.67304386077417,0.7113792641333744
5,32_64,0.5659183340593076,23.457000244006622,113.45700024400662,0.4407086180818535
5,64_inf,0.3992277158026517,-6.1481040366279674e-15,90.0,0.1705561307192561
6,8_16,0.9570384606388985,0.19237082094594413,90.19237082094594,0.30593128300973166
6,16_32,0.32934981995209484,-9.146251883525391,80.8537481164746,0.745539132652249
6,32_64,0.20282397271346045,-13.866552106035838,76.13344789396416,0.5359732013674056
6,64_inf,0.9186989623582716,-90.0,0.0,0.04744109150562186
7,8_16,0.9327131526105767,-0.29839533124746365,89.70160466875254,0.3347323640142271
7,16_32,0.07831705982491977,-54.35299051720272,35.64700948279728,0.8154817845247797
7,32_64,0.2912014617698517,62.92709309148464,152.92709309148464,0.5498186005582829
7,64_inf,0.3711072109866784,-90.0,0.0,0.17374324721168954
8,8_16,0.2122197834193548,75.78681795090614,165.78681795090614,0.9505772661012043
8,16_32,0.1574855126624743,58.65395107238373,148.65395107238373,0.8371790564841007
8,32_64,0.3819855491927085,69.44249197829271,159.4424919782927,0.5208086358467924
8,64_inf,0.32986534941487394,-90.0,0.0,0.17795617424906834
9,8_16,0.4145163931252033,-73.8855717175675,16.1144282824325,0.866742743252832
9,16_32,0.41750478219271714,-63.19091936906987,26.809080630930133,0.7623947258572057
9,32_64,0.2884446316460447,69.76661391178247,159.76661391178249,0.5051878055130268
9,64_inf,0.23272285340798773,-90.0,0.0,0.18579986116412897
10,8_16,0.48339627495840126,79.4690494179911,169.4690494179911,0.8710710101023688
10,16_32,0.5169843612886968,-85.2049315725839,4.795068427416098,0.6522315112686391
10,32_64,0.2037994399014085,-78.07724185970376,11.922758140296239,0.5500052665563285
10,64_inf,0.17457525646227331,-90.0,0.0,0.1891522191783579
