加工顺序,中心X,中心Y,脉宽,频率,线间距,次数,速度
1,-1.1,-17.6,29400,40,0.004,1,20
2,-1.1,-18,29400,40,0.004,2,20
3,-1.1,-18.4,29400,40,0.004,3,20
4,-1.1,-18.8,29400,40,0.004,4,20
5,-1.1,-19.2,87300,20,0.002,4,15
6,-1.1,-19.6,87300,20,0.002,2,15
7,-1.1,-20,87300,20,0.002,3,15
8,-1.1,-20.4,87300,20,0.002,1,15
9,-1.1,-20.8,43800,40,0.006,2,25
10,-1.1,-21.2,43800,40,0.006,1,25
11,-1.1,-21.6,43800,40,0.006,3,25
12,-1.1,-22,43800,40,0.006,4,25
13,-1.5,-22,29400,20,0.004,4,25
14,-1.5,-21.6,29400,20,0.004,1,25
15,-1.5,-21.2,29400,20,0.004,2,25
16,-1.5,-20.8,29400,20,0.004,3,25
17,-1.5,-20.4,58400,10,0.008,4,5
18,-1.5,-20,58400,10,0.008,2,5
19,-1.5,-19.6,58400,10,0.008,3,5
20,-1.5,-19.2,58400,10,0.008,1,5
21,-1.5,-18.8,36140,10,0.008,1,5
22,-1.5,-18.4,36140,10,0.008,2,5
23,-1.5,-18,36140,10,0.008,4,5
24,-1.5,-17.6,36140,10,0.008,3,5
25,-1.9,-17.6,87300,10,0.01,3,20
26,-1.9,-18,87300,10,0.01,2,20
27,-1.9,-18.4,87300,10,0.01,1,20
28,-1.9,-18.8,87300,10,0.01,4,20
29,-1.9,-19.2,58400,2,0.002,2,5
30,-1.9,-19.6,58400,2,0.002,3,5
31,-1.9,-20,58400,2,0.002,1,5
32,-1.9,-20.4,58400,2,0.002,4,5
33,-1.9,-20.8,29400,5,0.01,2,20
34,-1.9,-21.2,29400,5,0.01,3,20
35,-1.9,-21.6,29400,5,0.01,1,20
36,-1.9,-22,29400,5,0.01,4,20
37,-2.3,-22,36140,20,0.006,1,15
38,-2.3,-21.6,36140,20,0.006,2,15
39,-2.3,-21.2,36140,20,0.006,3,15
40,-2.3,-20.8,36140,20,0.006,4,15
41,-2.3,-20.4,43800,40,0.01,3,15
42,-2.3,-20,43800,40,0.01,4,15
43,-2.3,-19.6,43800,40,0.01,1,15
44,-2.3,-19.2,43800,40,0.01,2,15
45,-2.3,-18.8,58400,2,0.004,3,10
46,-2.3,-18.4,58400,2,0.004,4,10
47,-2.3,-18,58400,2,0.004,1,10
48,-2.3,-17.6,58400,2,0.004,2,10
49,-2.7,-17.6,43800,2,0.002,4,10
50,-2.7,-18,43800,2,0.002,1,10
51,-2.7,-18.4,43800,2,0.002,2,10
52,-2.7,-18.8,43800,2,0.002,3,10
53,-2.7,-19.2,87300,5,0.008,4,10
54,-2.7,-19.6,87300,5,0.008,1,10
55,-2.7,-20,87300,5,0.008,2,10
56,-2.7,-20.4,87300,5,0.008,3,10
57,-2.7,-20.8,36140,5,0.006,4,25
58,-2.7,-21.2,36140,5,0.006,1,25
59,-2.7,-21.6,36140,5,0.006,3,25
60,-2.7,-22,36140,5,0.006,2,25
