session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,region_score,edge_score,objective_score,center_search_boundary_hit,registration_unstable,sensitivity_span_um,sensitivity_centers,initialization,status,warning,paired_center_separation_um,slot_assignment_conflict,coarse_plane_rmse_um,final_plane_a,final_plane_b,final_plane_c,final_plane_rmse_um,final_reference_fraction,final_reference_retained_fraction,final_reference_quadrants,registered_fov_um,registered_pixel_um,registered_valid_fraction,h200_pixel_um,h200_valid_fraction,h_reg_path,h_200_path,final_leveling_failed
zro2_120_formal,11,11,single,-0.7000000000025182,identity,7.176490480228607,3.3707891638161325,228.68451048992904,15.751017057170499,0.7707198946385486,False,False,2.1213203435596424,"0.25/0.75:5.676,1.871;0.50/0.50:7.176,3.371;0.75/0.25:7.176,3.371",fixed-domain_component,PASS,,,,0.2143737188396115,-0.0004968803271742609,-0.0003290309793872754,0.1571132911749676,0.18422591554529671,1.0,0.9417810227539292,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_011.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_011.npz,False
zro2_120_formal,12,12,single,-0.7000000000025182,identity,-3.7409026483059673,-0.8558178413699089,71.37218143318687,9.760404682757377,0.8044894092878033,False,False,2.5,"0.25/0.75:-3.741,1.144;0.50/0.50:-3.741,-0.856;0.75/0.25:-3.741,-1.356",fixed-domain_component,PASS,,,,0.2242805796720924,-0.0011171811704334907,-0.0008528583512096921,0.18402981897015003,0.186708466621044,1.0,0.9099079286887168,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_012.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_012.npz,False
zro2_120_formal,13,13,single,-0.7000000000025182,identity,14.616070824760564,11.789306847064525,140.12567005978514,13.626734392458483,0.5572085530285377,False,False,2.6925824035672505,"0.25/0.75:13.616,10.789;0.50/0.50:14.616,11.789;0.75/0.25:16.116,11.789",fixed-domain_component,PASS,,,,0.23451135777838517,-5.9509454434732394e-05,-0.0006673401481632089,0.2875761296227241,0.1872052489871683,1.0,0.8862596762843068,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_013.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_013.npz,False
zro2_120_formal,14,14,single,-0.7000000000025182,identity,-9.939975171697817,2.324810004111299,30.3878222669547,6.493006226538168,0.5194838816651304,False,False,2.692582403567252,"0.25/0.75:-8.940,4.825;0.50/0.50:-9.940,2.325;0.75/0.25:-9.940,2.325",fixed-domain_component,PASS,,,,0.31664536399619553,-0.001114456846707749,-0.0003573930541558648,0.5026357784958564,0.18923378039644573,1.0,0.8958919774806474,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_014.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_014.npz,False
zro2_120_formal,15,15,single,-0.7000000000025182,identity,12.713458423831236,31.39671287115663,32.96280975180173,3.408318698561169,0.3253759720131696,False,True,3.640054944640259,"0.25/0.75:10.213,31.397;0.50/0.50:12.713,31.397;0.75/0.25:13.713,32.397",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.24217300497556526,0.0004012595645101208,-0.0005603256034316939,0.17339139438252776,0.18040070640650316,1.0,0.9295243959652827,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_015.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_015.npz,False
zro2_120_formal,16,16,single,-0.7000000000025182,identity,-19.908949662721017,39.502446432405954,196.19842843242736,16.681300017929996,0.8962341848417952,False,False,2.0,"0.25/0.75:-19.909,39.502;0.50/0.50:-19.909,39.502;0.75/0.25:-19.909,37.502",fixed-domain_component,PASS,,,,0.2159776237265324,-0.0007566660379017163,-0.0009367491397686573,0.29719109536544325,0.17382450151397594,1.0,0.8956940534834623,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_016.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_016.npz,False
zro2_120_formal,17,17,single,-0.7000000000025182,identity,-3.4512866792824006,12.317408870718412,223.04739131426453,15.824949527582476,0.20674488167730026,False,True,3.640054944640259,"0.25/0.75:-2.451,10.817;0.50/0.50:-3.451,12.317;0.75/0.25:-3.451,14.317",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.22871324418256442,-0.00027843988865888634,-0.0004728764734487073,0.04143029486130685,0.19830088351339673,1.0,0.9124149659863946,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_017.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_017.npz,False
zro2_120_formal,18,18,single,-0.7000000000025182,identity,-10.17441555923076,1.7931822840060274,28.688194104817576,3.9984523150555975,0.7091356489735718,False,True,3.8078865529319543,"0.25/0.75:-11.674,-0.207;0.50/0.50:-10.174,1.793;0.75/0.25:-10.174,3.293",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.19265280120954986,0.0003476347038719366,4.1969693488219315e-05,0.04960203356881166,0.15948219832078978,1.0,0.9158309875674407,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_018.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_018.npz,False
zro2_120_formal,19,19,single,-0.7000000000025182,identity,11.937090978641699,-7.414021471477195,27.893622923143916,4.538688060624383,0.2459204472674361,False,True,3.605551275463989,"0.25/0.75:13.937,-4.414;0.50/0.50:11.937,-7.414;0.75/0.25:11.937,-7.414",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.21539769201656378,-0.0007158240760527217,-8.406397617083327e-05,-0.03340499672336097,0.15697607308552528,1.0,0.8961851982172179,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_019.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_019.npz,False
zro2_120_formal,20,20,single,-0.7000000000025182,identity,20.597424505041225,-7.626998168965127,222.40446079326443,15.661377558103748,0.28277312687761125,False,True,4.6097722286464435,"0.25/0.75:21.097,-7.627;0.50/0.50:20.597,-7.627;0.75/0.25:17.597,-4.627",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.3106539926611552,-0.0015828242711784955,-0.00028293363418327444,0.44150975527236114,0.16775121233974047,1.0,0.907562162796153,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_020.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_020.npz,False
