registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v4_vs_v2_center_shift_um,qa_v3_status,qa_v4_vs_v3_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,1,1,single,-0.7000000000025182,identity,10.352037020475972,1.1676403935660393,-1.75,-1.5,72.7827193280163,148.71228765278136,82.99197873303899,16.649040848135925,321.1360265619726,221.49500698079765,99.64101958117492,0.0,0.25,0.75,1.0,-2.0,-1.25,-2.0,-1.0,192,False,False,False,fixed-domain_component,PASS,,REVIEW,84.98598622985628,11.536901161262923,4.031128874149275,5.289881632045586,PASS,1.474971825749024,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,2,2,single,-0.7000000000025182,identity,0.5871840500631481,1.1335241961698426,-1.75,-2.5,58.2420526788949,74.98687688875592,146.47687318466302,33.03811466834768,312.74391742066155,133.22892956765082,179.5149878530107,0.0,0.25,0.75,0.75,-2.0,-1.25,-3.0,-2.25,192,False,False,False,fixed-domain_component,PASS,,PASS,44.32061438938943,10.024543858583003,1.5,1.8552352853112142,PASS,1.945700399417272,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,3,3,single,-0.7000000000025182,identity,-0.27273530928833484,21.99524426863123,-1.5,-2.25,10.65213431407763,4.883028645651432,183.82902109521115,54.45108940622075,253.81527346116096,15.535162959729062,238.2801105014319,0.25,0.25,1.1124999999999985,1.0,-1.80625,-0.6937500000000014,-2.75,-1.75,192,False,False,False,fixed-domain_component,PASS,,REVIEW,17.471984132379472,7.3745125684606405,3.905124837953327,3.039973175074856,PASS,2.062050684519441,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,4,4,single,-0.7000000000025182,identity,1.929742385178369,1.036166733634427,-3.0,-1.25,4.024517111085896,0.0,124.34371978291328,55.91815126176165,184.28638815576082,4.024517111085896,180.26187104467493,0.25,0.5,0.75,2.5,-3.5,-2.75,-2.5,0.0,192,False,False,False,fixed-domain_component,PASS,,PASS,10.155611686369788,6.264425296518374,2.23606797749979,14.624604439887175,REVIEW,2.6409928975813477,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,5,5,single,-0.7000000000025182,identity,-14.088259617814275,10.319800866035402,-1.25,-0.25,2.512680448999321,7.670147658421647,123.86881855077631,89.61227442682751,223.66392108502478,10.182828107420967,213.48109297760382,0.75,0.5,2.8062499999999986,1.75,-2.25,0.5562499999999986,-1.0,0.75,192,False,False,False,fixed-domain_component,PASS,,REVIEW,20.766748843947354,6.72309721305988,3.605551275463989,3.541207797801325,PASS,0.8684349733722141,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,6,6,single,-0.7000000000025182,identity,-2.066664754847873,2.1777227022900547,6.25,-0.25,1.325795521868321,0.006287673088701115,49.00491340971897,82.33719676566695,132.67419337034295,1.3320831949570222,131.34211017538593,10.0,0.25,35.5,1.25,-19.0,16.5,-0.75,0.5,192,True,False,False,fixed-domain_component,STOP,axis-pair evidence below hard minimum; bootstrap CI span above hard maximum; bootstrap MAD above hard maximum; bootstrap centre distribution is multimodal; bootstrap CI span above review threshold; bootstrap MAD above review threshold,REVIEW,5.3262871792857664,2.7374647017275584,4.6097722286464435,19.169692457199098,STOP,12.384537179439407,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,7,7,single,-0.7000000000025182,identity,-19.26602417635219,6.820220427682764,-3.5,-0.5,0.0,5.208191958257138,178.58104605990656,116.48844818591853,300.2776862040822,5.208191958257138,295.06949424582507,0.0,0.25,4.75,1.75,-3.75,1.0,-0.75,1.0,192,False,False,False,fixed-domain_component,PASS,,PASS,32.94362423958741,6.540467153920149,2.0,4.268906522948601,REVIEW,2.232828381511759,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,8,8,single,-0.7000000000025182,identity,4.680063722991219,-5.108393170254275,-3.75,-0.75,2.061432013593731,0.0,69.60756426440653,59.63713049935037,131.30612677735064,2.061432013593731,129.2446947637569,0.25,0.25,5.75,1.25,-4.0,1.75,-1.0,0.25,192,True,False,False,fixed-domain_component,STOP,axis-pair evidence below hard minimum; bootstrap centre distribution is multimodal,REVIEW,13.31356336767402,6.557227186407554,3.0413812651491097,15.239201128791251,STOP,2.654694079854168,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,9,9,single,-0.7000000000025182,identity,16.107983672113097,4.9438117839719204,-1.0,2.0,145.23491398602152,300.90358964581316,258.28469811870707,65.60993855533441,770.0331403058761,446.1385036318347,323.89463667404146,0.25,0.5,0.75,2.25,-1.5,-0.75,1.0,3.25,192,False,False,False,fixed-domain_component,PASS,,REVIEW,242.10025850571768,18.423793438149712,4.031128874149275,2.712950841463353,PASS,1.9035619534456452,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,10,10,single,-0.7000000000025182,identity,5.807821777681847,4.49778259227002,-11.0,1.25,0.0,22.38970764645966,28.69011536376293,11.502522460562787,62.58234547078537,22.38970764645966,40.192637824325715,0.25,0.5,2.0,2.168749999999997,-12.75,-10.75,0.1937500000000001,2.362499999999997,192,False,False,False,fixed-domain_component,PASS,,PASS,19.56148692975407,2.5819889183754623,2.0,13.512873319721475,REVIEW,2.172426418077194,,
