target_id,family,cv_variant,model,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_32_64_PC2,D,proc_gkf,ridge,-0.0411160570498994,-0.2145337148031341,0.008548559719711,5,2,R-A
DCT_32_64_PC2,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC2,D,proc_gss,extratrees,0.3478535140914616,0.14112027179073922,2.6905316530125347,5,4,R-A
DCT_32_64_PC2,D,proc_gss,ridge,-0.037209982241432904,-0.059815468521055015,-0.0012532180825425843,5,1,R-A
DCT_32_64_PC2,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC2,D,src_gkf,extratrees,-0.14860949796178113,-0.43404618874571854,0.1937854657413296,5,2,R-A
DCT_32_64_PC2,D,src_gkf,ridge,-0.033046983739875295,-0.6899634058603861,0.051674189717577194,5,2,R-A
DCT_32_64_PC2,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC2,D,src_gss,extratrees,-0.013837041614927603,-0.05605768358478501,0.025996919415935515,5,2,R-A
DCT_32_64_PC2,D,src_gss,ridge,0.0102687370329688,-0.0368092698601651,0.034909089053654196,5,3,R-A
DCT_32_64_PC3,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC3,D,proc_gkf,extratrees,-0.2025050447452385,-0.5365867179392796,-0.1371920711495893,5,1,R-A
DCT_32_64_PC3,D,proc_gkf,ridge,0.005584615717965702,-0.0065222385760033,0.023267289478976702,5,3,R-A
DCT_32_64_PC3,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC3,D,proc_gss,extratrees,0.16236213749419004,0.08927339924669941,0.4065465848777512,5,4,R-A
DCT_32_64_PC3,D,proc_gss,ridge,-0.040135162160990404,-0.046785146542116504,0.1597228050898066,5,2,R-A
DCT_32_64_PC3,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC3,D,src_gkf,extratrees,-0.2257961461370368,-0.50405456726263,-0.1080749588647545,5,0,R-A
DCT_32_64_PC3,D,src_gkf,ridge,-0.005242806261810007,-0.0207198378656592,0.0345733009198397,5,2,R-A
DCT_32_64_PC3,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_32_64_PC3,D,src_gss,extratrees,0.37555829979692334,-0.0063999451608456985,0.7133762590047579,5,3,R-A
DCT_32_64_PC3,D,src_gss,ridge,-0.003087043489514496,-0.005285617987632199,-0.003063393174169902,5,1,R-A
DCT_64_inf_PC1,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC1,D,proc_gkf,extratrees,-0.3179367238768678,-0.34555363432785513,-0.20001829038775748,5,1,R-A
DCT_64_inf_PC1,D,proc_gkf,ridge,-0.0323783590834254,-0.0925754295833581,0.020031985783052708,5,2,R-A
DCT_64_inf_PC1,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC1,D,proc_gss,extratrees,0.5336150599105887,-0.10787271708651722,1.2547576774197424,5,3,R-A
DCT_64_inf_PC1,D,proc_gss,ridge,0.10403763025623249,-0.123319002254434,0.16298072072591926,5,3,R-A
DCT_64_inf_PC1,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC1,D,src_gkf,extratrees,-0.34496318084425687,-0.3665149552431277,-0.22817022143758187,5,1,R-A
DCT_64_inf_PC1,D,src_gkf,ridge,-0.033882490394568,-0.093584297490351,-0.006114979358995,5,1,R-A
DCT_64_inf_PC1,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC1,D,src_gss,extratrees,-0.32528031200386653,-0.47305658949773044,-0.1404634518049745,5,1,R-A
DCT_64_inf_PC1,D,src_gss,ridge,-0.007640697412628197,-0.031208660020469098,-0.0072145901055330995,5,1,R-A
DCT_64_inf_PC2,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC2,D,proc_gkf,extratrees,0.005300321824430992,-0.0017743278688601002,0.0893167506802935,5,3,R-A
DCT_64_inf_PC2,D,proc_gkf,ridge,0.0292601141148517,-0.0905378767857791,0.0363164208958428,5,3,R-A
DCT_64_inf_PC2,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC2,D,proc_gss,extratrees,-0.0705644011754052,-0.08092159978158661,1.2424915682869881,5,2,R-A
DCT_64_inf_PC2,D,proc_gss,ridge,-0.005429217512630001,-0.0493970571911959,0.39933889964761216,5,2,R-A
DCT_64_inf_PC2,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
