target_id,family,cv_variant,input_set,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_32_64_PC1,D,src_gkf,A,-0.0130528573660457,-0.577540694979197,0.0634980170887775,5,2,extratrees-ridge
DCT_32_64_PC1,D,src_gkf,C,-0.0345865436664876,-0.42587239309851,0.1089159165390925,5,2,extratrees-ridge
DCT_32_64_PC1,D,src_gkf,R,-0.0953398230922432,-0.5825702418756751,-0.0832350674044495,5,1,extratrees-ridge
DCT_32_64_PC1,D,src_gss,A,-0.3130679601519503,-0.5218167646048345,0.033650756917319294,5,2,extratrees-ridge
DCT_32_64_PC1,D,src_gss,C,0.028940759313018594,-0.003440199523498222,0.0686739806688123,5,3,extratrees-ridge
DCT_32_64_PC1,D,src_gss,R,-0.2131487469950153,-0.352212486180152,-0.11075885920486567,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gkf,A,-0.4748082574685424,-1.3586434850234301,-0.2405796387185056,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gkf,C,-0.3413335814585239,-0.5444319754439186,-0.22834635138052461,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gkf,R,-0.245166252368692,-0.33843936166017774,-0.1245602941187349,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gss,A,-0.9135297851933799,-4.048437889190523,-0.5765988458367937,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gss,C,-0.8594056998537742,-3.30280154426092,-0.3251527306173296,5,0,extratrees-ridge
DCT_32_64_PC2,D,proc_gss,R,-0.4536274362139674,-0.9457123930520113,-0.135182428616073,5,1,extratrees-ridge
DCT_32_64_PC2,D,src_gkf,A,-0.8318774393199346,-1.0053352183684343,-0.8012203255024247,5,0,extratrees-ridge
DCT_32_64_PC2,D,src_gkf,C,-0.8474064802987937,-0.8975880537344769,-0.5159219995891051,5,0,extratrees-ridge
DCT_32_64_PC2,D,src_gkf,R,-0.5759602222052671,-1.2358144491593657,-0.5267524376051088,5,0,extratrees-ridge
DCT_32_64_PC2,D,src_gss,A,-0.36558943771212987,-0.3948668657811245,-0.292106243646973,5,0,extratrees-ridge
