target_id,family,input_set,model,cv_variant,fold,n_train,n_test,R2,MAE,RMSE,spearman_rho,band,pc_index,theta_boot_q50_deg,target_flag
median_depth_um,A,A,dummy,src_gkf,0,160,40,-0.003650205515641325,16.647868875,18.84388492096856,,,,,
median_depth_um,A,A,ridge,src_gkf,0,160,40,0.7371758155982598,8.199294490190574,9.64299445677261,0.8742964352720451,,,,
median_depth_um,A,A,extratrees,src_gkf,0,160,40,0.9629109532172515,2.8788087417341166,3.622447419322909,0.9755617065941227,,,,
Sq_um,B,A,dummy,src_gkf,0,160,40,-0.0057710792569347635,1.1375791444440917,1.7072199579940204,,,,,
Sq_um,B,A,ridge,src_gkf,0,160,40,0.22906925950251622,0.9449162700750872,1.4946778171528483,0.5699812382739212,,,,
Sq_um,B,A,extratrees,src_gkf,0,160,40,0.21241901379512218,0.7743157320911775,1.5107323146035485,0.7148217636022515,,,,
Sa_um,B,A,dummy,src_gkf,0,160,40,-0.00026536942352950454,0.6620150303566572,1.0933712408898693,,,,,
Sa_um,B,A,ridge,src_gkf,0,160,40,0.1799717685061023,0.563471213527106,0.9899754662068299,0.6485928705440901,,,,
Sa_um,B,A,extratrees,src_gkf,0,160,40,0.2276286455377894,0.454069785752839,0.9607781305384242,0.7163227016885554,,,,
Ssk_skewness,B,A,dummy,src_gkf,0,160,40,-0.10910586317775284,1.4125004922718607,1.6650471801942217,,,,,
Ssk_skewness,B,A,ridge,src_gkf,0,160,40,0.17404780803070707,1.1531940757757186,1.4368700699080068,0.5380863039399626,,,,
Ssk_skewness,B,A,extratrees,src_gkf,0,160,40,0.05634113121940343,1.1918650984221872,1.5358455948416967,0.5330206378986867,,,,
kurtosis_excess_fisher,B,A,dummy,src_gkf,0,160,40,-0.23124067509268809,8.31684672775951,9.19849581911181,,,,,
kurtosis_excess_fisher,B,A,ridge,src_gkf,0,160,40,-0.22228422867848807,7.9117904179015515,9.164978323566261,0.5181988742964354,,,,
kurtosis_excess_fisher,B,A,extratrees,src_gkf,0,160,40,-1.6322584175420296,9.049519048757357,13.449607165453587,0.6393996247654786,,,,
grad_rms_um_per_um,B,A,dummy,src_gkf,0,160,40,-0.01219948478189048,0.33406635710466415,0.4089089401205293,,,,,
grad_rms_um_per_um,B,A,ridge,src_gkf,0,160,40,0.23677444848314155,0.28327014487754754,0.3550749221753406,0.5114446529080676,,,,
grad_rms_um_per_um,B,A,extratrees,src_gkf,0,160,40,0.3418721076681297,0.2281137496188328,0.3297225868199151,0.6335834896810508,,,,
lap_rms_um_per_px2,B,A,dummy,src_gkf,0,160,40,-0.0011148356477954646,0.16371561923263994,0.20823278847583063,,,,,
lap_rms_um_per_px2,B,A,ridge,src_gkf,0,160,40,0.11924956402994147,0.1566412130967664,0.19531410129644028,0.3035647279549719,,,,
lap_rms_um_per_px2,B,A,extratrees,src_gkf,0,160,40,0.20657849389084293,0.1361841502575467,0.1853784088838469,0.41313320825515953,,,,
acf_e_fold_lag_um,B,A,dummy,src_gkf,0,160,40,-0.0006243464142219324,7.7340625,8.256893426858554,,,,,
acf_e_fold_lag_um,B,A,ridge,src_gkf,0,160,40,0.2457911340711546,6.537023722405772,7.168478103403782,0.5883024162123687,,,,
acf_e_fold_lag_um,B,A,extratrees,src_gkf,0,160,40,0.3007429746967092,5.663729379960318,6.902391132626295,0.5679124426749013,,,,
aniso_gradx_over_y,B,A,dummy,src_gkf,0,160,40,-0.22890100963422855,0.4971371279837881,0.5724057901195807,,,,,
aniso_gradx_over_y,B,A,ridge,src_gkf,0,160,40,0.2770226277296288,0.33291290451393196,0.439043872327537,0.6523452157598499,,,,
aniso_gradx_over_y,B,A,extratrees,src_gkf,0,160,40,0.15824301119691364,0.31537666267442555,0.4737387754183792,0.5091932457786118,,,,
pit_density_per_Mpx,B,A,dummy,src_gkf,0,160,40,-0.0008532821656583867,7591.1865234375,11580.53704026564,,,,,
pit_density_per_Mpx,B,A,ridge,src_gkf,0,160,40,0.012055027846388677,7597.4245118136705,11505.615826893238,0.2384347265805017,,,,
pit_density_per_Mpx,B,A,extratrees,src_gkf,0,160,40,-0.5305375521318407,8993.158108568945,14320.74085560002,0.227108588872337,,,,
pit_depth_um,B,A,dummy,src_gkf,0,160,40,-0.01092313763362096,1.8973264008021213,3.080817118135779,,,,,
pit_depth_um,B,A,ridge,src_gkf,0,160,40,0.11941748553438791,1.6723886070213703,2.875357698096863,0.6467166979362102,,,,
pit_depth_um,B,A,extratrees,src_gkf,0,160,40,0.24401618147787907,1.5528212484063326,2.6641771569145067,0.5602251407129456,,,,
peak_to_valley_p98p2_um,B,A,dummy,src_gkf,0,160,40,-2.7131400007318618e-05,4.722234767327272,7.536777795081844,,,,,
peak_to_valley_p98p2_um,B,A,ridge,src_gkf,0,160,40,0.2216560021621916,3.9202315049606513,6.6491420351332,0.6431519699812384,,,,
peak_to_valley_p98p2_um,B,A,extratrees,src_gkf,0,160,40,0.21633818749687694,3.3234965926184685,6.671817558834738,0.6814258911819888,,,,
deepest_negative_residual_um,B,A,dummy,src_gkf,0,160,40,-0.01092313763362096,1.8973264008021213,3.080817118135779,,,,,
deepest_negative_residual_um,B,A,ridge,src_gkf,0,160,40,0.11941748553438791,1.6723886070213703,2.875357698096863,0.6467166979362102,,,,
deepest_negative_residual_um,B,A,extratrees,src_gkf,0,160,40,0.24401618147787907,1.5528212484063326,2.6641771569145067,0.5602251407129456,,,,
rms_DCT_8_16_um,C,A,dummy,src_gkf,0,160,40,-0.030413258020589362,0.3218319648592133,0.3800572806452203,,,,,
rms_DCT_8_16_um,C,A,ridge,src_gkf,0,160,40,0.20377201036180015,0.27546910733490226,0.33408890855161666,0.5637898686679175,,,,
rms_DCT_8_16_um,C,A,extratrees,src_gkf,0,160,40,0.4244419390073275,0.184182655027063,0.28404549651436667,0.7437148217636023,,,,
E_DCT_8_16_frac,C,A,dummy,src_gkf,0,160,40,-0.0473521384953739,0.1405536830303455,0.16516723612263112,,,,,
E_DCT_8_16_frac,C,A,ridge,src_gkf,0,160,40,0.4042058462057809,0.10883373715859342,0.12457349763402936,0.6165103189493434,,,,
E_DCT_8_16_frac,C,A,extratrees,src_gkf,0,160,40,0.43428208355265807,0.09686077692818433,0.1213884891757386,0.7193245778611634,,,,
rms_DCT_16_32_um,C,A,dummy,src_gkf,0,160,40,-0.006008039247192398,0.43509262284362854,0.5416139935710558,,,,,
rms_DCT_16_32_um,C,A,ridge,src_gkf,0,160,40,0.3915669453959375,0.3373778210261503,0.42120697182381545,0.7003752345215761,,,,
rms_DCT_16_32_um,C,A,extratrees,src_gkf,0,160,40,0.4707705211455242,0.25365558874564637,0.3928358952763888,0.8213330840688089,,,,
E_DCT_16_32_frac,C,A,dummy,src_gkf,0,160,40,-0.00013557560445787153,0.0909564702299612,0.11088338187980219,,,,,
E_DCT_16_32_frac,C,A,ridge,src_gkf,0,160,40,0.20176832560471458,0.08031504742053622,0.09906072537248635,0.46866791744840525,,,,
E_DCT_16_32_frac,C,A,extratrees,src_gkf,0,160,40,0.2201355831958881,0.07716505813018074,0.09791440245108105,0.39962476547842407,,,,
rms_DCT_32_64_um,C,A,dummy,src_gkf,0,160,40,-0.006654992043103158,0.5022005908012618,0.7048523519671496,,,,,
rms_DCT_32_64_um,C,A,ridge,src_gkf,0,160,40,0.3589571158738394,0.4243069480372543,0.5624725974121089,0.6399624765478424,,,,
rms_DCT_32_64_um,C,A,extratrees,src_gkf,0,160,40,0.2859942079032476,0.3428598719881783,0.5936202327690173,0.7579737335834899,,,,
E_DCT_32_64_frac,C,A,dummy,src_gkf,0,160,40,-0.0036278584517093204,0.060956802433878375,0.077229494494177,,,,,
E_DCT_32_64_frac,C,A,ridge,src_gkf,0,160,40,0.3575505529305373,0.048622190656888706,0.06178973292865448,0.5335834896810507,,,,
E_DCT_32_64_frac,C,A,extratrees,src_gkf,0,160,40,-0.05172375336031232,0.057244727002426186,0.07905833789115396,0.34690431519699816,,,,
rms_DCT_64_inf_um,C,A,dummy,src_gkf,0,160,40,-0.000923136090866139,0.8113457563339106,1.4554252315936245,,,,,
rms_DCT_64_inf_um,C,A,ridge,src_gkf,0,160,40,0.16512090071472585,0.6981766507254715,1.3292336594140983,0.5174484052532834,,,,
rms_DCT_64_inf_um,C,A,extratrees,src_gkf,0,160,40,0.1373905424810462,0.5738320335753577,1.3511284642892012,0.5647279549718576,,,,
E_DCT_64_inf_frac,C,A,dummy,src_gkf,0,160,40,-0.0038683137844206517,0.1996587784015471,0.24175316589076293,,,,,
E_DCT_64_inf_frac,C,A,ridge,src_gkf,0,160,40,0.3374756743060475,0.16484826605847208,0.19639693748338563,0.5928705440900564,,,,
E_DCT_64_inf_frac,C,A,extratrees,src_gkf,0,160,40,0.264536155766085,0.15818671986109406,0.20692571317566782,0.5904315196998126,,,,
DCT_8_16_PC1,D,A,dummy,src_gkf,0,160,40,-0.1212987997388455,12.201782528134393,25.247377020065755,,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC1,D,A,ridge,src_gkf,0,160,40,-0.2993061072536738,13.175531382978047,27.177614035956527,-0.05196998123827393,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC1,D,A,extratrees,src_gkf,0,160,40,0.06956445974724013,10.077225368720137,22.998458733433228,0.24202626641651034,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC2,D,A,dummy,src_gkf,0,160,40,-0.14420407137090874,3.768474830329019,4.890444790570339,,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC2,D,A,ridge,src_gkf,0,160,40,-1.0009062573398189,5.219368219934248,6.4671061168672646,-0.42138836772983124,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC2,D,A,extratrees,src_gkf,0,160,40,-0.7813187330869826,4.434250665848099,6.101932984290274,-0.2335834896810507,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC3,D,A,dummy,src_gkf,0,160,40,-0.016006827841864135,6.555367314702489,9.504447839237717,,8_16,3.0,76.51693454556269,unstable_pc
DCT_8_16_PC3,D,A,ridge,src_gkf,0,160,40,-0.12816524822314057,7.473068025806933,10.015322471146003,0.0878048780487805,8_16,3.0,76.51693454556269,unstable_pc
DCT_8_16_PC3,D,A,extratrees,src_gkf,0,160,40,-0.36778127562152485,7.647956042914873,11.027749830926657,-0.054033771106941846,8_16,3.0,76.51693454556269,unstable_pc
