target_id,family,input_set,model,cv_variant,fold,n_train,n_test,R2,MAE,RMSE,spearman_rho,band,pc_index,theta_boot_q50_deg,target_flag
DCT_16_32_PC1,D,A,dummy,src_gkf,0,160,40,-2.365796332837178e-06,7.594358524395178,12.175964475472659,,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC1,D,A,ridge,src_gkf,0,160,40,-0.12770408317653925,8.795007719482053,12.930056871093997,-0.226078799249531,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC1,D,A,extratrees,src_gkf,0,160,40,-2.7285497588012193,11.220007290776726,23.51109358839716,-0.0028142589118198874,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC2,D,A,dummy,src_gkf,0,160,40,-0.15519799130035516,9.752338561329015,19.68917837870048,,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC2,D,A,ridge,src_gkf,0,160,40,0.0025426542764004356,10.886004256926602,18.295595404833993,0.2786116322701689,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC2,D,A,extratrees,src_gkf,0,160,40,-0.9352630919001863,14.033412474697556,25.484105135512316,0.025515947467166986,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC3,D,A,dummy,src_gkf,0,160,40,-0.001937082087210218,10.14908781828168,21.24751083538187,,16_32,3.0,73.33306375972731,unstable_pc
DCT_16_32_PC3,D,A,ridge,src_gkf,0,160,40,0.002510100701048068,11.250927011286231,21.200303953969666,-0.2103189493433396,16_32,3.0,73.33306375972731,unstable_pc
DCT_16_32_PC3,D,A,extratrees,src_gkf,0,160,40,-0.676706939944175,16.02895845817498,27.48630840943516,-0.28367729831144467,16_32,3.0,73.33306375972731,unstable_pc
DCT_32_64_PC1,D,A,dummy,src_gkf,0,160,40,-0.0009758617473036857,21.879709244737974,47.92145152352559,,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC1,D,A,ridge,src_gkf,0,160,40,0.1343870329816772,25.08008566105851,44.56357653023757,0.28330206378986866,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC1,D,A,extratrees,src_gkf,0,160,40,0.19788505007045476,19.073268044472393,42.89794294591856,0.12495309568480302,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC2,D,A,dummy,src_gkf,0,160,40,-0.27750976081640166,19.268534404092286,27.76050759705333,,32_64,2.0,48.69718370366198,unstable_pc
DCT_32_64_PC2,D,A,ridge,src_gkf,0,160,40,-0.46992174643840423,19.773610738938554,29.77778547559446,0.017636022514071297,32_64,2.0,48.69718370366198,unstable_pc
DCT_32_64_PC2,D,A,extratrees,src_gkf,0,160,40,-1.3017991857583389,23.39084660996946,37.26310200870181,-0.08311444652908069,32_64,2.0,48.69718370366198,unstable_pc
DCT_32_64_PC3,D,A,dummy,src_gkf,0,160,40,-0.047965564671950345,14.995031046624542,28.04062336739757,,32_64,3.0,68.99291831749125,unstable_pc
DCT_32_64_PC3,D,A,ridge,src_gkf,0,160,40,-0.12157302493916355,16.085964006741236,29.00867789308243,-0.03395872420262664,32_64,3.0,68.99291831749125,unstable_pc
DCT_32_64_PC3,D,A,extratrees,src_gkf,0,160,40,-0.4442556020594919,17.478727827707978,32.918208250468666,0.20938086303939965,32_64,3.0,68.99291831749125,unstable_pc
DCT_64_inf_PC1,D,A,dummy,src_gkf,0,160,40,-0.13695493581444929,61.84560448159624,125.99582090642939,,64_inf,1.0,19.316244179189223,stable
DCT_64_inf_PC1,D,A,ridge,src_gkf,0,160,40,-0.39979515160387713,67.94559585529115,139.80308572219047,0.05872420262664166,64_inf,1.0,19.316244179189223,stable
DCT_64_inf_PC1,D,A,extratrees,src_gkf,0,160,40,-0.07938943345969007,54.38661581619381,122.76472516438272,0.11726078799249533,64_inf,1.0,19.316244179189223,stable
DCT_64_inf_PC2,D,A,dummy,src_gkf,0,160,40,-0.00039753505040018844,42.71832518676404,84.45161828821533,,64_inf,2.0,28.505356738404494,stable
DCT_64_inf_PC2,D,A,ridge,src_gkf,0,160,40,0.1136615291064943,45.45116885526106,79.49164229107019,0.18930581613508446,64_inf,2.0,28.505356738404494,stable
DCT_64_inf_PC2,D,A,extratrees,src_gkf,0,160,40,0.3415947501851805,41.15483260124948,68.5122629006672,0.29737335834896816,64_inf,2.0,28.505356738404494,stable
DCT_64_inf_PC3,D,A,dummy,src_gkf,0,160,40,-0.0007837599541336004,44.582321082420414,84.32745761642666,,64_inf,3.0,35.441900328369854,stable
DCT_64_inf_PC3,D,A,ridge,src_gkf,0,160,40,0.047006859610454144,42.73015961682956,82.28937610934307,0.35684803001876175,64_inf,3.0,35.441900328369854,stable
DCT_64_inf_PC3,D,A,extratrees,src_gkf,0,160,40,-0.12313881184170783,44.9784653085845,89.33375720796374,0.43602251407129466,64_inf,3.0,35.441900328369854,stable
median_depth_um,A,R,dummy,src_gkf,0,160,40,-0.003650205515641325,16.647868875,18.84388492096856,,,,,
median_depth_um,A,R,ridge,src_gkf,0,160,40,0.42476957753573075,10.735420412499195,14.265932926005368,0.8097560975609757,,,,
median_depth_um,A,R,extratrees,src_gkf,0,160,40,0.8201221052431125,5.090628935709961,7.9775246066552805,0.8853658536585367,,,,
Sq_um,B,R,dummy,src_gkf,0,160,40,-0.0057710792569347635,1.1375791444440917,1.7072199579940204,,,,,
Sq_um,B,R,ridge,src_gkf,0,160,40,0.262657553949609,0.9615658262985459,1.461754788245713,0.6983114446529082,,,,
Sq_um,B,R,extratrees,src_gkf,0,160,40,0.3131250515072497,0.7319796541268263,1.410843189494077,0.7626061268298514,,,,
Sa_um,B,R,dummy,src_gkf,0,160,40,-0.00026536942352950454,0.6620150303566572,1.0933712408898693,,,,,
Sa_um,B,R,ridge,src_gkf,0,160,40,0.2592278397197867,0.5697140110008126,0.9409192548183499,0.7198874296435274,,,,
Sa_um,B,R,extratrees,src_gkf,0,160,40,0.36837730966312954,0.42314957819399507,0.868838168375252,0.7630751919835171,,,,
Ssk_skewness,B,R,dummy,src_gkf,0,160,40,-0.10910586317775284,1.4125004922718607,1.6650471801942217,,,,,
Ssk_skewness,B,R,ridge,src_gkf,0,160,40,-0.3819017672021279,1.459146822421529,1.8585687453850999,0.45741088180112577,,,,
Ssk_skewness,B,R,extratrees,src_gkf,0,160,40,-0.5209392533652337,1.4085449720761634,1.9498265412116227,0.3474671669793622,,,,
kurtosis_excess_fisher,B,R,dummy,src_gkf,0,160,40,-0.23124067509268809,8.31684672775951,9.19849581911181,,,,,
kurtosis_excess_fisher,B,R,ridge,src_gkf,0,160,40,-2.53913221736341,10.667595235875373,15.595299943241503,0.6013133208255161,,,,
kurtosis_excess_fisher,B,R,extratrees,src_gkf,0,160,40,-6.214197768010675,13.083593887352242,22.265854153161484,0.45497185741088186,,,,
grad_rms_um_per_um,B,R,dummy,src_gkf,0,160,40,-0.01219948478189048,0.33406635710466415,0.4089089401205293,,,,,
grad_rms_um_per_um,B,R,ridge,src_gkf,0,160,40,0.21069990318694087,0.27803146161456477,0.36108930707700476,0.6000000000000001,,,,
grad_rms_um_per_um,B,R,extratrees,src_gkf,0,160,40,0.5486845409364779,0.19550449745452264,0.27304463949688174,0.6474671669793622,,,,
lap_rms_um_per_px2,B,R,dummy,src_gkf,0,160,40,-0.0011148356477954646,0.16371561923263994,0.20823278847583063,,,,,
lap_rms_um_per_px2,B,R,ridge,src_gkf,0,160,40,0.05642478172815957,0.15908942563590173,0.20216009328873624,0.22589118198874303,,,,
lap_rms_um_per_px2,B,R,extratrees,src_gkf,0,160,40,0.41271562845895926,0.12242883647512874,0.15948923984565713,0.4868667917448406,,,,
acf_e_fold_lag_um,B,R,dummy,src_gkf,0,160,40,-0.0006243464142219324,7.7340625,8.256893426858554,,,,,
acf_e_fold_lag_um,B,R,ridge,src_gkf,0,160,40,0.24993419048412557,6.256446567626132,7.1487618752551985,0.4832517691391491,,,,
acf_e_fold_lag_um,B,R,extratrees,src_gkf,0,160,40,0.33985599502566766,5.638651558996559,6.706570405126596,0.5656573303942597,,,,
aniso_gradx_over_y,B,R,dummy,src_gkf,0,160,40,-0.22890100963422855,0.4971371279837881,0.5724057901195807,,,,,
aniso_gradx_over_y,B,R,ridge,src_gkf,0,160,40,-0.4918290695352645,0.5153466479013973,0.6306742514504415,0.5866791744840526,,,,
aniso_gradx_over_y,B,R,extratrees,src_gkf,0,160,40,0.0854819357931792,0.3721432024864124,0.4937893420179185,0.5335834896810507,,,,
pit_density_per_Mpx,B,R,dummy,src_gkf,0,160,40,-0.0008532821656583867,7591.1865234375,11580.53704026564,,,,,
pit_density_per_Mpx,B,R,ridge,src_gkf,0,160,40,0.028824036519444207,7414.01348225272,11407.551909711006,0.38987299886811766,,,,
pit_density_per_Mpx,B,R,extratrees,src_gkf,0,160,40,-0.2836014496333805,8204.556224336533,13114.706947582486,-0.07010488684881254,,,,
pit_depth_um,B,R,dummy,src_gkf,0,160,40,-0.01092313763362096,1.8973264008021213,3.080817118135779,,,,,
pit_depth_um,B,R,ridge,src_gkf,0,160,40,0.10546642459046962,1.7601264946873143,2.8980453244694244,0.6288930581613509,,,,
pit_depth_um,B,R,extratrees,src_gkf,0,160,40,0.21181532617453902,1.7500156143421648,2.7203253167275254,0.46791744840525334,,,,
peak_to_valley_p98p2_um,B,R,dummy,src_gkf,0,160,40,-2.7131400007318618e-05,4.722234767327272,7.536777795081844,,,,,
peak_to_valley_p98p2_um,B,R,ridge,src_gkf,0,160,40,0.2535814792779737,4.073662779318487,6.511349745149143,0.6986866791744841,,,,
peak_to_valley_p98p2_um,B,R,extratrees,src_gkf,0,160,40,0.3840518387057239,2.9856690925294096,5.914961216865232,0.7376518606548309,,,,
deepest_negative_residual_um,B,R,dummy,src_gkf,0,160,40,-0.01092313763362096,1.8973264008021213,3.080817118135779,,,,,
deepest_negative_residual_um,B,R,ridge,src_gkf,0,160,40,0.10546642459046962,1.7601264946873143,2.8980453244694244,0.6288930581613509,,,,
deepest_negative_residual_um,B,R,extratrees,src_gkf,0,160,40,0.21181532617453902,1.7500156143421648,2.7203253167275254,0.46791744840525334,,,,
rms_DCT_8_16_um,C,R,dummy,src_gkf,0,160,40,-0.030413258020589362,0.3218319648592133,0.3800572806452203,,,,,
rms_DCT_8_16_um,C,R,ridge,src_gkf,0,160,40,0.2663429939949421,0.2580450442025351,0.3206932893257467,0.7200750469043153,,,,
rms_DCT_8_16_um,C,R,extratrees,src_gkf,0,160,40,0.6199538780924281,0.16855920901024501,0.23081365074590537,0.7880294581585374,,,,
E_DCT_8_16_frac,C,R,dummy,src_gkf,0,160,40,-0.0473521384953739,0.1405536830303455,0.16516723612263112,,,,,
E_DCT_8_16_frac,C,R,ridge,src_gkf,0,160,40,-0.08523052044507895,0.14732884591879825,0.16812741634295053,0.3592870544090057,,,,
E_DCT_8_16_frac,C,R,extratrees,src_gkf,0,160,40,0.4154311214133466,0.1014779826548577,0.12339438131736076,0.726641651031895,,,,
rms_DCT_16_32_um,C,R,dummy,src_gkf,0,160,40,-0.006008039247192398,0.43509262284362854,0.5416139935710558,,,,,
rms_DCT_16_32_um,C,R,ridge,src_gkf,0,160,40,0.21327526017289344,0.351276911188804,0.47896144424337017,0.7345215759849908,,,,
rms_DCT_16_32_um,C,R,extratrees,src_gkf,0,160,40,0.6459353802489602,0.225272341662276,0.3213145683023988,0.8370936732319798,,,,
E_DCT_16_32_frac,C,R,dummy,src_gkf,0,160,40,-0.00013557560445787153,0.0909564702299612,0.11088338187980219,,,,,
E_DCT_16_32_frac,C,R,ridge,src_gkf,0,160,40,0.10957710244996932,0.0820590202707328,0.10462493112076895,0.4457786116322702,,,,
E_DCT_16_32_frac,C,R,extratrees,src_gkf,0,160,40,0.2150619242838766,0.07963629421149755,0.09823239291848117,0.3606003752345216,,,,
rms_DCT_32_64_um,C,R,dummy,src_gkf,0,160,40,-0.006654992043103158,0.5022005908012618,0.7048523519671496,,,,,
rms_DCT_32_64_um,C,R,ridge,src_gkf,0,160,40,0.19757916432847855,0.437923470229852,0.6293017304825661,0.7669793621013133,,,,
rms_DCT_32_64_um,C,R,extratrees,src_gkf,0,160,40,0.48441138094124414,0.31100405327302677,0.5044399670126252,0.8037523452157599,,,,
E_DCT_32_64_frac,C,R,dummy,src_gkf,0,160,40,-0.0036278584517093204,0.060956802433878375,0.077229494494177,,,,,
E_DCT_32_64_frac,C,R,ridge,src_gkf,0,160,40,0.3398746880652558,0.04592980857658446,0.06263398314614134,0.5386491557223265,,,,
E_DCT_32_64_frac,C,R,extratrees,src_gkf,0,160,40,0.061597133618308875,0.05628783398328567,0.07467779757371941,0.452532833020638,,,,
rms_DCT_64_inf_um,C,R,dummy,src_gkf,0,160,40,-0.000923136090866139,0.8113457563339106,1.4554252315936245,,,,,
rms_DCT_64_inf_um,C,R,ridge,src_gkf,0,160,40,0.2374547105243756,0.7342741291776331,1.2703469727793493,0.5362101313320826,,,,
rms_DCT_64_inf_um,C,R,extratrees,src_gkf,0,160,40,0.054583010160585865,0.636507723611763,1.4144944149461554,0.5737335834896812,,,,
E_DCT_64_inf_frac,C,R,dummy,src_gkf,0,160,40,-0.0038683137844206517,0.1996587784015471,0.24175316589076293,,,,,
E_DCT_64_inf_frac,C,R,ridge,src_gkf,0,160,40,0.14553501726354046,0.1841256936547746,0.2230390628550401,0.4326454033771107,,,,
E_DCT_64_inf_frac,C,R,extratrees,src_gkf,0,160,40,0.3216059130813348,0.15105193985968723,0.1987352126570809,0.5075046904315198,,,,
DCT_8_16_PC1,D,R,dummy,src_gkf,0,160,40,-0.1212987997388455,12.201782528134393,25.247377020065755,,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC1,D,R,ridge,src_gkf,0,160,40,-0.14633905754141918,11.823349441767897,25.527726112965794,0.09362101313320827,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC1,D,R,extratrees,src_gkf,0,160,40,-0.40853740666108784,15.936852067613222,28.296959898295697,-0.04033771106941839,8_16,1.0,11.408346447984119,stable
DCT_8_16_PC2,D,R,dummy,src_gkf,0,160,40,-0.14420407137090874,3.768474830329019,4.890444790570339,,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC2,D,R,ridge,src_gkf,0,160,40,-0.2950975195851102,3.859328834703125,5.2029284291128794,0.012757973733583493,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC2,D,R,extratrees,src_gkf,0,160,40,-2.4596468640116638,5.292207450462733,8.503789508947495,0.02607879924953096,8_16,2.0,19.680898106226344,stable
DCT_8_16_PC3,D,R,dummy,src_gkf,0,160,40,-0.016006827841864135,6.555367314702489,9.504447839237717,,8_16,3.0,76.51693454556269,unstable_pc
DCT_8_16_PC3,D,R,ridge,src_gkf,0,160,40,-0.45354301964606547,8.516761013838764,11.368221405906604,-0.0577861163227017,8_16,3.0,76.51693454556269,unstable_pc
DCT_8_16_PC3,D,R,extratrees,src_gkf,0,160,40,-1.4550772770056368,10.606155835801392,14.774444525077707,-0.28630393996247655,8_16,3.0,76.51693454556269,unstable_pc
DCT_16_32_PC1,D,R,dummy,src_gkf,0,160,40,-2.365796332837178e-06,7.594358524395178,12.175964475472659,,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC1,D,R,ridge,src_gkf,0,160,40,-0.1027793016426306,8.022024796759363,12.78636688453421,0.14634146341463417,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC1,D,R,extratrees,src_gkf,0,160,40,-2.6798013063232413,11.052441200893716,23.356891495660385,0.2641651031894935,16_32,1.0,37.832008525105465,stable
DCT_16_32_PC2,D,R,dummy,src_gkf,0,160,40,-0.15519799130035516,9.752338561329015,19.68917837870048,,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC2,D,R,ridge,src_gkf,0,160,40,0.09733499691871705,10.468032613384628,17.40454537368644,0.2590994371482177,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC2,D,R,extratrees,src_gkf,0,160,40,0.24773412968715636,10.320887770832858,15.888579099325375,0.030956848030018764,16_32,2.0,68.90890825745952,unstable_pc
DCT_16_32_PC3,D,R,dummy,src_gkf,0,160,40,-0.001937082087210218,10.14908781828168,21.24751083538187,,16_32,3.0,73.33306375972731,unstable_pc
DCT_16_32_PC3,D,R,ridge,src_gkf,0,160,40,-0.08044743103548857,11.951640266770628,22.064274649694212,-0.16416510318949346,16_32,3.0,73.33306375972731,unstable_pc
DCT_16_32_PC3,D,R,extratrees,src_gkf,0,160,40,0.2940396554322098,11.218992154803137,17.835200149800745,-0.0551594746716698,16_32,3.0,73.33306375972731,unstable_pc
DCT_32_64_PC1,D,R,dummy,src_gkf,0,160,40,-0.0009758617473036857,21.879709244737974,47.92145152352559,,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC1,D,R,ridge,src_gkf,0,160,40,0.08054925423084636,21.728995848063903,45.92851424688702,0.09962476547842404,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC1,D,R,extratrees,src_gkf,0,160,40,-0.014790568861396958,23.08500467434313,48.25100605784747,0.11425891181988744,32_64,1.0,13.698521653088918,stable
DCT_32_64_PC2,D,R,dummy,src_gkf,0,160,40,-0.27750976081640166,19.268534404092286,27.76050759705333,,32_64,2.0,48.69718370366198,unstable_pc
DCT_32_64_PC2,D,R,ridge,src_gkf,0,160,40,-1.1598851522987905,22.646427301117345,36.096128068974075,-0.2536585365853659,32_64,2.0,48.69718370366198,unstable_pc
