target_id,family,input_set,model,cv_variant,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,MAE_median,RMSE_median,n_folds
DCT_16_32_PC1,D,A,dummy,proc_gkf,-0.024751011840862258,-0.06902251079384825,-0.04721041713614205,-0.0003373290735875223,-0.00013973832941611695,10.226339226096508,21.03993438308141,5
DCT_16_32_PC1,D,A,dummy,proc_gss,-0.0799972276557841,-0.23466178885042227,-0.22753553307344077,-0.04024732861506619,-0.019293346306124087,11.182867676064962,21.36865599597561,5
DCT_16_32_PC1,D,A,dummy,src_gkf,-0.04793239709211927,-0.10254830684283753,-0.08624521486130932,-0.011603335521881641,-0.004642753686552358,12.807355611691127,21.784972425858093,5
DCT_16_32_PC1,D,A,dummy,src_gss,-0.0050769026899810665,-0.0346117901922085,-0.0050974477596561485,-0.003972123195265631,-0.00160029463246758,11.070607950997678,19.62967134426578,5
DCT_16_32_PC1,D,A,extratrees,proc_gkf,-0.5224345840145728,-1.1152920368976054,-0.5648745123358194,-0.37755757098009846,-0.3348903370314917,15.608908471429226,25.106657949657734,5
DCT_16_32_PC1,D,A,extratrees,proc_gss,-0.9117276888247241,-1.3358481403714755,-1.3252350810205598,-0.8462790204461579,-0.6273958664207857,12.207758910045676,27.22968842530575,5
DCT_16_32_PC1,D,A,extratrees,src_gkf,-0.9113278085281002,-2.019958989357632,-0.9570728351922513,-0.7990021371185498,-0.4585705693365393,14.705184137963176,28.88228693353189,5
DCT_16_32_PC1,D,A,extratrees,src_gss,-1.0994094331626054,-2.7979383836213514,-1.4743467712788676,-0.30284497616671624,-0.17589948146534723,17.796740818252495,29.337614631475024,5
DCT_16_32_PC1,D,A,ridge,proc_gkf,-0.12225220349960964,-0.3156446153317768,-0.19428260805814035,-0.11125790442982941,-0.04623497703360341,11.449872674226892,21.933235474483354,5
DCT_16_32_PC1,D,A,ridge,proc_gss,-0.18269484429036087,-0.45298199682175044,-0.3179728999597491,-0.10412339406394056,-0.07671060487868835,10.576663333428899,22.685887832096007,5
DCT_16_32_PC1,D,A,ridge,src_gkf,-0.12770408317653925,-0.6033306957913027,-0.21820775078145593,-0.04065266541342183,-0.02692462236397914,13.793393045201904,26.808939455926918,5
DCT_16_32_PC1,D,A,ridge,src_gss,-0.1026768532755209,-0.10671949196124526,-0.10427548492474759,-0.060094058394975614,-0.025566134160447656,11.72405271063387,20.61328352700391,5
DCT_16_32_PC1,D,C,dummy,proc_gkf,-0.024751011840862258,-0.06902251079384825,-0.04721041713614205,-0.0003373290735875223,-0.00013973832941611695,10.226339226096508,21.03993438308141,5
DCT_16_32_PC1,D,C,dummy,proc_gss,-0.0799972276557841,-0.23466178885042227,-0.22753553307344077,-0.04024732861506619,-0.019293346306124087,11.182867676064962,21.36865599597561,5
DCT_16_32_PC1,D,C,dummy,src_gkf,-0.04793239709211927,-0.10254830684283753,-0.08624521486130932,-0.011603335521881641,-0.004642753686552358,12.807355611691127,21.784972425858093,5
DCT_16_32_PC1,D,C,dummy,src_gss,-0.0050769026899810665,-0.0346117901922085,-0.0050974477596561485,-0.003972123195265631,-0.00160029463246758,11.070607950997678,19.62967134426578,5
DCT_16_32_PC1,D,C,extratrees,proc_gkf,-0.7044189980987954,-1.659465713583118,-1.428677946228075,-0.6775951959170254,-0.37062183464406717,15.328230103263632,27.468239450754034,5
DCT_16_32_PC1,D,C,extratrees,proc_gss,-0.7980954729721785,-1.0569478062963342,-0.9221351685504997,-0.4333417496171674,-0.37971176502062726,11.803859930495788,27.30370727742343,5
DCT_16_32_PC1,D,C,extratrees,src_gkf,-0.716099294663791,-1.9553074255593488,-1.288638901781372,-0.4625762069239636,-0.32740398734758824,15.57151306848136,29.232256448009704,5
DCT_16_32_PC1,D,C,extratrees,src_gss,-1.1812369226695072,-2.1298897439905384,-1.3881195921318819,-0.28938974639766135,-0.17142637696896615,15.671948230864322,28.82189642147323,5
DCT_16_32_PC1,D,C,ridge,proc_gkf,-0.14819340145125048,-0.34910483877853205,-0.25023691078910226,-0.1183574235940299,-0.05575298607002587,11.556177517230998,22.441160173003766,5
DCT_16_32_PC1,D,C,ridge,proc_gss,-0.20119915859558724,-0.50539481218286,-0.33338331046540426,-0.1453659047587248,-0.10113659093919258,10.931416321761168,22.818129873399307,5
DCT_16_32_PC1,D,C,ridge,src_gkf,-0.19535915094104928,-0.40783678038622445,-0.22823151526963392,-0.056814072312855624,-0.041108954125456516,13.296487145134881,25.516973303488346,5
DCT_16_32_PC1,D,C,ridge,src_gss,-0.1184625221347626,-0.17055751112324122,-0.12067769448481958,-0.07247900762645298,-0.038075103174426944,12.250930074002888,20.707118143190556,5
DCT_16_32_PC1,D,R,dummy,proc_gkf,-0.024751011840862258,-0.06902251079384825,-0.04721041713614205,-0.0003373290735875223,-0.00013973832941611695,10.226339226096508,21.03993438308141,5
DCT_16_32_PC1,D,R,dummy,proc_gss,-0.0799972276557841,-0.23466178885042227,-0.22753553307344077,-0.04024732861506619,-0.019293346306124087,11.182867676064962,21.36865599597561,5
DCT_16_32_PC1,D,R,dummy,src_gkf,-0.04793239709211927,-0.10254830684283753,-0.08624521486130932,-0.011603335521881641,-0.004642753686552358,12.807355611691127,21.784972425858093,5
DCT_16_32_PC1,D,R,dummy,src_gss,-0.0050769026899810665,-0.0346117901922085,-0.0050974477596561485,-0.003972123195265631,-0.00160029463246758,11.070607950997678,19.62967134426578,5
DCT_16_32_PC1,D,R,extratrees,proc_gkf,-0.5542473717727998,-1.4587373492155584,-1.048262244952625,-0.2032530501719032,-0.08702921440196819,12.751965480566131,26.626793783466876,5
DCT_16_32_PC1,D,R,extratrees,proc_gss,-0.4711856392362599,-1.2857819549342573,-0.8926726332081307,-0.33202668766042787,-0.24903849486860952,11.09783172625366,23.887098217090177,5
DCT_16_32_PC1,D,R,extratrees,src_gkf,-0.14733363840470481,-2.233797423645284,-1.5647915996283484,-0.11346851580254769,0.006138456159906311,14.126675027266142,27.73101107128118,5
DCT_16_32_PC1,D,R,extratrees,src_gss,-1.1872877101217605,-2.095131677643103,-1.454911061682322,0.029463066469082477,0.1478962034594685,17.8197029083429,30.67798456915466,5
DCT_16_32_PC1,D,R,ridge,proc_gkf,-0.07088353087183208,-0.2809847605274511,-0.2238448820777672,-0.03782059575906849,-0.004935223135023922,11.818294140549686,20.860368306436015,5
DCT_16_32_PC1,D,R,ridge,proc_gss,-0.13467537042600863,-0.4129725147956719,-0.3805794438771646,-0.08271784205757271,-0.06921016181674941,11.274611296241051,22.31745753317782,5
DCT_16_32_PC1,D,R,ridge,src_gkf,-0.1027793016426306,-0.3061736902327442,-0.13680044927451873,-0.065382925391404,-0.03817262766430489,12.873861106814735,24.594212934773108,5
DCT_16_32_PC1,D,R,ridge,src_gss,-0.01307016287934104,-0.06756775660242184,-0.025969412042976536,0.0049057204250299025,0.010895864398439904,11.63962319358904,19.43351960428557,5
DCT_16_32_PC2,D,A,dummy,proc_gkf,-0.050526419049412796,-0.07288301082268256,-0.05234108759665812,-0.027406204686376556,-0.024553719602872226,10.855954154306716,19.10390990385339,5
DCT_16_32_PC2,D,A,dummy,proc_gss,-0.03222199167533435,-0.05606490117983611,-0.048683249994523115,-0.010553445711219744,-0.009582994125138855,7.661745007065621,12.856983392645176,5
DCT_16_32_PC2,D,A,dummy,src_gkf,-0.019142911703936782,-0.1012785325220466,-0.020399344354583793,-0.010574000215866963,-0.00475840227887132,9.752338561329015,19.68917837870048,5
DCT_16_32_PC2,D,A,dummy,src_gss,-0.0560671962601913,-0.2047904730096489,-0.09907619316156402,-0.02446458447949995,-0.009806491467678133,10.979446868851618,23.293487908030823,5
DCT_16_32_PC2,D,A,extratrees,proc_gkf,-1.1647935114526637,-1.4876683837653903,-1.218340380899206,-1.070578026385736,-0.41595617084137027,16.283759327815392,27.51951142737742,5
DCT_16_32_PC2,D,A,extratrees,proc_gss,-0.8593671469855984,-4.7759848864539665,-2.529472624195281,-0.7600710023382022,-0.7012002597171322,13.133308380471842,21.619144446083773,5
DCT_16_32_PC2,D,A,extratrees,src_gkf,-0.9352630919001863,-3.139352948880254,-2.865872313981703,-0.2810654392245615,-0.21697507264534177,14.866631942966475,25.484105135512316,5
DCT_16_32_PC2,D,A,extratrees,src_gss,-1.0613794793051872,-1.4252831354251778,-1.1514004998073077,-0.35792362175037296,-0.10747658518866501,17.868493425962097,29.61508578044588,5
DCT_16_32_PC2,D,A,ridge,proc_gkf,-0.32780433839748424,-0.7741048513509512,-0.3349876668664238,-0.2280169295022978,-0.0893531646338426,13.347649485114648,20.885907305339906,5
DCT_16_32_PC2,D,A,ridge,proc_gss,-0.2957546383650367,-2.041548943639276,-1.7337336083182535,-0.09422842450567304,-0.04505366114980704,11.727941496995038,17.99691731885969,5
DCT_16_32_PC2,D,A,ridge,src_gkf,-0.03530784561434075,-1.0179155305767136,-0.40181471401820135,-0.01996525177180697,-0.006460508142882524,10.886004256926602,18.295595404833993,5
DCT_16_32_PC2,D,A,ridge,src_gss,-0.2584109566712991,-0.4709580892526194,-0.3436195033510483,-0.06352195532087368,-0.05258600605624668,13.524756900006928,23.87029746264526,5
DCT_16_32_PC2,D,C,dummy,proc_gkf,-0.050526419049412796,-0.07288301082268256,-0.05234108759665812,-0.027406204686376556,-0.024553719602872226,10.855954154306716,19.10390990385339,5
DCT_16_32_PC2,D,C,dummy,proc_gss,-0.03222199167533435,-0.05606490117983611,-0.048683249994523115,-0.010553445711219744,-0.009582994125138855,7.661745007065621,12.856983392645176,5
DCT_16_32_PC2,D,C,dummy,src_gkf,-0.019142911703936782,-0.1012785325220466,-0.020399344354583793,-0.010574000215866963,-0.00475840227887132,9.752338561329015,19.68917837870048,5
DCT_16_32_PC2,D,C,dummy,src_gss,-0.0560671962601913,-0.2047904730096489,-0.09907619316156402,-0.02446458447949995,-0.009806491467678133,10.979446868851618,23.293487908030823,5
DCT_16_32_PC2,D,C,extratrees,proc_gkf,-1.0482164913224632,-1.7871438237040973,-1.7155282764953168,-1.0045922686426487,-0.6400203933095471,16.19632955075918,27.76760565993511,5
DCT_16_32_PC2,D,C,extratrees,proc_gss,-1.2024889097768416,-3.095376870423867,-2.0159697952311975,-0.22125543294603922,-0.2029274825103272,13.306800589146407,21.916459590751142,5
DCT_16_32_PC2,D,C,extratrees,src_gkf,-0.22743331000573086,-2.9571575788619007,-2.7613258049068934,-0.10714102506340284,-0.0512000829846344,13.333557503793823,23.72937835558404,5
DCT_16_32_PC2,D,C,extratrees,src_gss,-0.2864193057590658,-0.6788653174280673,-0.33070603836871393,-0.03755122951875056,0.035981113044750726,15.446939160716324,23.79441788392689,5
DCT_16_32_PC2,D,C,ridge,proc_gkf,-0.3911100094834039,-0.4849899041250627,-0.47130194682795845,-0.23904471139734262,-0.03238112632354581,12.966362749527587,20.979477045584183,5
DCT_16_32_PC2,D,C,ridge,proc_gss,-0.7129542134828755,-0.8991576633345418,-0.7282380489166043,-0.33816601327929363,-0.05127814882926779,10.266541284660972,14.81971070601986,5
DCT_16_32_PC2,D,C,ridge,src_gkf,-0.0016567150346986637,-0.636299815300486,-0.6156380806242403,0.006998908919191749,0.0700269508744773,11.499248480303196,17.262142671335315,5
DCT_16_32_PC2,D,C,ridge,src_gss,-0.30407946745987013,-0.6237352058504222,-0.4102338598530588,-0.0027876131133877102,0.021577545080838492,13.609860876378304,23.522815212246226,5
DCT_16_32_PC2,D,R,dummy,proc_gkf,-0.050526419049412796,-0.07288301082268256,-0.05234108759665812,-0.027406204686376556,-0.024553719602872226,10.855954154306716,19.10390990385339,5
DCT_16_32_PC2,D,R,dummy,proc_gss,-0.03222199167533435,-0.05606490117983611,-0.048683249994523115,-0.010553445711219744,-0.009582994125138855,7.661745007065621,12.856983392645176,5
DCT_16_32_PC2,D,R,dummy,src_gkf,-0.019142911703936782,-0.1012785325220466,-0.020399344354583793,-0.010574000215866963,-0.00475840227887132,9.752338561329015,19.68917837870048,5
DCT_16_32_PC2,D,R,dummy,src_gss,-0.0560671962601913,-0.2047904730096489,-0.09907619316156402,-0.02446458447949995,-0.009806491467678133,10.979446868851618,23.293487908030823,5
DCT_16_32_PC2,D,R,extratrees,proc_gkf,-1.549278843664598,-4.518336957282445,-2.6494777130951452,-1.0953667966671294,-0.49027927665552556,16.29908405702563,30.09260884778977,5
DCT_16_32_PC2,D,R,extratrees,proc_gss,-1.3164918727171364,-2.623884041533291,-1.9840959590253848,-0.2222509924590066,0.10980061399955485,10.898481528281158,17.574981952142867,5
DCT_16_32_PC2,D,R,extratrees,src_gkf,-0.4691916164382641,-6.638354490102668,-4.6795079691979495,-0.1077491880926742,0.10554080257522416,15.7710735180087,32.667442775245924,5
DCT_16_32_PC2,D,R,extratrees,src_gss,-0.5718464951817226,-1.0864708822468214,-0.8151363593572645,-0.26814667875968157,-0.19490208629286893,13.730499483352643,28.74717531403922,5
DCT_16_32_PC2,D,R,ridge,proc_gkf,-0.2554661531762963,-0.3757426146582514,-0.30174515155160586,-0.13959628932015145,-0.004971820293773632,11.656496198894832,20.119940052807248,5
DCT_16_32_PC2,D,R,ridge,proc_gss,-0.3613828932543861,-0.5567293185800003,-0.5536024867514955,-0.2012990586503942,0.03949321645056997,9.122566806829349,14.934731273084173,5
DCT_16_32_PC2,D,R,ridge,src_gkf,0.027335734577781268,-1.2510933372195736,-0.6681754880569788,0.06530736626024491,0.0845239446553282,11.407618484721056,19.06882477580034,5
DCT_16_32_PC2,D,R,ridge,src_gss,-0.23165379765663108,-0.5823144272537695,-0.28783831257277237,0.026311230545638442,0.03652958066663736,12.46912345286765,22.835825360071734,5
DCT_16_32_PC3,D,A,dummy,proc_gkf,-0.07357568086218191,-0.07796513096486665,-0.07431542087710308,-0.04841035584248932,-0.020832209550686095,9.463429002525938,17.69542905325994,5
DCT_16_32_PC3,D,A,dummy,proc_gss,-0.05155337032516072,-0.1570623605196026,-0.12441098407397866,-0.04425474018119613,-0.01888239411652259,9.180355026435299,13.993985895637476,5
DCT_16_32_PC3,D,A,dummy,src_gkf,-0.001937082087210218,-0.02940506780761467,-0.010470361710570364,-0.001233798539502562,-0.0004962131610818598,10.63734541200969,19.567119514102068,5
DCT_16_32_PC3,D,A,dummy,src_gss,-0.031673270358548056,-0.05661987815093883,-0.041484689985413103,-0.030909357210707755,-0.021975410535203063,10.61688189277292,17.150394891284268,5
DCT_16_32_PC3,D,A,extratrees,proc_gkf,-0.8646826034971007,-3.505290659773899,-1.4822787447903978,-0.6254161697202221,-0.26488410155214726,14.56165088272805,27.077556039537747,5
DCT_16_32_PC3,D,A,extratrees,proc_gss,-0.8873226088269388,-5.623938930492981,-4.602130303232114,-0.03475304071839336,0.02914437846778449,11.699217406339212,19.05888057743012,5
