session_id,measurement_id,sample_id,profile_axis,position_um,height_median_um,valid_count
zro2_120_formal,1,1,u,4.75,-13.38110682468971,96
zro2_120_formal,1,1,u,5.25,-13.365248618680546,96
zro2_120_formal,1,1,u,5.75,-13.343909308159901,96
zro2_120_formal,1,1,u,6.25,-13.346875635205354,96
zro2_120_formal,1,1,u,6.75,-13.322330158573523,96
zro2_120_formal,1,1,u,7.25,-13.306573970825344,96
zro2_120_formal,1,1,u,7.75,-13.321324860457896,96
zro2_120_formal,1,1,u,8.25,-13.357468950367041,96
zro2_120_formal,1,1,u,8.75,-13.393160260505226,96
zro2_120_formal,1,1,u,9.25,-13.392019565611225,96
zro2_120_formal,1,1,u,9.75,-13.398130987454262,96
zro2_120_formal,1,1,u,10.25,-13.367731286490727,96
zro2_120_formal,1,1,u,10.75,-13.3337964351967,96
zro2_120_formal,1,1,u,11.25,-13.3131413520283,96
zro2_120_formal,1,1,u,11.75,-13.306020622933044,96
zro2_120_formal,1,1,u,12.25,-13.2942139003266,96
zro2_120_formal,1,1,u,12.75,-13.284970385065836,96
zro2_120_formal,1,1,u,13.25,-13.305544817529817,96
zro2_120_formal,1,1,u,13.75,-13.293998078665066,96
zro2_120_formal,1,1,u,14.25,-13.265533161672211,96
zro2_120_formal,1,1,u,14.75,-13.225235755921533,96
zro2_120_formal,1,1,u,15.25,-13.174556669294631,96
zro2_120_formal,1,1,u,15.75,-13.168347429219958,96
zro2_120_formal,1,1,u,16.25,-13.158212070058553,96
zro2_120_formal,1,1,u,16.75,-13.154914661986005,96
zro2_120_formal,1,1,u,17.25,-13.144961783161705,96
zro2_120_formal,1,1,u,17.75,-13.156870185377674,96
zro2_120_formal,1,1,u,18.25,-13.142944501412765,96
zro2_120_formal,1,1,u,18.75,-13.147687129181996,96
zro2_120_formal,1,1,u,19.25,-13.183386364338054,96
zro2_120_formal,1,1,u,19.75,-13.196903935224071,96
zro2_120_formal,1,1,u,20.25,-13.194213150375212,96
zro2_120_formal,1,1,u,20.75,-13.204448984833714,96
zro2_120_formal,1,1,u,21.25,-13.284770627301992,96
zro2_120_formal,1,1,u,21.75,-13.33350107393326,96
zro2_120_formal,1,1,u,22.25,-13.352159295146176,96
zro2_120_formal,1,1,u,22.75,-13.346155658349176,96
zro2_120_formal,1,1,u,23.25,-13.352316732961686,96
zro2_120_formal,1,1,u,23.75,-13.375805171295582,96
zro2_120_formal,1,1,u,24.25,-13.383265581936792,96
zro2_120_formal,1,1,u,24.75,-13.3498222726706,96
zro2_120_formal,1,1,u,25.25,-13.351603119739137,96
zro2_120_formal,1,1,u,25.75,-13.359369242387425,96
zro2_120_formal,1,1,u,26.25,-13.406077283845072,96
zro2_120_formal,1,1,u,26.75,-13.422563916623282,96
zro2_120_formal,1,1,u,27.25,-13.41152918327295,96
zro2_120_formal,1,1,u,27.75,-13.359333246948367,96
