split,family_id,coupling,method,max_relative_error,passed
validation,5c937cc121f7ad6842a2f4a1fb4ee85a92467004c1912faa36ad22b5adc82d45,False,independent,5.8171153650822696e-12,True
validation,d6aab03f9e3984446f7e7fd1b90b0dcd3f32e6bcaa16887c808e934f39adebd2,False,half_step,7.837909767405465e-11,True
validation,d6aab03f9e3984446f7e7fd1b90b0dcd3f32e6bcaa16887c808e934f39adebd2,False,independent,8.305927999216867e-11,True
validation,a52dc61f63a36ab6c93d22fa5024dd5d260a406ba87afb2999954df51e7af707,False,half_step,3.2378093237640186e-10,True
validation,a52dc61f63a36ab6c93d22fa5024dd5d260a406ba87afb2999954df51e7af707,False,independent,3.44662256087263e-10,True
validation,2f43430f0ec7c2d2ab53ba79f807a1d8a9afafbfe407f2e9a123ad97c560a428,False,half_step,6.157224713064365e-10,True
validation,2f43430f0ec7c2d2ab53ba79f807a1d8a9afafbfe407f2e9a123ad97c560a428,False,independent,6.561408709504146e-10,True
validation,4c61737b6bae817b4b7553a98a51546da1da641365e9d67534997befb1f9832e,False,half_step,1.0598783591256165e-09,True
validation,4c61737b6bae817b4b7553a98a51546da1da641365e9d67534997befb1f9832e,False,independent,1.1288872471772376e-09,True
validation,2242b4142201f892c46c7d67fa259c17e468483e14ab4ddd1069c174cf62ea8c,False,half_step,6.409502330509687e-13,True
validation,2242b4142201f892c46c7d67fa259c17e468483e14ab4ddd1069c174cf62ea8c,False,independent,3.520859425402006e-13,True
validation,61cc041bd7600d5a9c8919a31bf11c89f3031fc5bce0691fc67aa499410f0fe9,False,half_step,4.554667480467095e-10,True
validation,61cc041bd7600d5a9c8919a31bf11c89f3031fc5bce0691fc67aa499410f0fe9,False,independent,4.851260547058274e-10,True
validation,785994c25221a1b212f6c3bfc22aca0db826a4db6f64aa8c237f1869b268cdd8,False,half_step,3.939929595211675e-14,True
validation,785994c25221a1b212f6c3bfc22aca0db826a4db6f64aa8c237f1869b268cdd8,False,independent,1.562728377260735e-13,True
test,2c2e906a7dd8191f067b22b6299c48bdb0aec892ab5cd8579929be2c9ef9e768,True,half_step,4.217635528392336e-14,True
test,2c2e906a7dd8191f067b22b6299c48bdb0aec892ab5cd8579929be2c9ef9e768,True,independent,7.370365878557493e-13,True
test,88ff4ca8a64cd0f3e62d653156432dec3db90b893726aaa90b99683ef1d7cda1,True,half_step,2.2536675305604996e-11,True
test,88ff4ca8a64cd0f3e62d653156432dec3db90b893726aaa90b99683ef1d7cda1,True,independent,2.3510046615096953e-11,True
test,401fc4bfdd55fef3d2cb140f012a1a6600aaa27d46bab04eea4bb90713eb4c2f,True,half_step,2.5411663849567985e-13,True
test,401fc4bfdd55fef3d2cb140f012a1a6600aaa27d46bab04eea4bb90713eb4c2f,True,independent,2.941018652567436e-13,True
test,a817313b93db625ac5917a6928bb0f90a0797d65a2197304476523db0f9515ad,True,half_step,8.266464218954628e-12,True
test,a817313b93db625ac5917a6928bb0f90a0797d65a2197304476523db0f9515ad,True,independent,8.359826933237906e-12,True
test,0c2d5469c9ec493119a73819662e650ab999fbba910bfe2597af1d7bb882cc32,True,half_step,2.72059025895207e-15,True
test,0c2d5469c9ec493119a73819662e650ab999fbba910bfe2597af1d7bb882cc32,True,independent,2.8027164745840383e-13,True
test,b8dbbd7243df29fcb819a1b039bbc6d2458416a8afee8f6e91f61a4dafd978f1,True,half_step,6.040921492406322e-11,True
test,b8dbbd7243df29fcb819a1b039bbc6d2458416a8afee8f6e91f61a4dafd978f1,True,independent,6.378472273077376e-11,True
test,1f15defc16cb57af2ccf4944e79ecb1e092a6069a335292179650e15e9d16b73,True,half_step,1.0676758092608004e-13,True
test,1f15defc16cb57af2ccf4944e79ecb1e092a6069a335292179650e15e9d16b73,True,independent,9.860773351409633e-14,True
test,db3f3a40facec1e31768bc56ecd39234d1a1bb47d39358b78fe2cf19d39a5eb7,True,half_step,4.783042683019734e-09,True
test,db3f3a40facec1e31768bc56ecd39234d1a1bb47d39358b78fe2cf19d39a5eb7,True,independent,5.096445793216342e-09,True
test,2c2e906a7dd8191f067b22b6299c48bdb0aec892ab5cd8579929be2c9ef9e768,False,half_step,3.328942865046705e-14,True
test,2c2e906a7dd8191f067b22b6299c48bdb0aec892ab5cd8579929be2c9ef9e768,False,independent,4.060488677405465e-13,True
test,88ff4ca8a64cd0f3e62d653156432dec3db90b893726aaa90b99683ef1d7cda1,False,half_step,2.2536675305604996e-11,True
test,88ff4ca8a64cd0f3e62d653156432dec3db90b893726aaa90b99683ef1d7cda1,False,independent,2.350992918581604e-11,True
test,401fc4bfdd55fef3d2cb140f012a1a6600aaa27d46bab04eea4bb90713eb4c2f,False,half_step,2.5411663849567985e-13,True
test,401fc4bfdd55fef3d2cb140f012a1a6600aaa27d46bab04eea4bb90713eb4c2f,False,independent,2.897175202171393e-13,True
test,a817313b93db625ac5917a6928bb0f90a0797d65a2197304476523db0f9515ad,False,half_step,8.266464218954628e-12,True
test,a817313b93db625ac5917a6928bb0f90a0797d65a2197304476523db0f9515ad,False,independent,8.35690282138116e-12,True
test,0c2d5469c9ec493119a73819662e650ab999fbba910bfe2597af1d7bb882cc32,False,half_step,1.427469767478708e-13,True
test,0c2d5469c9ec493119a73819662e650ab999fbba910bfe2597af1d7bb882cc32,False,independent,4.878052523767843e-13,True
test,b8dbbd7243df29fcb819a1b039bbc6d2458416a8afee8f6e91f61a4dafd978f1,False,half_step,6.040921492406322e-11,True
test,b8dbbd7243df29fcb819a1b039bbc6d2458416a8afee8f6e91f61a4dafd978f1,False,independent,6.378153713356961e-11,True
test,1f15defc16cb57af2ccf4944e79ecb1e092a6069a335292179650e15e9d16b73,False,half_step,2.9891685356335387e-12,True
test,1f15defc16cb57af2ccf4944e79ecb1e092a6069a335292179650e15e9d16b73,False,independent,3.2970990012978617e-12,True
test,db3f3a40facec1e31768bc56ecd39234d1a1bb47d39358b78fe2cf19d39a5eb7,False,half_step,4.783042683019734e-09,True
test,db3f3a40facec1e31768bc56ecd39234d1a1bb47d39358b78fe2cf19d39a5eb7,False,independent,5.096399854141431e-09,True
