dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
189,zro2_60_pass,50,zro2_60_pass:m025,pass_main,52f32506f2cf5af65c3f6e92444a7466c3f60cd39101a8d7adee76b6c22a3fcc,1000|2|10|2
190,zro2_60_pass,51,zro2_60_pass:m026,pass_main,52f32506f2cf5af65c3f6e92444a7466c3f60cd39101a8d7adee76b6c22a3fcc,1000|2|10|2
191,zro2_60_pass,52,zro2_60_pass:m026,pass_main,52f32506f2cf5af65c3f6e92444a7466c3f60cd39101a8d7adee76b6c22a3fcc,1000|2|10|2
192,zro2_60_pass,53,zro2_60_pass:m027,pass_main,d0df1d7856526ff46e44dab7ece16ff8ecaf11df5adb1ff1426e78164cf4fdb0,4000|5|10|8
193,zro2_60_pass,54,zro2_60_pass:m027,pass_main,d0df1d7856526ff46e44dab7ece16ff8ecaf11df5adb1ff1426e78164cf4fdb0,4000|5|10|8
194,zro2_60_pass,55,zro2_60_pass:m028,pass_main,d0df1d7856526ff46e44dab7ece16ff8ecaf11df5adb1ff1426e78164cf4fdb0,4000|5|10|8
195,zro2_60_pass,56,zro2_60_pass:m028,pass_main,d0df1d7856526ff46e44dab7ece16ff8ecaf11df5adb1ff1426e78164cf4fdb0,4000|5|10|8
196,zro2_60_pass,57,zro2_60_pass:m029,pass_main,bbce1047d34536c22b50d8082ef4564abc920ac4f396e21bb1e28c6b463ae03b,500|5|25|6
197,zro2_60_pass,58,zro2_60_pass:m029,pass_main,bbce1047d34536c22b50d8082ef4564abc920ac4f396e21bb1e28c6b463ae03b,500|5|25|6
198,zro2_60_pass,59,zro2_60_pass:m030,pass_main,bbce1047d34536c22b50d8082ef4564abc920ac4f396e21bb1e28c6b463ae03b,500|5|25|6
199,zro2_60_pass,60,zro2_60_pass:m030,pass_main,bbce1047d34536c22b50d8082ef4564abc920ac4f396e21bb1e28c6b463ae03b,500|5|25|6
