dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
35,zro2_120_formal,36,zro2_120_formal:m036,formal,2408b1dc1a902affc49faba1eb1a7974a98411526f82e856c2cca0b9effe2a3a,1000|50|5|8
36,zro2_120_formal,37,zro2_120_formal:m037,formal,37b0c28a28a8f3eb013b209db4dc026e7a8b3642f5e16d25d836c7a5dacffa65,1000|50|11|10
37,zro2_120_formal,38,zro2_120_formal:m038,formal,3689c38f9947e8059b87ef5082c010ea4b8b73bef146601bda7f54d88d9986b5,1000|100|9|2
38,zro2_120_formal,39,zro2_120_formal:m039,formal,d73fc8da155734c1b9df67d55a45a97780a6633b3b0e61b3d61b3e01c3d4d5b8,1000|100|3|6
39,zro2_120_formal,40,zro2_120_formal:m040,formal,fa5882873103aa52140e4b087c0124ec6f5e29a6267b8238115a0afb2f7a75eb,1000|100|5|6
40,zro2_120_formal,41,zro2_120_formal:m041,formal,16cd7d03a922a4569cb1f5c8ec1269f8c4c0cc50a98c497a54784441eb27bc6d,1000|100|3|8
41,zro2_120_formal,42,zro2_120_formal:m042,formal,2eeaf71a116d44a24fd554fdc0a8fa13fb10e29ab498f0c725a08261101ea391,1000|100|9|10
42,zro2_120_formal,43,zro2_120_formal:m043,formal,6463d0644a2c1a7038a2068f8c6dd9a391c72f5ee724ae075755ce69054f72ff,1000|100|11|10
43,zro2_120_formal,44,zro2_120_formal:m044,formal,97cdbd709d1cdc651b15abf2347ee874b5a0f4bdddafd2fce6eeacaf576ceda5,1000|200|5|6
44,zro2_120_formal,45,zro2_120_formal:m045,formal,bfce9310f057ffd5a57ffbba380d69a6351ca7fe57b578a67c47b4662bdf52be,1000|200|7|6
45,zro2_120_formal,46,zro2_120_formal:m046,formal,f89410c437f281e05ca92c9f85a89bb4b5b41253d7122ca792e2e8d70d5f9db0,1000|200|11|8
46,zro2_120_formal,47,zro2_120_formal:m047,formal,5404563b0b3f1459042a691c0755a27284de48f249020910321075b3ec11a323,1000|200|9|10
47,zro2_120_formal,48,zro2_120_formal:m048,formal,fa552f7aaa7ae90649c3b52411645dad31e60160adc5de67bb0bf42a39f7cd24,1000|200|11|10
48,zro2_120_formal,49,zro2_120_formal:m049,formal,fa304c0f023238a6e791bd19b20de4880bc0fe3f0d1d849934c60a124f30d055,2000|2|9|6
49,zro2_120_formal,50,zro2_120_formal:m050,formal,fa304c0f023238a6e791bd19b20de4880bc0fe3f0d1d849934c60a124f30d055,2000|2|9|6
50,zro2_120_formal,51,zro2_120_formal:m051,formal,54bdf5810da02479bf93c59aa1b26120bfd5010a0a14423ffbfc4b6a74c3fdb9,2000|2|9|10
51,zro2_120_formal,52,zro2_120_formal:m052,formal,73473a287ae075daec030063466b079c19da048c94a811f5d919417d622c132b,2000|10|5|2
52,zro2_120_formal,53,zro2_120_formal:m053,formal,5ef7f13b66ec12b2261ca84d2486c42a88363c2a07c3f35200d58a57b0f44c42,2000|10|9|2
53,zro2_120_formal,54,zro2_120_formal:m054,formal,73473a287ae075daec030063466b079c19da048c94a811f5d919417d622c132b,2000|10|5|2
54,zro2_120_formal,55,zro2_120_formal:m055,formal,ca4dc2c3fda0278554df1f21f732f0bc05df2aed173355268d5c68dd5219cbd3,2000|10|5|10
55,zro2_120_formal,56,zro2_120_formal:m056,formal,caaca8bc777b6ee58409439c8c6c16c8b57e06f0571d0cfbd27dd349b8037d92,2000|50|5|4
56,zro2_120_formal,57,zro2_120_formal:m057,formal,947d8f64f4a391751a18ccc2967060f82e89dad36b198774a408651f38cff9ef,2000|50|9|4
57,zro2_120_formal,58,zro2_120_formal:m058,formal,f0e4294642b1a1d56a09f022ec59ba54f596ca071c05c95e9a89b119c00e9ae1,2000|50|9|6
58,zro2_120_formal,59,zro2_120_formal:m059,formal,dcd7753890fd5e4806443cbb1eb645812b56676ad786ed6852a88a3ae37ecc00,2000|50|3|6
59,zro2_120_formal,60,zro2_120_formal:m060,formal,538dda5a8ef6d1c941df1c45ae5b919b2159b55834a8d9212b58d3f22cf3d8bc,2000|50|5|10
60,zro2_120_formal,61,zro2_120_formal:m061,formal,effd732dee5a24b3ab2fa3bf7285e7bf0f1bcb9877a430006059b7699750a021,2000|100|11|4
61,zro2_120_formal,62,zro2_120_formal:m062,formal,27f9c2a5e9e9837f62e328ff7681122675461e3fa07ddc90e774eb32d77dfefe,2000|100|9|4
62,zro2_120_formal,63,zro2_120_formal:m063,formal,8cb487efdeec8957db1548e3c5027ee452ca503d6299e7f8b3a632b250e0bbeb,2000|100|5|6
63,zro2_120_formal,64,zro2_120_formal:m064,formal,9204b6f9d2d9d6115cd61286c057d67be4f9c9208869ac4921cd29a650288373,2000|100|5|8
64,zro2_120_formal,65,zro2_120_formal:m065,formal,1788e40307f5b3a04b01269a5946fbb7443b6b8ec66160a1e6f43ac31024d5c7,2000|100|11|8
65,zro2_120_formal,66,zro2_120_formal:m066,formal,79e2ed05f65216c72d52a0add4bf98852a1df90adedd000701e667cd4e1c1440,2000|200|5|2
66,zro2_120_formal,67,zro2_120_formal:m067,formal,79e2ed05f65216c72d52a0add4bf98852a1df90adedd000701e667cd4e1c1440,2000|200|5|2
67,zro2_120_formal,68,zro2_120_formal:m068,formal,56df14226d95729a8fb9d5dc3ebfd25f2346e74e9ae10ac28d05946245fe79c6,2000|200|11|2
68,zro2_120_formal,69,zro2_120_formal:m069,formal,490f0a2476932f3c7f1932dc7c133abf7735511d7855876732c3cf2717a5b4d2,2000|200|7|4
69,zro2_120_formal,70,zro2_120_formal:m070,formal,a66b6dc7b4704a9101a0e60a1255a3abc6f7232965acf4b58eede6695289d371,2000|200|9|4
70,zro2_120_formal,71,zro2_120_formal:m071,formal,1ba03ca6b5871f84532efcd1ac2ad1140d33bf1d626655350e9ff0d4f2b0fcbb,2000|200|3|10
71,zro2_120_formal,72,zro2_120_formal:m072,formal,1ba03ca6b5871f84532efcd1ac2ad1140d33bf1d626655350e9ff0d4f2b0fcbb,2000|200|3|10
72,zro2_120_formal,73,zro2_120_formal:m073,formal,667b6d7862b280420085ba92043a58aa349ba085b9a5909efe1a2454f039b81c,4000|2|5|2
73,zro2_120_formal,74,zro2_120_formal:m074,formal,fe344a4792e96ac764ec826efbb548a6a8357b0288fd33a728e4054b5c41aab5,4000|2|11|2
74,zro2_120_formal,75,zro2_120_formal:m075,formal,96b16c88a29a240018dcb0601ec45e6cac1110e4439f1f4f414ff93aee6ca449,4000|2|5|6
75,zro2_120_formal,76,zro2_120_formal:m076,formal,3277ff338b1ece83ce0fcbca272659e59298a780ccb3bf6718496c548b864511,4000|2|3|6
