dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,D,A_med,ilr_z1,ilr_z2,ilr_z3,ilr_z4,A2_8_16,entropy_8_16,A2_16_32,entropy_16_32
10,zro2_120_formal,11,11,zro2_120_formal:m011,single,formal,,11,-3300.0,10400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,4,3,1.0,0.0066015625,46.2398,2.2115,0.2143737188396115,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,2222222.222222222,1185.177777777778,500:10:6:3,F11,FQ:500:10:6:3|N4,54,0.0881687025231637,46.23984718322754,2.2115242724700535,-1.0693823617288014,-0.4791575463955627,-0.7846029821962841,0.659679389227135,0.4833962749584012,0.8710710101023688,0.5169843612886968,0.6522315112686391
11,zro2_120_formal,12,12,zro2_120_formal:m012,single,formal,,12,-3300.0,9800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,11,1.0,0.0,17.7364,0.7303,0.2242805796720924,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,1.1,454545.4545454545,242.4227272727273,500:10:8:11,F12,FQ:500:10:8:11|N4,78,0.0363382800183226,17.736404418945312,0.730294028634613,-0.6477430447006477,-1.0402091290257125,-1.1914683288795629,-1.847647895474752,0.814635835404978,0.4137629142447426,0.3546470817431268,0.6910102390670603
12,zro2_120_formal,13,13,zro2_120_formal:m013,single,formal,,13,-3300.0,9200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,7,1.0,0.000546875,30.7015,1.189,0.2345113577783851,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,892857.1428571428,476.1875,500:10:8:7,F13,FQ:500:10:8:7|N5,117,0.0169157404821408,30.701452255249023,1.188968102091062,-0.4550582648679613,-0.4873426315596991,0.6869775363330244,0.6925344746327072,0.5767620748559564,0.8460415028747486,0.4679651508591732,0.7682458269695638
13,zro2_120_formal,14,14,zro2_120_formal:m014,single,formal,,14,-3300.0,8600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,9,1.0,0.0,7.0837,1.3309,0.3166453639961955,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,222222.22222222225,118.51777777777778,500:10:10:9,F14,FQ:500:10:10:9|N2,142,0.0073419636179192,7.083702087402344,1.3308509546385214,3.0600869399523143,-1.614473056844414,0.7468216377069951,-0.0535991796497234,0.9553992553647612,0.3072768389189138,0.3476069154858398,0.756633739150059
14,zro2_120_formal,15,15,zro2_120_formal:m015,single,formal,,15,-3300.0,8000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,7,1.0,0.0,6.0985,1.6924,0.2421730049755652,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.14,892857.1428571428,95.2375,500:50:8:7,F15,FQ:500:50:8:7|N1,26,0.3524597714449039,6.098482370376587,1.69238254747746,-0.566078143110154,-0.7364016366033703,0.3970158696094973,-0.502038541508528,0.1174318430190041,0.8807898326788057,0.2150842800685299,0.7337771820648412
15,zro2_120_formal,16,16,zro2_120_formal:m016,single,formal,,16,-3300.0,7400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,4,11,1.0,0.0,46.0401,0.6027,0.2159776237265324,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,2272727.272727273,242.4227272727273,500:50:8:11,F16,FQ:500:50:8:11|N4,72,0.0482519992231047,46.040103912353516,0.6026683783055695,-0.4460481891914988,-0.3389628473394496,-0.2319472687064604,-1.7498312827476878,0.3098334398959712,0.8899661466723884,0.338270343883057,0.6776020995416395
16,zro2_120_formal,17,17,zro2_120_formal:m017,single,formal,,17,-3300.0,6800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,3,1.0,0.0,54.5754,1.928,0.2287132441825644,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,33333333.33333333,1777.7666666666669,500:100:2:3,F17,FQ:500:100:2:3|N2,45,0.1273724032407027,54.575416564941406,1.9279678704881542,0.503819970047946,-0.7097346951888869,1.1144419487077708,1.83118975872116,0.6126238653005717,0.822723822343662,0.651110652809587,0.6844924109616968
17,zro2_120_formal,18,18,zro2_120_formal:m018,single,formal,,18,-3300.0,6200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,9,1.0,0.0,5.3911,0.8637,0.1926528012095498,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,2777777.777777778,148.14722222222224,500:100:4:9,F18,FQ:500:100:4:9|N1,110,0.0195919286842592,5.391144275665283,0.8637443696690362,-0.0882961142728812,-0.724579808766412,0.5637714881817464,0.1362723081173578,0.1832275618522172,0.8920781841784104,0.433580975657529,0.7395207141202675
18,zro2_120_formal,19,19,zro2_120_formal:m019,single,formal,,19,-3300.0,5600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,11,1.0,0.0,6.0179,0.7175,0.2153976920165637,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,2272727.272727273,121.21136363636364,500:100:4:11,F19,FQ:500:100:4:11|N1,115,0.017448762447515,6.017935276031494,0.7175478934782686,0.2176716475603831,-0.716092802014121,0.6033054324478799,-0.1522369643845645,0.1760543368890682,0.914039619119674,0.5892694189486222,0.646810200340059
19,zro2_120_formal,20,20,zro2_120_formal:m020,single,formal,,20,-3300.0,5000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,3,1.0,0.018671875,63.1156,9.0641,0.3106539926611552,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,41666666.66666666,2222.208333333333,500:100:4:3,F20,FQ:500:100:4:3|N5,4,12.712658142651984,63.11563491821289,9.064103038694258,-2.4535606470030067,-0.5077967197971742,-1.8037453384168265,-1.5364703840891316,0.2274017509359163,0.891137705691211,0.2080615031570482,0.7581119696813389
20,zro2_120_formal,21,21,zro2_120_formal:m021,single,formal,,21,-3300.0,4400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,3,1.0,0.0,56.6237,1.3446,0.2227565440271681,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,16666666.666666666,888.8833333333334,500:100:6:3,F21,FQ:500:100:6:3|N3,43,0.1314382724160106,56.62374496459961,1.3445730667386213,-0.359555409747732,-0.9906309075698504,0.3283289710971924,-0.1002164328727455,0.4099374185918524,0.8939461590236412,0.1983989873042302,0.7621028849998367
21,zro2_120_formal,22,22,zro2_120_formal:m022,single,formal,,22,-3300.0,3800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,11,1.0,0.0,49.3129,1.3731,0.2049884893177623,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,500:100:6:11,F22,FQ:500:100:6:11|N3,157,0.0007282569092748,49.31291389465332,1.3731381680370502,-1.0531226439110548,-1.3097834428333022,1.0358483854958105,0.9267653667963504,0.373194618850939,0.8586780666095858,0.2486748971603324,0.721855902884194
22,zro2_120_formal,23,23,zro2_120_formal:m023,single,formal,,23,-3300.0,3200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0045703125,63.9191,6.5075,0.2172488832109467,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.33333333,888.8833333333333,500:200:8:3,F23,FQ:500:200:8:3|N4,8,4.636344558020923,63.91909408569336,6.507496998933839,-2.39758431593546,-0.3981082553476051,-0.2855280874889933,-0.0152315266573947,0.1987831093144119,0.9037557858154316,0.3928849468827335,0.6289821752321048
23,zro2_120_formal,24,24,zro2_120_formal:m024,single,formal,,24,-3300.0,2600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.005,65.0842,6.8297,0.2184241086730409,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,500:200:10:11,F24,FQ:500:200:10:11|N5,7,5.274674297422882,65.08415985107422,6.829685811027613,-3.149135069538872,-0.6126869008028044,-0.7815358044467487,-0.6504853139139679,0.3935202088388078,0.8812181089583156,0.4408371588310915,0.6579685134015888
24,zro2_120_formal,25,25,zro2_120_formal:m025,single,formal,,25,-3900.0,2600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,7,1.0,0.000703125,16.0061,0.5573,0.2216450568394508,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,428571.4285714286,1142.85,1000:2:2:7,F25,FQ:1000:2:2:7|N3,75,0.041845803113869,16.00606060028076,0.5573334737748845,0.0955558902762105,-0.5464013923450972,-0.175007206814813,-1.2444890222034886,0.1397929970599265,0.9474204100320134,0.0152398666192048,0.8023681910317061
25,zro2_120_formal,26,26,zro2_120_formal:m026,single,formal,,26,-3900.0,3200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,1,11,1.0,0.0,0.1715,0.2535,0.2064777301526381,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,18181.81818181818,48.484545454545454,1000:2:10:11,F26,FQ:1000:2:10:11|N1,149,0.005022374618387,0.17148056626319885,0.25353478961964515,1.5936867135270585,-0.5036461443379504,-0.1560359198444669,-1.185852515291271,0.6984861392748491,0.5816707058259681,0.2850047892925842,0.793422126501487
26,zro2_120_formal,27,27,zro2_120_formal:m027,single,formal,,27,-3900.0,3800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.0025390625,48.2729,1.7548,0.2005819401178535,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,2857142.8571428573,1523.8,1000:10:2:7,F27,FQ:1000:10:2:7|N4,60,0.0718763769337649,48.2729434967041,1.754813660966502,-0.8054025642022148,-0.6587406275693465,0.1674302473802088,-0.1423860204393112,0.3277592868738584,0.9225450729133732,0.3100982844034591,0.8200632454724791
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221,0.2102607814675598,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:4:9,F28,FQ:1000:10:4:9|N1,143,0.0072674111019691,9.989048480987549,0.32207122112315795,0.5180999427968471,-0.8482571589845281,-0.2447099531764281,-0.353784258747753,0.4289387730949569,0.7550180697432503,0.235452160216878,0.7939702951897054
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222,0.2381367823531738,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,1428571.4285714286,761.9,1000:10:4:7,F29,FQ:1000:10:4:7|N4,99,0.0228807852553065,39.56353569030762,0.5222489243507809,-0.2516245196779825,-0.6824863239163869,0.7338116968139898,0.3999081358426423,0.3652046962555679,0.8950148339178446,0.0694701341304176,0.816862662363664
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347,0.2025703016512185,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,476190.4761904762,253.96666666666667,1000:10:6:7,F30,FQ:1000:10:6:7|N2,118,0.0151563184647022,17.576498985290527,0.3347003218409163,1.346765676238331,-0.5972960389338273,0.3929375472045308,0.3444010261431133,0.6757951785952275,0.6262326218701938,0.1850278687821788,0.8010541631674892
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314,0.1909103953566175,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:8:9,F31,FQ:1000:10:8:9|N2,97,0.024030868946523,10.066497802734375,0.5314216325347324,1.6724032071369577,-0.2541646557020384,0.3290485027796266,-0.3603512909026506,0.8450779829639314,0.4270172017517478,0.5092059909120882,0.5865722267292373
31,zro2_120_formal,32,32,zro2_120_formal:m032,single,formal,,32,-3900.0,6800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,3,1.0,0.0,48.3655,0.8646,0.2165499530815655,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333333,1000:50:4:3,F32,FQ:1000:50:4:3|N2,123,0.0125989397689619,48.365509033203125,0.8646365340298404,0.671325216242773,-0.5635128269541649,0.3786603922831226,0.4820217500915544,0.6693348850193571,0.6370850221099261,0.1707024288595301,0.7899355667086515
32,zro2_120_formal,33,33,zro2_120_formal:m033,single,formal,,33,-3900.0,7400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,11,1.0,0.0001171875,57.5403,0.8677,0.2243677764846512,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,5681818.181818182,606.0568181818181,1000:50:4:11,F33,FQ:1000:50:4:11|N5,74,0.0447277806765388,57.54034423828125,0.8677372999169544,-0.565884284435331,-0.4825939650621932,0.7043186880738525,0.3166514747184754,0.1659664491631545,0.9111624434698078,0.0169189552719907,0.8127654769571924
33,zro2_120_formal,34,34,zro2_120_formal:m034,single,formal,,34,-3900.0,8000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,3,1.0,0.0,55.1854,0.5843,0.2342651482029892,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333334,1000:50:6:3,F34,FQ:1000:50:6:3|N3,91,0.0292645560759872,55.18541145324707,0.5843038896176586,-0.2612875819544632,-0.6896055104596677,-0.2579129074391673,-0.8547051457421744,0.4896822762180565,0.67606108777259,0.1165462314041232,0.780909761797037
34,zro2_120_formal,35,35,zro2_120_formal:m035,single,formal,,35,-3900.0,8600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,11,1.0,0.0026953125,8.4134,3.0992,0.2212624052997015,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,568181.8181818182,60.60568181818182,1000:50:8:11,F35,FQ:1000:50:8:11|N1,21,0.5299527137911163,8.413393497467041,3.099172881562403,-0.6089312302151604,-0.6933615459710779,0.3714167340515305,-0.7012319459233151,0.220501840489784,0.9150234131798276,0.2190096429830184,0.7246231596036397
35,zro2_120_formal,36,36,zro2_120_formal:m036,single,formal,,36,-3900.0,9200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,5,5,1.0,0.004375,54.874,0.7648,0.2209980592650771,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,6250000.0,666.6625,1000:50:8:5,F36,FQ:1000:50:8:5|N5,154,0.0020540399314646,54.87403869628906,0.7647949042328561,-0.7076697354766783,-1.0783592347505078,0.9847506410048814,0.2527778325560823,0.7921170240517623,0.6019932637175301,0.8968670410471332,0.3221197584802974
36,zro2_120_formal,37,37,zro2_120_formal:m037,single,formal,,37,-3900.0,9800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,3,11,1.0,0.0,34.3416,1.8248,0.2089220938776249,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,1363636.3636363635,145.45363636363638,1000:50:10:11,F37,FQ:1000:50:10:11|N3,61,0.0704862523667421,34.34164047241211,1.8248260249942883,-0.3818594044923049,-0.9537708285938596,0.673593622624693,-0.0845280426763687,0.7663044136600492,0.5643106638256186,0.7623542306298341,0.4474832098583916
37,zro2_120_formal,38,38,zro2_120_formal:m038,single,formal,,38,-3900.0,10400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,9,1.0,0.0271484375,53.7011,12.5604,0.259871196973398,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,11111111.111111112,592.588888888889,1000:100:2:9,F38,FQ:1000:100:2:9|N2,2,19.309217657981627,53.70109558105469,12.560357387242096,-2.194109791206686,-0.5734623435626787,-1.050369989961102,-0.1318673494537459,0.3403376777563502,0.8833305332666668,0.5787532916198199,0.6920311054713827
38,zro2_120_formal,39,39,zro2_120_formal:m039,single,formal,,39,-3900.0,11000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,1,3,1.0,0.0,5.3225,1.0998,0.2572949539775783,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,5555555.555555556,296.2944444444445,1000:100:6:3,F39,FQ:1000:100:6:3|N1,152,0.0028268497002161,5.322521686553955,1.0998376844810436,-0.4278035863335743,-0.3138663330272987,0.3252412428865761,0.2700657182746112,0.0787764532597981,0.939580309961386,0.2592370460594325,0.6865491045998381
39,zro2_120_formal,40,40,zro2_120_formal:m040,single,formal,,40,-3900.0,11600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,5,5,1.0,0.0048046875,57.6547,2.0128,0.2409736771930815,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,16666666.666666666,888.8833333333333,1000:100:6:5,F40,FQ:1000:100:6:5|N5,63,0.0673051045045312,57.65474891662598,2.01277322504111,-0.4067107780295143,-0.7634617416141279,0.9486121749255072,0.7763077458400466,0.3810750157115334,0.8785112407454292,0.2999349026199768,0.7581381975567303
40,zro2_120_formal,41,41,zro2_120_formal:m041,single,formal,,41,-3900.0,12200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,5,3,1.0,0.0,56.2835,0.9623,0.247305883115448,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,20833333.33333333,1111.1041666666667,1000:100:8:3,F41,FQ:1000:100:8:3|N5,68,0.0515078917639123,56.283456802368164,0.9623362754017651,-1.5929189804933472,-1.09790589185653,0.3497791055554897,-0.2638547176778891,0.5800957967821603,0.7334160088483925,0.7377146673949826,0.5164847591567187
