arm,target_id,input_set,model,fold,R2
repaired,median_depth_um,R,extratrees,3,0.8892211731324223
repaired,Sq_um,R,ridge,3,-0.23205689779509142
repaired,Sq_um,R,extratrees,3,-0.6413478320883448
repaired,rms_DCT_8_16_um,R,ridge,3,0.06623817592935233
repaired,rms_DCT_8_16_um,R,extratrees,3,0.03263035732290376
repaired,rms_DCT_16_32_um,R,ridge,3,0.08388255319063709
repaired,rms_DCT_16_32_um,R,extratrees,3,-0.027010373524527287
repaired,rms_DCT_32_64_um,R,ridge,3,0.09144019696669192
repaired,rms_DCT_32_64_um,R,extratrees,3,-0.5470711502984293
repaired,rms_DCT_64_inf_um,R,ridge,3,-0.4271455098693895
repaired,rms_DCT_64_inf_um,R,extratrees,3,-0.6011165772832605
repaired,median_depth_um,A,ridge,4,0.5070723771205116
repaired,median_depth_um,A,extratrees,4,0.876218458690718
repaired,Sq_um,A,ridge,4,0.14783207310451008
repaired,Sq_um,A,extratrees,4,0.016928379371588087
repaired,rms_DCT_8_16_um,A,ridge,4,0.19323214154198243
repaired,rms_DCT_8_16_um,A,extratrees,4,-0.2026907526530859
repaired,rms_DCT_16_32_um,A,ridge,4,0.27105672105158707
repaired,rms_DCT_16_32_um,A,extratrees,4,-0.010487694276936521
repaired,rms_DCT_32_64_um,A,ridge,4,0.1643399198037767
repaired,rms_DCT_32_64_um,A,extratrees,4,0.04039673489995921
repaired,rms_DCT_64_inf_um,A,ridge,4,0.18623147669333606
repaired,rms_DCT_64_inf_um,A,extratrees,4,0.0536024616259867
repaired,median_depth_um,R,ridge,4,0.6654358766345942
repaired,median_depth_um,R,extratrees,4,0.8466062316996696
repaired,Sq_um,R,ridge,4,0.09686145079771358
repaired,Sq_um,R,extratrees,4,-0.01653121928473711
repaired,rms_DCT_8_16_um,R,ridge,4,0.07190303296704259
repaired,rms_DCT_8_16_um,R,extratrees,4,-0.2237829532626341
repaired,rms_DCT_16_32_um,R,ridge,4,0.15294626748882612
repaired,rms_DCT_16_32_um,R,extratrees,4,0.00467317859603289
repaired,rms_DCT_32_64_um,R,ridge,4,0.0839756666250071
repaired,rms_DCT_32_64_um,R,extratrees,4,-0.28127010276057507
repaired,rms_DCT_64_inf_um,R,ridge,4,0.08984087690699294
repaired,rms_DCT_64_inf_um,R,extratrees,4,0.018328914728357737
formal_only,median_depth_um,A,ridge,0,0.7731506852141422
formal_only,median_depth_um,A,extratrees,0,0.9691868984663943
formal_only,Sq_um,A,ridge,0,0.23776349462908652
formal_only,Sq_um,A,extratrees,0,0.10526697852493994
formal_only,E_DCT_8_16_frac,A,ridge,0,0.30042890493235064
formal_only,E_DCT_8_16_frac,A,extratrees,0,0.38240620420853944
formal_only,rms_DCT_8_16_um,A,ridge,0,0.09316839085606787
formal_only,rms_DCT_8_16_um,A,extratrees,0,0.1894113255069383
formal_only,rms_DCT_16_32_um,A,ridge,0,0.3271569196286358
formal_only,rms_DCT_16_32_um,A,extratrees,0,0.2837954968646673
formal_only,rms_DCT_32_64_um,A,ridge,0,0.38175558975508717
formal_only,rms_DCT_32_64_um,A,extratrees,0,0.1954986511560023
formal_only,rms_DCT_64_inf_um,A,ridge,0,0.19528454593878752
formal_only,rms_DCT_64_inf_um,A,extratrees,0,0.09197029503521237
formal_only,median_depth_um,R,ridge,0,0.42700977762752546
formal_only,median_depth_um,R,extratrees,0,0.77146224876598
formal_only,Sq_um,R,ridge,0,0.23194510100496546
formal_only,Sq_um,R,extratrees,0,0.22514231200740065
formal_only,E_DCT_8_16_frac,R,ridge,0,-0.05093108565904636
formal_only,E_DCT_8_16_frac,R,extratrees,0,0.20346285712039092
formal_only,rms_DCT_8_16_um,R,ridge,0,0.26526917571902386
formal_only,rms_DCT_8_16_um,R,extratrees,0,0.48715218755886724
formal_only,rms_DCT_16_32_um,R,ridge,0,0.2032513412148007
formal_only,rms_DCT_16_32_um,R,extratrees,0,0.5438596502430197
formal_only,rms_DCT_32_64_um,R,ridge,0,0.18132720187649365
formal_only,rms_DCT_32_64_um,R,extratrees,0,0.42293742185659167
formal_only,rms_DCT_64_inf_um,R,ridge,0,0.20721966761969324
formal_only,rms_DCT_64_inf_um,R,extratrees,0,0.01364608422315794
formal_only,median_depth_um,A,ridge,1,0.5606886461437854
formal_only,median_depth_um,A,extratrees,1,0.8941809704489326
formal_only,Sq_um,A,ridge,1,-0.1409041661067818
formal_only,Sq_um,A,extratrees,1,-0.21289472318997826
formal_only,E_DCT_8_16_frac,A,ridge,1,0.458008682159584
formal_only,E_DCT_8_16_frac,A,extratrees,1,0.6792644366782621
formal_only,rms_DCT_8_16_um,A,ridge,1,-0.09422093358256367
formal_only,rms_DCT_8_16_um,A,extratrees,1,0.02747426759709337
formal_only,rms_DCT_16_32_um,A,ridge,1,0.1936245511112975
formal_only,rms_DCT_16_32_um,A,extratrees,1,0.0875384248033646
formal_only,rms_DCT_32_64_um,A,ridge,1,-0.006443791544856303
formal_only,rms_DCT_32_64_um,A,extratrees,1,-0.08383754979579261
formal_only,rms_DCT_64_inf_um,A,ridge,1,-0.08500240096694345
formal_only,rms_DCT_64_inf_um,A,extratrees,1,-0.12370157991322617
formal_only,median_depth_um,R,ridge,1,0.5102447204492924
formal_only,median_depth_um,R,extratrees,1,0.6357533417331036
formal_only,Sq_um,R,ridge,1,0.143715000267305
formal_only,Sq_um,R,extratrees,1,0.05424867794484467
formal_only,E_DCT_8_16_frac,R,ridge,1,0.0030134292706082144
formal_only,E_DCT_8_16_frac,R,extratrees,1,0.41898621013708504
formal_only,rms_DCT_8_16_um,R,ridge,1,0.054659567351927785
formal_only,rms_DCT_8_16_um,R,extratrees,1,-0.08712627216451363
formal_only,rms_DCT_16_32_um,R,ridge,1,0.23047118574885272
formal_only,rms_DCT_16_32_um,R,extratrees,1,0.28653113994379953
formal_only,rms_DCT_32_64_um,R,ridge,1,0.13955712068849768
formal_only,rms_DCT_32_64_um,R,extratrees,1,0.15414935599818091
formal_only,rms_DCT_64_inf_um,R,ridge,1,0.15117183871971296
formal_only,rms_DCT_64_inf_um,R,extratrees,1,-0.039283305581918615
formal_only,median_depth_um,A,ridge,2,0.5430382555338653
formal_only,median_depth_um,A,extratrees,2,0.9094793639437885
formal_only,Sq_um,A,ridge,2,0.04329937125428107
formal_only,Sq_um,A,extratrees,2,0.030564720883626606
formal_only,E_DCT_8_16_frac,A,ridge,2,0.4564339212763835
formal_only,E_DCT_8_16_frac,A,extratrees,2,0.6171993512804339
formal_only,rms_DCT_8_16_um,A,ridge,2,0.009185196718920374
formal_only,rms_DCT_8_16_um,A,extratrees,2,0.1743300481254516
formal_only,rms_DCT_16_32_um,A,ridge,2,0.09562943471129393
formal_only,rms_DCT_16_32_um,A,extratrees,2,0.1297181738124149
formal_only,rms_DCT_32_64_um,A,ridge,2,0.050726455834206985
formal_only,rms_DCT_32_64_um,A,extratrees,2,0.0017073422312506858
formal_only,rms_DCT_64_inf_um,A,ridge,2,0.06928887524888871
formal_only,rms_DCT_64_inf_um,A,extratrees,2,0.02926078169347235
formal_only,median_depth_um,R,ridge,2,0.5554860650958996
formal_only,median_depth_um,R,extratrees,2,0.7221788210038627
formal_only,Sq_um,R,ridge,2,0.12825771760131832
formal_only,Sq_um,R,extratrees,2,0.043789328949431106
formal_only,E_DCT_8_16_frac,R,ridge,2,0.26769225580811995
formal_only,E_DCT_8_16_frac,R,extratrees,2,0.35541765828273797
formal_only,rms_DCT_8_16_um,R,ridge,2,0.05568685703497567
