arm,target_id,input_set,model,R2_med_arm,baseline_target_id,R2_med_base,dR2,sensitivity
exclude_artifact_yes,rms_DCT_8_16_um,A,extratrees,0.35090600884454826,rms_DCT_8_16_um,0.2385589956380076,0.11234701320654067,moderate
exclude_artifact_yes,rms_DCT_8_16_um,A,ridge,0.14647606257351908,rms_DCT_8_16_um,0.1678557336845496,-0.021379671111030507,stable
exclude_artifact_yes,rms_DCT_8_16_um,R,extratrees,0.3060557316363687,rms_DCT_8_16_um,0.1768523485485581,0.12920338308781057,moderate
exclude_artifact_yes,rms_DCT_8_16_um,R,ridge,0.12563411167274652,rms_DCT_8_16_um,0.0822088700288944,0.043425241643852114,stable
formal_only,E_DCT_8_16_frac,A,extratrees,0.6332423107030996,E_DCT_8_16_frac,0.626451115117141,0.006791195585958532,stable
formal_only,E_DCT_8_16_frac,A,ridge,0.44291409766156853,E_DCT_8_16_frac,0.4175997250405951,0.025314372620973413,stable
formal_only,E_DCT_8_16_frac,R,extratrees,0.2728300855665753,E_DCT_8_16_frac,0.3657456608505888,-0.09291557528401351,moderate
formal_only,E_DCT_8_16_frac,R,ridge,0.17741377773145084,E_DCT_8_16_frac,0.036318947146204,0.14109483058524686,moderate
formal_only,Sq_um,A,extratrees,0.006022379184070004,Sq_um,0.0338103240026558,-0.0277879448185858,stable
formal_only,Sq_um,A,ridge,0.04329937125428107,Sq_um,0.0778926063823471,-0.03459323512806603,stable
formal_only,Sq_um,R,extratrees,0.043789328949431106,Sq_um,0.0511181356604431,-0.0073288067110119925,stable
formal_only,Sq_um,R,ridge,0.12825771760131832,Sq_um,0.1267713650319761,0.0014863525693422086,stable
formal_only,median_depth_um,A,extratrees,0.8941809704489326,median_depth_um,0.9100104991988768,-0.015829528749944144,stable
formal_only,median_depth_um,A,ridge,0.5606886461437854,median_depth_um,0.5421738631222122,0.018514783021573278,stable
formal_only,median_depth_um,R,extratrees,0.77146224876598,median_depth_um,0.8201221052431125,-0.048659856477132446,stable
formal_only,median_depth_um,R,ridge,0.5554860650958996,median_depth_um,0.6045370835433506,-0.04905101844745097,stable
formal_only,rms_DCT_16_32_um,A,extratrees,0.0875384248033646,rms_DCT_16_32_um,0.1637306424576169,-0.0761922176542523,moderate
formal_only,rms_DCT_16_32_um,A,ridge,0.12373535830687632,rms_DCT_16_32_um,0.2398911562363761,-0.11615579792949979,moderate
formal_only,rms_DCT_16_32_um,R,extratrees,0.14701109339228946,rms_DCT_16_32_um,0.218373562682492,-0.07136246929020254,moderate
formal_only,rms_DCT_16_32_um,R,ridge,0.18198045951455966,rms_DCT_16_32_um,0.1494297166872662,0.03255074282729345,stable
formal_only,rms_DCT_32_64_um,A,extratrees,-0.015455536601352016,rms_DCT_32_64_um,0.0119470581581343,-0.027402594759486316,stable
